period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,23,17,1.0,0.575,0.42500000000000004,40,0,0,0,0,375.67665491563235,0.9991543917075832,0.028990517581983344,0.1665214734836193,119832.11056197603,2603.6252894806807,122435.73585145672,0,0,0.0,32,8,17,46.02671553586591,0.5242686170212766,55.22243713733076,979.1102514506774,30.59719535783367,0
2,4,33,33,17,0.66,0.66,0.33999999999999997,50,300.0,5,1,4,317.3790128772968,0.9999478940512376,-0.12188794502243028,0.1502566614512169,122693.95011429084,-1011.9030453420334,121682.04706894881,1,0,0.34,44,6,12,44.45583943755215,0.5331237911025146,52.316784869976345,990.7328605200921,22.516655920911184,0
3,4,31,29,19,0.6458333333333334,0.6041666666666666,0.39583333333333337,48,600.0,7,5,2,315.3730108028494,0.9927569035762789,-0.11925003466444806,0.1558389964994963,124507.49179509809,-146.73948901377386,124360.75230608431,2,0,0.625,40,8,16,42.62421673098028,0.5574468085106383,50.49299429164504,998.0280228334193,24.950700570835483,0
4,4,18,12,25,0.4864864864864865,0.32432432432432434,0.6756756756756757,37,750.0,11,4,7,329.0297833047044,0.9869656890933486,-0.11352681838249135,0.1654031610336017,125224.06448562813,840.4893604480834,126064.55384607622,3,0,1.054054054054054,37,0,22,41.542922163556995,0.5698677400805062,49.776035834266494,1000.8958566629306,27.051239369268394,0
5,4,11,14,22,0.3055555555555556,0.3888888888888889,0.6111111111111112,36,650.0,8,5,3,301.8327581963565,0.9816278284363391,-0.0249300788202389,0.15572717276482603,126297.19511884594,424.12615103692525,126721.32126988286,4,0,1.7777777777777777,36,0,17,41.121281464530895,0.5827423167848702,48.7061529614721,1005.1753881541101,27.921538559836392,0
6,4,12,10,24,0.35294117647058826,0.29411764705882354,0.7058823529411764,34,700.0,8,6,2,318.4911825536576,0.9739447036067812,-0.0717499003473604,0.16388612282835796,126188.22072966813,1237.9671289068017,127426.18785857494,5,0,2.1176470588235294,34,0,20,40.814555827892306,0.5857321652065082,48.8145896656535,1004.7416413373867,29.551224745217255,0
7,4,8,7,25,0.25,0.21875,0.78125,32,600.0,9,3,6,331.4765164623018,0.973961908030199,-0.06553713570419772,0.17019581982365678,126098.46977948576,1959.7362987461743,128058.20607823193,6,0,2.90625,32,0,23,40.58068798605782,0.5894281914893615,48.90393294648616,1004.3842682140579,31.38700838168931,0
8,4,9,9,25,0.2647058823529412,0.2647058823529412,0.7352941176470589,34,500.0,6,4,2,312.6921375116569,0.9669283574164677,-0.06996967566454271,0.1632028339640237,126769.13369240866,1127.9422769560597,127897.07596936473,7,0,3.323529411764706,34,0,14,40.364653571401064,0.591677096370463,48.237082066869306,1007.0516717325232,29.61916681566245,0
9,4,8,12,21,0.24242424242424243,0.36363636363636365,0.6363636363636364,33,500.0,8,2,6,322.46438024788614,0.9643778207607995,-0.055539872705441806,0.16891091251631296,126915.9215759374,1585.172798914795,128501.0943748522,8,0,4.0606060606060606,33,0,15,39.968207993192344,0.5954223081882656,48.091364205256575,1007.6345431789739,30.53438009633254,0
10,4,8,7,22,0.27586206896551724,0.2413793103448276,0.7586206896551724,29,800.0,11,5,6,393.16024906911747,0.9691856199559794,-0.07981172618438526,0.20118547235445755,125959.28021729307,4104.436396559556,130063.71661385262,9,0,4.862068965517241,29,0,22,39.175903962190986,0.5961115187087306,49.042553191489375,1003.829787234044,34.61482024944979,0
11,4,7,5,24,0.2413793103448276,0.1724137931034483,0.8275862068965517,29,850.0,12,5,7,378.64534840931225,0.9581804842259721,-0.01603171364444589,0.19732927188027152,126707.92213671349,3795.47306473518,130503.39520144867,10,0,5.620689655172414,29,0,19,38.76728835812305,0.6038151137197358,48.297872340425535,1006.8085106382982,34.71753484959649,0
12,4,6,4,26,0.2,0.13333333333333333,0.8666666666666667,30,850.0,12,5,7,367.650611659179,0.9523599902176572,-0.00998050151906793,0.19429185092067747,127275.18773120457,3358.560123682834,130633.7478548874,11,0,6.233333333333333,30,0,21,38.460536560375324,0.6067375886524824,47.73507206588881,1009.0597117364442,33.635323724548144,0
13,4,3,5,24,0.10344827586206896,0.1724137931034483,0.8275862068965517,29,900.0,11,7,4,368.5404824541126,0.9487475107431087,0.04587377936067072,0.19686802683418325,127709.56189326484,3613.2287108294267,131322.79060409428,12,0,7.344827586206897,29,0,20,37.992129510751774,0.6140865737344094,47.30496453900709,1010.7801418439708,34.8544876497921,0
14,4,2,3,23,0.07692307692307693,0.11538461538461539,0.8846153846153846,26,600.0,8,4,4,405.02768430985066,0.944353518821604,-0.007951963648166416,0.21331458040318768,127136.71344499751,5098.777727478458,132235.49117247597,13,0,7.423076923076923,26,0,23,37.66047221474099,0.6182487725040917,47.872340425531895,1008.5106382978705,38.78887070376425,0
15,4,3,2,24,0.11538461538461539,0.07692307692307693,0.9230769230769231,26,850.0,10,7,3,428.52824621091315,0.9438297872340425,-0.00798440536397571,0.22006531128945606,126105.66512726025,5607.967902849107,131713.63303010934,14,0,7.8076923076923075,26,0,20,38.136286394396585,0.6076104746317512,48.896769109535065,1004.4129235618594,38.63126629084075,7
16,4,2,1,25,0.07692307692307693,0.038461538461538464,0.9615384615384616,26,850.0,10,7,3,430.0993906832117,0.9413420621931261,-0.008953658036586765,0.22215417110673738,126343.22676716588,5668.028969901777,132011.25573706767,15,0,8.73076923076923,26,0,21,37.85025999539712,0.6100654664484452,48.66036249014972,1005.3585500394012,38.66763653997697,0
17,4,2,2,25,0.07407407407407407,0.07407407407407407,0.9259259259259259,27,950.0,12,7,5,419.40175164414705,0.9361702127659575,-0.012829969377947448,0.2192267200234546,126830.36002993319,5238.575031642354,132068.93506157555,16,0,9.333333333333334,27,0,21,37.61476136057218,0.61150512214342,48.17629179331307,1007.2948328267476,37.30721603062028,0
18,4,6,7,24,0.1935483870967742,0.22580645161290322,0.7741935483870968,31,950.0,12,7,5,387.70717439210966,0.9406543125142988,-0.024732881482613767,0.20623415242874407,127539.36311679496,3689.5852195563684,131228.94833635134,17,0,8.806451612903226,31,0,14,37.682766965816285,0.606726149622512,47.47340425531915,1010.1063829787238,32.584076870281415,2
19,4,2,2,24,0.07692307692307693,0.07692307692307693,0.9230769230769231,26,800.0,11,5,6,440.41592314224005,0.9355155482815057,0.004553229420125371,0.22903062582950695,126620.66455906467,5953.1513741328745,132573.81593319753,18,0,10.73076923076923,26,0,18,37.30300990864323,0.6129296235679215,48.38455476753349,1006.4617809298657,38.71006849730252,0
20,4,3,3,24,0.1111111111111111,0.1111111111111111,0.8888888888888888,27,900.0,11,7,4,447.7492299368939,0.9412620476450263,0.022241241392427558,0.2325135412872294,126562.60393473823,5933.661690117431,132496.26562485567,19,0,11.222222222222221,27,0,17,37.17877032138232,0.6087470449172576,48.44224924012158,1006.2310030395138,37.2678149273894,2
21,4,1,1,24,0.04,0.04,0.96,25,1000.0,13,7,6,472.44813707139747,0.9385815602836879,0.022005208333333304,0.24433681432379362,126395.03269304446,6943.019546181456,133338.05223922592,20,0,12.44,25,0,20,36.73190935283688,0.6144680851063828,48.60883797054011,1005.5646481178406,40.22258592471363,0
22,4,3,3,24,0.1111111111111111,0.1111111111111111,0.8888888888888888,27,700.0,7,7,0,445.0423028011531,0.9430805601018367,-0.009697782246801623,0.23306717753330525,126906.91373878664,5895.789026339379,132802.702765126,21,0,12.407407407407407,27,0,17,36.889701870928405,0.6122931442080377,48.100303951367785,1007.5987841945291,37.318473488686266,0
23,4,7,6,25,0.22580645161290322,0.1935483870967742,0.8064516129032258,31,650.0,11,2,9,405.64027206749563,0.9411118737131091,-0.03852316561400537,0.2183113486869617,128009.92565923487,4185.196214350375,132195.12187358525,22,0,11.580645161290322,31,0,16,36.74560348924986,0.6115305422100207,47.00797872340425,1011.9680851063823,32.64413177762523,0
24,4,6,5,26,0.1935483870967742,0.16129032258064516,0.8387096774193549,31,700.0,10,4,6,394.59244917504043,0.9473347060169298,-0.013044198261622952,0.2100713970835867,127572.94599154028,3867.864241455406,131440.8102329957,23,0,12.129032258064516,31,0,16,37.47433897479128,0.6070693205216198,47.44015957446808,1010.2393617021276,32.588366506520245,3
25,4,2,2,26,0.07142857142857142,0.07142857142857142,0.9285714285714286,28,800.0,11,5,6,425.31009774088136,0.9321175278622087,0.03314767862338419,0.22420104385512407,127173.71212459668,5217.652786756578,132391.36491135327,24,0,14.357142857142858,28,0,19,37.110852487634574,0.6117021276595744,47.83565663976522,1008.6573734409384,36.02347762289066,0
26,4,3,4,25,0.10344827586206896,0.13793103448275862,0.8620689655172413,29,750.0,10,5,5,402.70834041877816,0.9282045907137616,0.0052246603970742544,0.21550338217004883,127781.25848800356,4491.715708465362,132272.97419646892,25,0,14.0,29,0,18,37.054946629414715,0.6148202494497432,47.234042553191486,1011.0638297872335,34.864269992663225,0
27,4,2,2,25,0.07407407407407407,0.07407407407407407,0.9259259259259259,27,600.0,9,3,6,425.04660336414116,0.9320482511971874,0.01092603741610354,0.2255598748203955,127443.43640579809,5433.87995306767,132877.31635886576,26,0,15.296296296296296,27,0,20,36.83886917647661,0.6178092986603625,47.56838905775075,1009.7264437689962,37.39727569514801,0
28,4,3,1,27,0.10714285714285714,0.03571428571428571,0.9642857142857143,28,850.0,12,5,7,407.4610375971435,0.9291905887650568,0.027018633540372594,0.2199907010501009,128137.56715716532,4842.2132138064435,132979.78037097177,27,0,15.642857142857142,28,0,21,36.56830095590502,0.621580547112462,46.88187820983125,1012.4724871606744,36.1597316843098,0
