period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,20,40,14,26,1.0,0.35,0.65,40,0,0,0,0,0,0,0,444.8854489306562,1.0004364429896344,-0.08364707311148889,0.19098992630318146,592053.5868975958,45679.20515958839,637732.7920571842,0,0,0.0,35,5,26,45.85346694298161,0.5027355623100305,56.67848699763593,4866.430260047277,139.04086457277936,0
2,20,34,23,37,0.5666666666666667,0.38333333333333336,0.6166666666666667,60,600.0,400.0,200.0,0.6666666666666666,8,4,4,335.34880690055934,0.9993869455463397,-0.04212687899743495,0.16081392809192135,616206.2002645064,33373.11927340482,649579.3195379112,1,0,0.43333333333333335,43,17,29,43.440458896402234,0.5400791687283526,51.764990328820105,4964.700193423587,115.45814403310668,0
3,20,28,25,40,0.4307692307692308,0.38461538461538464,0.6153846153846154,65,1600.0,1200.0,400.0,0.75,20,12,8,272.3383791016807,0.9924918166939445,-0.020208708168406364,0.13795631708413586,627707.5780584204,21671.74173307397,649379.3197914944,2,0,0.8923076923076924,58,7,30,42.635878511327306,0.5486060161408659,49.45906959971149,5010.818608005757,86.39342427596132,0
4,20,12,6,46,0.23076923076923078,0.11538461538461539,0.8846153846153846,52,1000.0,600.0,400.0,0.6,14,6,8,282.9728693070406,0.9879496806906067,0.03339118523247153,0.1454857845397263,630766.6056601957,25314.372679477696,656080.9783396734,3,0,1.6730769230769231,48,4,28,41.742444307112756,0.5638297872340425,48.84932696482848,5023.013460703426,104.64611376465471,0
5,20,13,10,49,0.22033898305084745,0.1694915254237288,0.8305084745762712,59,1300.0,800.0,500.0,0.6153846153846154,18,8,10,254.30800031338742,0.9848415136103063,0.01537254661464127,0.13355700444011856,635108.9380410372,20502.656802874986,655611.5948439122,4,0,2.2542372881355934,55,4,37,41.5774127428621,0.5659574468085107,47.98632218844984,5040.273556230995,91.6413373860181,0
6,20,11,9,51,0.18333333333333332,0.15,0.85,60,1700.0,1300.0,400.0,0.7647058823529411,21,13,8,242.99100020916802,0.9805265055896141,0.01836551957794863,0.12962656997990227,638275.923971171,19019.0610350371,657294.9850062081,5,0,2.816666666666667,57,3,32,41.21981284504567,0.570735349010825,47.35876742479823,5052.824651504028,88.64604651761454,0
7,20,7,10,48,0.1206896551724138,0.1724137931034483,0.8275862068965517,58,1800.0,1400.0,400.0,0.7777777777777778,22,14,8,249.3473580856281,0.9819412801997658,0.06876609014104917,0.13397137714092208,639713.2469443177,20302.16161158888,660015.4085559066,6,0,3.7241379310344827,55,3,37,40.767836767568284,0.5752417794970986,47.074468085106375,5058.510638297865,91.9729206963248,0
8,20,6,6,48,0.1111111111111111,0.1111111111111111,0.8888888888888888,54,1550.0,1200.0,350.0,0.7741935483870968,19,12,7,249.4528807442175,0.9767013099008282,0.05157127730217659,0.13535169015665627,641681.0365610283,21218.080619627533,662899.1171806558,7,0,4.2592592592592595,51,3,32,40.36676438343924,0.5828118481435128,46.68576104746317,5066.284779050729,99.33891723628881,0
9,20,2,5,45,0.04,0.1,0.9,50,1700.0,1000.0,700.0,0.5882352941176471,24,10,14,262.3863132463533,0.9703517151541469,0.03447523089840421,0.1426950224093177,642137.1661385216,23697.60072430942,665834.7668628311,8,0,5.2,49,1,33,39.94676384943814,0.5857577073382547,46.59574468085104,5068.085106382958,103.43030829352975,0
10,20,10,10,45,0.18181818181818182,0.18181818181818182,0.8181818181818181,55,1200.0,700.0,500.0,0.5833333333333334,17,7,10,251.7648426593928,0.9702414213052512,-0.019249382100650303,0.13896276372259206,645081.3950443112,21481.763185166288,666563.1582294775,9,0,5.2,54,1,37,39.62103646235883,0.5868794326241138,46.01547388781428,5079.69052224368,94.06834300451258,0
11,20,9,6,48,0.16666666666666666,0.1111111111111111,0.8888888888888888,54,1750.0,1000.0,750.0,0.5714285714285714,25,10,15,243.08832962063997,0.9656690009961789,-0.0006758157227146899,0.13652331287724903,648500.6763005987,20730.055809328584,669230.7321099272,10,0,5.666666666666667,52,2,36,39.15282690104965,0.5955400981996728,45.343235648333994,5093.135287033314,97.94490936602527,0
12,20,2,2,48,0.04,0.04,0.96,50,2000.0,1600.0,400.0,0.8,24,16,8,252.96371420495458,0.9630916196265741,0.04909927567106953,0.14251220288982935,649110.031111604,22840.256879537043,671950.287991141,11,0,6.96,48,2,38,38.77870346027976,0.6008421985815602,45.223621363439,5095.527572731228,106.15682443190059,0
13,20,2,4,46,0.04,0.08,0.92,50,1650.0,1100.0,550.0,0.6666666666666666,22,11,11,247.4151384172514,0.9595484151107252,0.0391458124791455,0.14043620640842877,650575.5726573122,22192.449071978353,672768.0217292905,12,0,7.7,49,1,41,38.62550493756165,0.6026921406860616,44.936170212765965,5101.27659574469,104.10768562744265,0
14,20,1,2,45,0.02127659574468085,0.0425531914893617,0.9574468085106383,47,2000.0,1500.0,500.0,0.75,25,15,10,251.33971228442772,0.9582537839274117,0.005499795790512296,0.14303875964066315,651086.705153475,23328.78902909807,674415.4941825732,13,0,8.404255319148936,47,0,41,38.42270809501192,0.6059302851969217,44.83599290780141,5103.280141843967,108.58042854987163,0
