period,entries,exits,firms,maxage,minage,avgage,actfirms,inactfirms,surviv,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,40,24,40,0,0,0.0,38,2,16,45.86608084998,0.5112390350877192,55.315170940170944,978.7393162393166,25.75629779577149,0
2,35,36,51,1,0,0.3137254901960784,43,8,15,43.74313449231063,0.5360949612403101,52.154356060606055,991.382575757575,23.055408738548255,0
3,33,29,48,2,0,0.5416666666666666,41,7,19,43.05098684210526,0.5487804878048779,51.1904761904762,995.2380952380964,24.27409988385601,0
4,17,15,36,3,0,1.25,36,0,21,41.84217955957085,0.5622106481481483,50.70382882882882,997.1846846846832,27.699574574574534,0
5,15,17,36,4,0,1.75,36,0,19,41.877185068230524,0.5656828703703705,50.36599099099099,998.5360360360351,27.737112112112086,0
6,21,21,40,5,0,1.9,40,0,19,41.117241670894636,0.56640625,49.61890243902439,1001.5243902439023,25.03810975609756,0
7,19,18,38,6,0,2.1052631578947367,38,0,20,41.001163575641286,0.5718201754385965,49.41239316239316,1002.3504273504266,26.377642825011225,0
8,13,12,33,7,0,2.878787878787879,33,0,21,40.56768859273749,0.5817550505050507,49.41789215686272,1002.3284313725454,30.373588829471075,0
9,12,10,33,8,0,3.4242424242424243,33,0,23,40.3659827389676,0.5845959595959598,49.142156862745075,1003.4313725490166,30.40701128936414,0
10,12,12,35,9,0,3.8857142857142857,35,0,23,40.376801594602874,0.5880952380952383,48.379629629629605,1006.4814814814782,28.756613756613664,0
11,11,12,34,10,0,4.676470588235294,34,0,22,40.33653846153849,0.5888480392156865,48.51190476190474,1005.9523809523771,29.586834733893443,0
12,6,3,28,11,0,6.035714285714286,28,0,25,39.74868672397326,0.5967261904761905,49.281609195402304,1002.8735632183909,35.81691297208539,0
13,4,2,29,12,0,6.689655172413793,29,0,27,39.736176416355505,0.5973419540229885,48.92361111111111,1004.3055555555553,34.631226053639836,0
14,5,5,32,13,0,6.90625,32,0,27,39.86631966219325,0.5953776041666667,48.3270202020202,1006.6919191919193,31.459122474747478,0
15,5,4,32,14,0,7.71875,32,0,28,39.69479597377106,0.5979817708333334,48.07449494949495,1007.7020202020199,31.49068813131312,0
16,4,2,32,15,0,8.5,32,0,30,39.437038427838274,0.6005859375000002,47.82196969696968,1008.7121212121194,31.522253787878732,0
17,3,5,33,16,0,9.151515151515152,33,0,28,39.2532953258936,0.6022727272727274,47.42647058823528,1010.2941176470567,30.614973262032024,0
18,6,7,34,17,0,9.088235294117647,34,0,27,39.14312340592504,0.6026348039215688,47.17261904761903,1011.3095238095216,29.744397759103578,0
19,4,2,31,18,0,10.193548387096774,31,0,29,38.81081313391783,0.6061827956989249,47.52604166666666,1009.8958333333318,32.57728494623651,0
20,2,2,31,19,0,11.129032258064516,31,0,29,38.74570446735393,0.6075268817204302,47.39583333333333,1010.4166666666663,32.59408602150536,0
21,1,2,30,20,0,12.266666666666667,30,0,28,38.707118448497745,0.6079861111111111,47.61424731182795,1009.5430107526878,33.65143369175626,0
22,1,0,29,21,0,13.068965517241379,29,0,29,38.52102541167838,0.6102729885057471,47.673611111111114,1009.3055555555555,34.803639846743295,0
23,2,2,31,22,0,13.161290322580646,31,0,29,38.47408170271198,0.610215053763441,47.13541666666666,1011.4583333333318,32.62768817204296,0
24,1,1,30,23,0,13.9,30,0,29,38.413674645390095,0.611111111111111,47.31182795698925,1010.7526881720427,33.69175627240142,0
25,3,4,32,24,0,13.9375,32,0,28,38.530750998003974,0.609375,46.96969696969696,1012.1212121212111,31.628787878787847,0
26,3,1,31,25,0,14.903225806451612,31,0,30,38.36477228869165,0.6118951612903226,46.97265624999999,1012.1093749999991,32.648689516129004,0
27,3,3,33,26,0,14.909090909090908,33,0,30,38.340256797583095,0.612058080808081,46.476715686274495,1014.0931372549001,30.730095068330304,0
28,1,2,31,27,0,16.35483870967742,31,0,29,38.27160493827162,0.6129032258064517,46.87499999999999,1012.4999999999991,32.66129032258062,0
29,1,1,30,28,0,17.3,30,0,29,38.22239936229572,0.6135416666666667,47.0766129032258,1011.6935483870964,33.72311827956988,0
30,3,3,32,29,0,17.125,32,0,29,38.317757009345804,0.6123046875,46.685606060606055,1013.2575757575751,31.66429924242422,0
31,1,2,30,30,0,19.233333333333334,30,0,28,38.922072432817245,0.6013888888888889,48.252688172043015,1006.9892473118282,33.566308243727605,5
32,6,7,34,31,0,17.0,34,0,27,38.89199748694385,0.600796568627451,47.35119047619047,1010.5952380952373,29.723389355742274,0
33,1,1,28,32,0,18.285714285714285,28,0,27,38.49380469939118,0.6071428571428571,48.27586206896552,1006.8965517241384,35.96059113300494,0
34,2,3,29,33,0,17.655172413793103,29,0,26,38.49001377410465,0.607758620689655,47.91666666666667,1008.3333333333343,34.77011494252877,0
35,1,1,27,34,0,18.444444444444443,27,0,26,38.358712793219006,0.6095679012345678,48.36309523809524,1006.547619047619,37.279541446208114,0
36,4,3,30,35,0,17.466666666666665,30,0,27,38.45556590798173,0.6086805555555554,47.547043010752695,1009.81182795699,33.660394265233,0
37,3,1,30,36,0,18.366666666666667,30,0,29,39.869428813862086,0.5916666666666666,49.193548387096776,1003.2258064516132,33.440860215053775,6
38,1,0,30,37,0,19.133333333333333,30,0,30,39.8266260434802,0.5927083333333334,49.09274193548387,1003.6290322580646,33.45430107526882,0
39,3,2,33,38,0,18.303030303030305,33,0,31,39.867470368566345,0.5921717171717171,48.406862745098046,1006.3725490196082,30.496137849079037,0
40,4,4,35,39,0,18.0,35,0,31,39.73825644556652,0.593452380952381,47.8587962962963,1008.564814814815,28.81613756613757,0
41,7,6,38,40,0,17.263157894736842,38,0,32,39.43900271059952,0.5956688596491229,47.08867521367521,1011.6452991452979,26.622244714349947,0
42,0,0,32,41,1,21.5,32,0,32,39.33055485919613,0.5970052083333333,48.16919191919193,1007.3232323232338,31.478851010101057,0
43,7,8,39,42,0,18.46153846153846,38,1,31,39.2321924550856,0.5989583333333333,46.7681623931624,1012.9273504273515,26.655982905982935,0
44,2,2,33,43,0,21.242424242424242,33,0,31,39.069454560168325,0.6003787878787878,47.610294117647065,1009.5588235294127,30.592691622103416,0
45,4,4,35,44,0,20.914285714285715,35,0,31,39.16716763998626,0.5991071428571427,47.309027777777786,1010.7638888888899,28.878968253968285,0
46,1,1,32,45,0,23.84375,32,0,31,39.16713694507148,0.5957031249999998,48.29545454545456,1006.8181818181837,31.46306818181824,2
47,4,4,35,46,0,22.685714285714287,34,1,31,39.2539331366765,0.5965073529411764,47.767857142857146,1008.9285714285714,29.67436974789916,0
48,2,1,33,47,0,24.696969696969695,33,0,32,39.098589837101876,0.5965909090909088,47.97794117647061,1008.0882352941201,30.548128342246063,0
49,0,0,32,48,1,26.46875,32,0,32,39.06341397175566,0.5970052083333331,48.16919191919194,1007.323232323235,31.478851010101092,0
50,1,2,33,49,0,26.636363636363637,33,0,31,39.098589837101876,0.5965909090909088,47.97794117647061,1008.0882352941201,30.548128342246063,0
