period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,25,15,1.0,0.625,0.375,40,0,0,0,0,0,0,0,397.32830428707706,0.9981837606837607,0.06602079395085059,0.17662745627551585,119959.27640603571,2532.6431755829944,122491.91958161871,0,0,0.0,35,5,15,45.36172810333963,0.519047619047619,55.092592592592595,979.6296296296301,27.989417989418005,0
2,4,36,35,16,0.7058823529411765,0.6862745098039216,0.3137254901960784,51,500,400,100,0.8,6,4,2,339.1072326244087,0.9994117647058824,-0.12559555794375787,0.1637463829564154,123535.29892842799,778.3426702096643,124313.64159863765,1,0,0.29411764705882354,38,13,16,43.041151710549876,0.5507127192982456,51.4690170940171,994.1239316239321,26.161156095366636,0
3,4,30,26,20,0.6521739130434783,0.5652173913043478,0.4347826086956522,46,600,200,400,0.3333333333333333,10,2,8,317.064536783239,0.9876811594202899,-0.14957368325572995,0.15722027720493012,124653.01890432085,-295.3896604938435,124357.629243827,2,0,0.5434782608695652,41,5,14,42.431617987946204,0.5574186991869918,50.347222222222214,998.6111111111101,24.35636856368561,2
4,4,17,13,24,0.4594594594594595,0.35135135135135137,0.6486486486486487,37,350,200,150,0.5714285714285714,5,2,3,330.8808562380124,0.9684059059059059,-0.09496174526849399,0.16631500306941502,125219.39442905501,886.5400892582197,126105.93451831324,3,0,1.2162162162162162,37,0,20,41.50142418930761,0.5698198198198199,49.78070175438596,1000.8771929824555,27.05073494547177,0
5,4,7,8,23,0.22580645161290322,0.25806451612903225,0.7419354838709677,31,900,800,100,0.8888888888888888,10,8,2,348.56814300920075,0.9619175627240143,-0.047531133563827765,0.1753790499643149,125260.55230034704,2532.3676215277537,127792.9199218748,4,0,2.064516129032258,31,0,18,41.016302462712424,0.5833333333333335,49.73958333333332,1001.0416666666652,32.291666666666615,0
6,4,12,10,25,0.34285714285714286,0.2857142857142857,0.7142857142857143,35,600,300,300,0.5,9,3,6,314.96985852670616,0.9644257703081232,-0.025545754693736322,0.16393135006623338,126654.74597318652,978.485484182082,127633.2314573686,5,0,2.342857142857143,35,0,19,40.42449982752673,0.5883928571428572,48.350694444444436,1006.5972222222206,28.759920634920586,0
7,4,4,5,24,0.13793103448275862,0.1724137931034483,0.8275862068965517,29,900,600,300,0.6666666666666666,12,6,6,365.036479606915,0.9541256157635468,-0.01459840085491293,0.18686145004240692,125974.1126543212,3397.0293209876836,129371.14197530888,6,0,3.413793103448276,29,0,23,39.866376129865344,0.5962643678160917,49.02777777777779,1003.8888888888907,34.61685823754796,0
8,4,10,8,26,0.29411764705882354,0.23529411764705882,0.7647058823529411,34,650,400,250,0.6153846153846154,9,4,5,330.10990567015665,0.9636437908496732,-0.08034492578469576,0.1735382241539762,127062.00573979602,1588.885345804999,128650.89108560102,7,0,3.2941176470588234,34,0,24,39.625890502617374,0.5946691176470588,47.94642857142858,1008.2142857142866,29.653361344537842,0
9,4,7,7,26,0.21212121212121213,0.21212121212121213,0.7878787878787878,33,1000,700,300,0.7,13,7,6,326.12907254361807,0.9491003787878789,-0.02947291092745652,0.17448539873442612,127772.558931661,1734.0692281814818,129506.62815984248,8,0,4.181818181818182,33,0,20,38.99949494949495,0.6041666666666665,47.242647058823536,1011.0294117647067,30.63725490196081,0
10,4,4,2,28,0.13333333333333333,0.06666666666666667,0.9333333333333333,30,1300,900,400,0.6923076923076923,17,9,8,346.47679699303023,0.9470306513409962,0.011258747453273044,0.18599032626030965,127906.48666030733,2863.325962538991,130769.81262284632,9,0,5.2,30,0,24,38.34817078572062,0.6131944444444446,47.110215053763426,1011.5591397849445,33.71863799283148,0
11,4,5,5,28,0.15151515151515152,0.15151515151515152,0.8484848484848485,33,1300,800,500,0.6153846153846154,18,8,10,321.5351998744194,0.9428661616161617,0.005969166620946487,0.17676968354078035,128858.98940611756,1686.5401828623205,130545.52958897987,10,0,5.575757575757576,33,0,20,38.008826191913094,0.6152146464646466,46.17034313725488,1015.3186274509782,30.767231134878127,0
12,4,2,2,28,0.06666666666666667,0.06666666666666667,0.9333333333333333,30,850,600,250,0.7058823529411765,11,6,5,373.5940945906135,0.9369252873563219,0.03766858058485778,0.1944298939811746,126651.92733625263,3463.282424268684,130115.2097605213,11,0,6.6,30,0,22,38.95212979035919,0.6003472222222224,48.353494623655905,1006.5860215053754,33.55286738351251,8
13,4,3,2,29,0.0967741935483871,0.06451612903225806,0.935483870967742,31,1350,1100,250,0.8148148148148148,16,11,5,352.3436894459534,0.942921146953405,0.02796004044220135,0.18672048012812523,127387.5957065157,2776.84309217663,130164.43879869232,12,0,6.903225806451613,31,0,19,38.73137817618986,0.6051747311827957,47.62369791666666,1009.5052083333321,32.56468413978491,0
14,4,4,5,28,0.12121212121212122,0.15151515151515152,0.8484848484848485,33,1050,800,250,0.7619047619047619,13,8,5,333.1290691524478,0.9409722222222223,0.02919836612461002,0.17919522631868154,127989.4770791282,1927.4030721357092,129916.88015126392,13,0,7.363636363636363,33,0,20,38.60095979169188,0.6063762626262627,47.0281862745098,1011.8872549019607,30.66325014854426,0
15,4,4,5,27,0.125,0.15625,0.84375,32,1000,600,400,0.6,14,6,8,336.89340051355555,0.9371219758064517,0.007074809779218816,0.1816324406131255,128080.61876658001,2229.903039230695,130310.5218058107,14,0,7.84375,32,0,20,38.4126439649079,0.6097005208333334,46.938131313131315,1012.2474747474753,31.632733585858603,0
16,4,2,1,28,0.06896551724137931,0.034482758620689655,0.9655172413793104,29,850,600,250,0.7058823529411765,11,6,5,361.1344447451443,0.9311371100164203,0.035813938064626516,0.19314457188096273,127758.10426311711,3427.5704089506,131185.67467206772,15,0,9.241379310344827,29,0,22,38.12952214131979,0.6145833333333335,47.256944444444436,1010.9722222222208,34.861111111111065,0
17,4,1,1,28,0.034482758620689655,0.034482758620689655,0.9655172413793104,29,1050,700,350,0.6666666666666666,14,7,7,360.55791061917245,0.9314449917898193,0.02243627671407933,0.19384976965761413,127968.81028163576,3428.0333719135715,131396.84365354932,16,0,9.689655172413794,29,0,23,37.92824868451155,0.6167385057471264,47.04861111111111,1011.8055555555552,34.88984674329501,0
18,4,2,1,29,0.06666666666666667,0.03333333333333333,0.9666666666666667,30,1100,800,300,0.7272727272727273,14,8,6,349.54690697406426,0.9342911877394636,0.02275581498186985,0.18956004206981977,128314.69859232275,2970.401202451143,131285.09979477388,17,0,10.3,30,0,24,37.853210400636776,0.6173611111111111,46.706989247311824,1013.1720430107521,33.77240143369173,0
19,4,3,1,31,0.09375,0.03125,0.96875,32,1000,700,300,0.7,13,7,6,329.95609737278653,0.9277553763440861,0.04227484472049681,0.18267858210804216,129137.21335833085,2121.92218906235,131259.1355473932,18,0,10.5625,32,0,22,37.512163561076605,0.6204427083333333,45.89646464646465,1016.414141414142,31.762941919191938,0
20,4,1,5,27,0.03125,0.15625,0.84375,32,850,600,250,0.7058823529411765,11,6,5,332.38385540748135,0.928637432795699,0.026757448789571647,0.18477239167061857,129297.68207644635,2195.2924127640104,131492.97448921035,19,0,11.0625,32,0,22,37.287399130974535,0.6220703125,45.73863636363637,1017.0454545454551,31.78267045454547,0
21,4,1,1,27,0.03571428571428571,0.03571428571428571,0.9642857142857143,28,1000,800,200,0.8,12,8,4,375.8226982135334,0.9227843915343915,0.0321322324084754,0.20517652178571796,128581.32524524379,4064.756118707891,132646.08136395167,20,0,12.392857142857142,28,0,22,36.91475421447797,0.6261160714285714,46.44396551724138,1014.2241379310348,36.2222906403941,0
