firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology
15,2100,2099,3,39.77272727272727,0.6041666666666667,39.583333333333336,0.0007278020378456995,0,0,0,0,265,503,448,320,41700.82956438091,41899.70830116919,-198.87873678827947,-296.5031483972141,5.920269757884486,10.490554808357764,235.46527446131478,418.74797943361415,62961301013969075067924728518
41,2100,2098,3,39.77272727272727,0.6458333333333333,35.416666666666664,0.01673944687045125,100,1,1,0,284,528,477,335,727193.2000113726,726900.0517723724,293.1482390001754,437.3012046077316,136.1662044313445,141.62248991282902,5415.701312610293,5653.097722353759,64024051151317744269747019158
47,2100,2098,3,39.77272727272727,0.6145833333333333,38.541666666666664,0.004730713245997101,50,1,0,1,276,555,472,359,329291.25615157397,329493.88278087875,-202.62662930480624,-140.4988844463456,38.481753426249604,43.273538584475695,1530.5242839985638,1727.335415163655,59834963486331204234078834630
50,2100,2098,2,39.77272727272727,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,252,519,411,360,217600.77208549506,217800.77208549506,-200.0,-300.0,0,0,0.0,0.0,59665116378737285516279912950
185,2100,2095,3,39.77272727272727,0.6145833333333333,38.541666666666664,0.004730713245997101,0,0,0,0,264,515,428,351,247137.05125737414,247289.67788667895,-152.62662930480624,-140.4988844463456,38.481753426249604,43.273538584475695,1530.5242839985638,1727.335415163655,25464355828207208391268830548
286,2100,2092,3,39.77272727272727,0.6145833333333333,38.541666666666664,0.004730713245997101,50,1,0,1,275,497,445,327,311546.4962742727,311749.12290357746,-202.62662930480624,-140.4988844463456,38.481753426249604,43.273538584475695,1530.5242839985638,1727.335415163655,75223322710184732332838083216
451,2100,2088,2,39.77272727272727,0.42708333333333337,57.291666666666664,0.0,0,0,0,0,192,464,366,290,98903.43134747123,99103.43134747123,-200.0,-200.0,0,0,0.0,0.0,5656660119881210244037540582
839,2100,2079,3,39.77272727272727,0.6041666666666667,39.583333333333336,0.0007278020378456995,0,0,0,0,247,501,411,337,65265.78967070386,65464.668407492136,-198.87873678827947,-196.50314839721406,5.920269757884486,10.490554808357764,235.46527446131478,418.74797943361415,64651658084249268309520236808
2035,2100,2049,3,39.77272727272727,0.6666666666666667,33.333333333333336,0.024745269286754,0,0,0,0,227,444,365,306,156081.42418292526,154985.2439101763,1096.180272748963,1163.9906783116746,201.2891717680743,207.18845746506443,8005.819331684774,8270.272593813823,46784749628909452001418894292
2152,2100,2046,2,39.77272727272727,0.53125,46.875,0.0,0,0,0,0,235,495,413,317,468018.0288751411,468218.0288751411,-200.0,-300.0,0,0,0.0,0.0,25797317047683716982922211484
2259,2100,2043,2,39.77272727272727,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,234,480,395,319,263278.1819156603,263478.1819156603,-200.0,-200.0,0,0,0.0,0.0,43862323757962438249318676484
2303,2100,2042,2,39.77272727272727,0.53125,46.875,0.0,0,0,0,0,258,508,457,309,500456.4989117762,500656.4989117762,-200.0,-300.0,0,0,0.0,0.0,8505408740807671424982153622
3803,2100,2004,2,39.77272727272727,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,237,464,402,299,271960.33920017025,272160.33920017025,-200.0,-200.0,0,0,0.0,0.0,65765198003279725262355729494
3813,2100,2004,2,39.77272727272727,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,269,489,423,335,166826.23235512598,167026.23235512598,-200.0,-250.0,0,0,0.0,0.0,46861205923366941193091930628
3964,2100,2000,2,39.77272727272727,0.5833333333333333,41.666666666666664,0.0,100,1,1,0,275,519,436,358,9068.998955844927,9368.998955844927,-300.0,-200.0,0,0,0.0,0.0,48013201234357014666515274044
