period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,32,40,8,32,1.0,0.2,0.8,40,0,0,0,0,0,0,0,389.0045624264125,0.5011084401709401,0.4175828313253014,0.1699335720073276,953494.8096885814,66182.76624375241,1019677.5759323338,0,0,0.0,33,7,32,46.386065093708176,0.5151515151515151,55.88235294117647,7811.764705882353,236.72014260249554,0
2,32,32,18,46,0.5,0.28125,0.71875,64,700,200,500,0.2857142857142857,12,2,10,287.6125370060205,0.4986462466931217,0.508286303075828,0.13899257758942077,988554.948627428,43364.15934891818,1031919.1079763463,1,0,0.5,52,12,32,44.28570016604729,0.5334535256410257,51.43474842767296,7954.088050314468,152.96323173681668,0
3,32,18,12,52,0.28125,0.1875,0.8125,64,1800,1000,800,0.5555555555555556,26,10,16,263.56342653153627,0.49574756117724866,0.45588381307209436,0.13292807841741214,1002880.859733699,38264.54315886124,1041145.4028925602,2,0,1.171875,54,10,37,43.04158156189324,0.5499614197530864,49.64015151515151,8011.515151515138,148.36139169472477,0
4,32,10,5,57,0.16129032258064516,0.08064516129032258,0.9193548387096774,62,1900,1400,500,0.7368421052631579,24,14,10,248.61174240566288,0.4946897585052001,0.40013416554862036,0.12848812481339403,1010938.8429752073,35966.253443526235,1046905.0964187335,3,0,1.8870967741935485,54,8,42,42.387168474984946,0.5601851851851851,48.63636363636364,8043.6363636363685,148.95622895622904,0
5,32,9,6,60,0.13636363636363635,0.09090909090909091,0.9090909090909091,66,1950,1300,650,0.6666666666666666,26,13,13,233.36561790947354,0.49214743589743587,0.3965699793164579,0.12308369447453968,1017562.7818089538,32342.833467705943,1049905.6152766598,4,0,2.4393939393939394,60,6,40,41.92905832430482,0.5638888888888889,47.81420765027323,8069.94535519127,134.49908925318783,0
6,32,8,10,58,0.11764705882352941,0.14705882352941177,0.8529411764705882,68,2200,1500,700,0.6818181818181818,29,15,14,228.74761770129365,0.4901091966637401,0.4069935153347344,0.12275319526749384,1023148.3056185403,31008.547493071077,1054156.8531116114,5,0,3.176470588235294,62,6,39,41.33851510396233,0.5695564516129032,47.12301587301586,8092.063492063464,130.5171530977978,0
7,32,4,2,60,0.06451612903225806,0.03225806451612903,0.967741935483871,62,1900,1400,500,0.7368421052631579,24,14,10,253.69069425546462,0.4888451877313591,0.4319625669526006,0.13281453993374273,1015151.2993947986,37206.88758356047,1052358.186978359,6,0,3.9516129032258065,52,10,39,41.723074022055755,0.5673076923076923,48.11320754716979,8060.377358490535,155.00725689404874,7
8,32,6,4,62,0.09090909090909091,0.06060606060606061,0.9393939393939394,66,2250,1300,950,0.5777777777777777,32,13,19,236.0357366623768,0.49022435897435895,0.42688028729568206,0.1258600980183418,1021097.7747294578,32753.11309251605,1053850.8878219738,7,0,4.515151515151516,53,13,41,41.41372683771124,0.5738993710691824,47.37654320987652,8083.950617283917,152.5273701374324,0
9,32,4,3,63,0.06060606060606061,0.045454545454545456,0.9545454545454546,66,1950,1200,750,0.6153846153846154,27,12,15,226.26422578555812,0.4896367521367522,0.4020204887363561,0.12207180205857884,1024865.32236755,31228.07173999193,1056093.394107542,8,0,5.196969696969697,57,9,41,41.18441905572899,0.5752923976608186,46.91091954022988,8098.850574712629,142.08509780197596,0
10,32,7,2,68,0.1,0.02857142857142857,0.9714285714285714,70,2200,1300,900,0.5909090909090909,31,13,18,213.8590059367064,0.48932022084196,0.40275878375183316,0.11742421972642503,1030470.5791493244,27875.08274077937,1058345.6618901037,9,0,5.571428571428571,61,9,40,40.79243903784623,0.579405737704918,46.219758064516135,8120.96774193549,133.13061872025395,0
