period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
1,4,4,40,24,16,1.0,0.6,0.4,40,0,0,0,0,0,0,0,341.57857890527123,0.49946581196581197,0.34457087126137864,0.15728977675338524,121499.21926364226,300.30613083496905,121799.52539447723,0,0,0.0,38,2,16,45.10660489813612,0.5247395833333333,53.52564102564102,985.8974358974352,25.94466936572198,0.0
2,4,4,38,36,18,0.7037037037037037,0.6666666666666666,0.33333333333333337,54,500,300,200,0.6,7,3,4,264.46529633577626,0.4976051129746098,0.3691356053010588,0.1350142236450446,125862.86214995348,-4642.728172768677,121220.1339771848,1,0,0.2962962962962963,51,3,11,42.504208922249745,0.5542052469135803,49.138621794871824,1003.4455128205187,19.675402212167032,0.0
3,4,4,23,20,21,0.5609756097560976,0.4878048780487805,0.5121951219512195,41,350,300,50,0.8571428571428571,4,3,1,293.91711377532073,0.49448678861788614,0.25819527118591035,0.15171992429369974,126317.93986402433,-1124.5991394242874,125193.34072460004,2,0,0.6585365853658537,41,0,14,41.298953090562186,0.5744410569105691,48.68551587301587,1005.2579365079366,24.518486256291137,0.0
4,4,4,8,5,24,0.27586206896551724,0.1724137931034483,0.8275862068965517,29,550,400,150,0.7272727272727273,7,4,3,364.49138840166074,0.4875821018062398,0.1338422075843917,0.18516983341812743,125660.59268904333,2810.4407793210034,128471.03346836433,3,0,1.4482758620689655,29,0,22,40.203946760862536,0.5930316091954023,49.340277777777786,1002.6388888888898,34.573754789272066,0.0
5,4,4,10,13,21,0.29411764705882354,0.38235294117647056,0.6176470588235294,34,800,600,200,0.75,10,6,4,313.88802213542647,0.4904745989304813,0.14362473377132368,0.16623713552069252,127362.24666950144,395.4967403628433,127757.74340986428,4,0,1.9411764705882353,34,0,13,39.72780791760033,0.5977328431372548,47.64880952380954,1009.4047619047644,29.68837535014013,0.0
6,4,4,3,0,24,0.125,0.0,1.0,24,700,400,300,0.5714285714285714,10,4,6,427.7299414556927,0.49101751207729466,0.08785975711196148,0.2162392496291142,125458.75347222218,5232.493055555551,130691.24652777772,5,0,2.9166666666666665,24,0,24,38.828813841290966,0.6089409722222222,49.541666666666664,1001.8333333333329,41.743055555555536,0.0
7,4,4,5,4,25,0.1724137931034483,0.13793103448275862,0.8620689655172413,29,1000,700,300,0.7,13,7,6,360.3025786243722,0.49127668308702793,0.11813713396466285,0.1908658266357097,127372.2608024691,2378.51080246913,129750.77160493823,6,0,3.2413793103448274,29,0,20,38.546252981104395,0.610632183908046,47.638888888888886,1009.4444444444441,34.80842911877394,0.0
8,4,4,3,0,28,0.10714285714285714,0.0,1.0,28,1000,600,400,0.6,14,6,8,372.46339386527217,0.49211860670194,0.11147955556458378,0.19860007953407552,127635.87753088237,2907.9384248249207,130543.8159557073,7,0,4.0,28,0,18,37.96862410540785,0.6164434523809523,47.37787356321838,1010.4885057471249,36.08887520525446,0.0
9,4,4,3,0,31,0.0967741935483871,0.0,1.0,31,700,500,200,0.7142857142857143,9,5,4,342.08120305344016,0.4914874551971326,0.13558648769426873,0.1878073985214519,128804.55864800338,1912.3236762152671,130716.88232421865,8,0,4.516129032258065,31,0,17,37.542756969386005,0.6196236559139785,46.22395833333333,1015.1041666666658,32.74529569892471,0.0
10,4,4,1,7,25,0.03125,0.21875,0.78125,32,850,500,350,0.5882352941176471,12,5,7,336.4623604703574,0.49092741935483875,0.1530621742367826,0.1874974896729005,129394.01113406805,1457.2428833792537,130851.2540174473,9,0,5.34375,32,0,16,37.085815338793736,0.623046875,45.6439393939394,1017.4242424242432,31.7945075757576,0.0
11,4,4,1,0,26,0.038461538461538464,0.0,1.0,26,1000,700,300,0.7,13,7,6,399.17453092616046,0.4894230769230769,0.1062494144101942,0.2170346290664754,128418.1146166743,4052.248132906578,132470.36274958088,10,0,6.0,26,0,21,36.490052781161204,0.6314102564102564,46.604938271604944,1013.5802469135804,38.98385565052232,0.0
12,4,4,1,0,27,0.037037037037037035,0.0,1.0,27,600,400,200,0.6666666666666666,8,4,4,384.91196790201843,0.4898504273504274,0.10916179337231946,0.21122160362507403,128785.67719405484,3914.229689271559,132699.9068833264,11,0,6.7407407407407405,27,0,23,36.47513194546255,0.6315586419753086,46.24255952380953,1015.029761904763,37.59369488536159,0.0
13,4,4,0,0,27,0.0,0.0,1.0,27,850,500,350,0.5882352941176471,12,5,7,385.19470824082094,0.4896130104463438,0.11127398286589174,0.21157796293227693,128823.44148596932,3674.4215915532795,132497.8630775226,12,1,7.7407407407407405,27,0,22,36.429321802013085,0.6319444444444444,46.20535714285714,1015.1785714285709,37.59920634920633,0.0
14,4,4,0,0,27,0.0,0.0,1.0,27,600,200,400,0.3333333333333333,10,2,8,416.26960186833253,0.4895536562203229,0.19951258428685392,0.21939932826310707,127167.04976261331,4587.155435090691,131754.205197704,13,2,8.74074074074074,27,0,18,37.34570178026949,0.6149691358024691,47.8422619047619,1008.6309523809518,37.35670194003525,8.0
15,4,4,1,1,27,0.03571428571428571,0.03571428571428571,0.9642857142857143,28,750,600,150,0.8,9,6,3,403.19137704993824,0.4886739417989418,0.20343072515594174,0.2145979236970565,127563.2952875215,3936.4841376007425,131499.77942512225,14,0,9.392857142857142,28,0,16,37.26710283032285,0.6156994047619048,47.44971264367816,1010.2011494252877,36.07861247947456,0.0
16,4,4,2,0,29,0.06896551724137931,0.0,1.0,29,650,400,250,0.6153846153846154,9,4,5,384.55235442494546,0.4884544334975369,0.18839965121764068,0.1983610398412924,126288.02324459888,3262.871334876559,129550.89457947544,15,0,9.586206896551724,29,0,19,39.052064621620374,0.5994971264367817,48.715277777777786,1005.1388888888898,34.65996168582379,7.5
17,4,4,1,1,29,0.03333333333333333,0.03333333333333333,0.9666666666666667,30,850,600,250,0.7058823529411765,11,6,5,373.1893526036494,0.4872126436781609,0.19204272363150832,0.19438026780259632,126685.75304948552,2605.554832928663,129291.30788241418,16,0,10.233333333333333,30,0,21,38.927458834000895,0.6006944444444444,48.31989247311828,1006.720430107527,33.5573476702509,0.0
18,4,4,4,3,30,0.12121212121212122,0.09090909090909091,0.9090909090909091,33,1100,900,200,0.8181818181818182,13,9,4,340.61684243936855,0.49025410353535354,0.1899831853793572,0.18279918189171335,127896.48963139196,1012.7396914648458,128909.2293228568,17,0,9.878787878787879,33,0,15,38.50658266698974,0.6054292929292929,47.1200980392157,1011.5196078431387,30.65210932857996,0.0
19,4,4,3,1,32,0.09090909090909091,0.030303030303030304,0.9696969696969697,33,1000,700,300,0.7,13,7,6,336.7653596233887,0.48851799242424243,0.18087292951275535,0.18312861863544033,128423.8652951989,1049.7418360726547,129473.60713127156,18,0,10.272727272727273,33,0,17,38.06560573086687,0.6107954545454546,46.59926470588235,1013.6029411764702,30.715240641711215,0.0
20,4,4,1,1,32,0.030303030303030304,0.030303030303030304,0.9696969696969697,33,1100,800,300,0.7272727272727273,14,8,6,339.08785886748706,0.488320707070707,0.18608394704012232,0.18612755036443956,128796.78376405693,1034.6851271145483,129831.46889117148,19,0,10.878787878787879,33,0,16,37.626639905026344,0.6145833333333333,46.23161764705881,1015.0735294117634,30.759803921568587,0.0
21,4,4,2,5,29,0.058823529411764705,0.14705882352941177,0.8529411764705882,34,800,500,300,0.625,11,5,6,334.3592072293298,0.48755941770647654,0.19796461806490084,0.18689014638269233,129513.0553753362,1060.7765042291212,130573.83187956532,20,0,11.0,33,1,11,37.01842041897426,0.6194852941176471,45.526960784313715,1017.8921568627434,30.845216874628587,0.0
22,4,4,1,1,29,0.03333333333333333,0.03333333333333333,0.9666666666666667,30,1100,900,200,0.8181818181818182,13,9,4,373.01374617923443,0.4842911877394636,0.18320543353620922,0.20578378785566814,128996.49706613483,2523.4933229275152,131519.99038906235,21,0,12.066666666666666,30,0,18,36.56170062626799,0.6243055555555556,46.03494623655914,1015.8602150537636,33.86200716845879,0.0
23,4,4,2,1,30,0.06451612903225806,0.03225806451612903,0.967741935483871,31,1100,800,300,0.7272727272727273,14,8,6,359.68176190033694,0.48499103942652333,0.17858664349130082,0.20084884226470162,129474.83090530711,2013.9470603538243,131488.77796566093,22,0,12.193548387096774,30,1,14,36.41293581616483,0.6263440860215054,45.56451612903227,1017.7419354838721,33.92473118279574,0.0
24,4,4,1,1,30,0.03225806451612903,0.03225806451612903,0.967741935483871,31,900,600,300,0.6666666666666666,12,6,6,360.3444563664871,0.48494623655913977,0.1841651517538221,0.20209696120569032,129645.87894915612,2243.434754017824,131889.31370317395,23,0,13.161290322580646,30,1,14,36.22200959042717,0.6280241935483871,45.396505376344095,1018.4139784946249,33.947132616487494,0.0
25,4,4,1,1,30,0.03225806451612903,0.03225806451612903,0.967741935483871,31,900,500,400,0.5555555555555556,13,5,8,348.9258555016943,0.4837365591397849,0.15704551536735467,0.1979604690699332,130096.48852878161,1978.8057115343083,132075.2942403159,24,0,13.387096774193548,31,0,16,36.05522761114657,0.632728494623656,44.95442708333334,1020.1822916666679,32.90910618279574,0.0
26,4,4,0,2,28,0.0,0.06666666666666667,0.9333333333333333,30,1300,800,500,0.6153846153846154,18,8,10,358.1769319938585,0.4846503831417624,0.15150836516927924,0.2033598422412403,130125.41415553835,2021.5843233321993,132146.99847887055,25,1,14.733333333333333,30,0,17,35.789915689632466,0.6357638888888889,44.926075268817215,1020.2956989247323,34.00985663082441,0.0
