period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,23,17,1.0,0.575,0.42500000000000004,40,0,0,0,0,0,0,0,388.24706230837387,1.0016292735042736,-0.06280821917808155,0.1769366577943382,121048.88294165692,2799.3746395616954,123848.25758121861,0,0,0.0,33,7,17,44.43129929431301,0.5347222222222223,53.982843137254896,984.0686274509793,29.820261437908464,0
2,4,31,30,18,0.6458333333333334,0.625,0.375,48,350,100,250,0.2857142857142857,6,1,5,342.6499672323147,0.9992612293144207,-0.22636812736766643,0.16397169181567975,123152.20484045566,439.61979063390515,123591.82463108956,1,0,0.3541666666666667,40,8,15,43.35197604177332,0.5434895833333333,51.85467479674798,992.5813008130101,24.81453252032525,0
3,4,26,24,20,0.5909090909090909,0.5454545454545454,0.4545454545454546,44,400,200,200,0.5,6,2,4,334.50394604348065,0.9880197322057788,-0.2308922646944186,0.1634573958106185,124038.31515842007,498.26117621527396,124536.57633463535,2,0,0.7045454545454546,39,5,19,42.633173864547395,0.5542200854700855,50.963541666666664,996.1458333333327,25.542200854700837,0
4,4,16,14,22,0.4444444444444444,0.3888888888888889,0.6111111111111112,36,800,600,200,0.75,10,6,4,355.5940223686435,0.9819113756613758,-0.17224353910393853,0.1755386424628723,124465.66234731376,1651.8491041717607,126117.51145148552,3,0,1.3611111111111112,36,0,18,41.66408042734078,0.5639467592592592,50.53490990990992,997.8603603603622,27.718343343343392,0
5,4,12,12,22,0.35294117647058826,0.35294117647058826,0.6470588235294117,34,650,200,450,0.3076923076923077,11,2,9,329.87779910143655,0.9733363042186572,-0.09216058781622316,0.16756518842173077,125655.61933106558,1490.1998299319578,127145.81916099753,4,0,2.0,34,0,19,41.07669397609439,0.5802696078431373,49.34523809523809,1002.6190476190461,29.48879551820724,0
6,4,9,9,22,0.2903225806451613,0.2903225806451613,0.7096774193548387,31,1200,1100,100,0.9166666666666666,13,11,2,355.6681396293954,0.9671146953405018,-0.05521816704500715,0.1809350073596832,125717.1715630426,2742.718505859386,128459.890068902,5,0,2.7096774193548385,31,0,20,40.36667965030727,0.588037634408602,49.28385416666667,1002.8645833333339,32.35047043010755,0
7,4,9,7,24,0.2903225806451613,0.22580645161290322,0.7741935483870968,31,900,700,200,0.7777777777777778,11,7,4,349.30555555555543,0.9670250896057347,-0.07284946236559187,0.17465277777777768,124999.99999999991,2532.6388888888728,127532.63888888879,6,0,3.2580645161290325,31,0,23,41.26736111111111,0.5806451612903226,49.99999999999999,999.9999999999993,32.25806451612901,5
8,4,8,8,24,0.25,0.25,0.75,32,450,400,50,0.8888888888888888,5,4,1,335.19244483494066,0.970640120967742,-0.05881357799320153,0.17055948682408265,125727.06428234348,2028.5524117436805,127755.61669408716,7,0,3.71875,32,0,20,40.86984346804315,0.5856119791666667,49.27398989898989,1002.904040404039,31.34075126262622,0
9,4,6,3,27,0.2,0.1,0.9,30,850,600,250,0.7058823529411765,11,6,5,351.0659669450159,0.9628352490421457,-0.018551268310111002,0.1789860913440984,125807.75234131126,2833.364044976314,128641.11638628758,8,0,4.666666666666667,30,0,23,40.38858744194354,0.5916666666666666,49.19354838709678,1003.225806451614,33.440860215053796,0
10,4,2,0,29,0.06896551724137931,0.0,1.0,29,1050,900,150,0.8571428571428571,12,9,3,358.04793347168925,0.9543308702791461,0.016879005187671714,0.1839064385559133,126113.58024691373,3230.9413580247146,129344.52160493845,9,0,5.758620689655173,29,0,25,39.89790744837758,0.5977011494252873,48.8888888888889,1004.4444444444457,34.63601532567054,0
11,4,4,4,29,0.12121212121212122,0.12121212121212122,0.8787878787878788,33,600,500,100,0.8333333333333334,7,5,2,318.67371765742985,0.9523358585858587,-0.0030048940001541347,0.16777773657088904,127122.90833153152,1502.1459594867886,128625.05429101831,10,0,5.9393939393939394,33,0,21,39.85181978369184,0.5975378787878786,47.88602941176473,1008.4558823529443,30.559269162210434,0
12,4,3,3,29,0.09375,0.09375,0.90625,32,1150,900,250,0.782608695652174,14,9,5,327.16274833391964,0.9487567204301076,0.027097409909910386,0.17292888126221492,127283.05785123985,1928.4550045913975,129211.51285583124,11,0,6.96875,32,0,23,39.47384884884885,0.6015624999999998,47.72727272727274,1009.0909090909106,31.534090909090956,0
13,4,2,1,30,0.06451612903225806,0.03225806451612903,0.967741935483871,31,900,700,200,0.7777777777777778,11,7,4,336.9017273673257,0.9477598566308244,0.04022476586888657,0.17810289134357254,127289.03028700083,2376.7788357204818,129665.80912272132,12,0,7.870967741935484,31,0,25,39.22204301075268,0.6041666666666667,47.721354166666664,1009.114583333333,32.55208333333332,0
