period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1.0,4.0,40.0,23.862,16.138,1.0,0.5965499999999996,0.4034500000000002,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.1537206024654,0.5000412126068375,-3.05939802366344e-05,0.16838695673280307,119321.34113989034,2172.4102419436304,121493.75138183412,0.0,0.0,0.0,34.978,5.022,16.138,46.36271100325114,0.5126094246720573,55.74605389752334,977.0157844099066,28.027985458916046,0.26
2.0,4.0,27.714,26.046,17.806,0.6274815289541008,0.5893860084191377,0.41061399158086304,43.852,425.3,281.4,143.9,0.6319312997460068,5.692,2.814,2.878,317.3573309994189,0.49734709275014266,-0.09192348419850609,0.1505787547111533,122787.48752054949,-597.0470665246794,122190.44045402473,1.0,0.0,0.3725184710458992,41.952,1.9,13.956,44.360355255118456,0.5372109981945735,52.22346242476608,991.106150300936,23.778248976893604,0.334
3.0,4.0,18.944,16.62,20.13,0.5048311982593559,0.44101174480522265,0.558988255194777,36.75,489.1,326.2,162.9,0.6359597722710738,6.52,3.262,3.258,335.65384875677825,0.49369022006033403,-0.07713279334862405,0.1626228169982507,123684.4488076218,1023.6544611165476,124708.10326873836,2.0,0.0,0.8023292356096199,36.386,0.364,16.294,42.97357580862188,0.55597624788567,51.32006657211336,994.7197337115462,27.670765442721404,0.34
4.0,4.0,12.142,10.28,21.992,0.3672149627417091,0.30726086970438093,0.6927391302956177,32.272,558.4,371.4,187.0,0.6459051587477159,7.454,3.714,3.74,352.87515747504517,0.4897393484025303,-0.04053967519495471,0.17317154962672215,124238.32666129716,2314.382748374966,126552.70940967208,3.0,0.0,1.375437073703166,32.254,0.018,18.058,41.97014178689817,0.5705485634254355,50.763980477381246,996.9440780904744,31.275347279699066,0.366
5.0,4.0,8.14,6.794,23.338,0.26367109554205115,0.21652878519419688,0.7834712148058025,30.132,609.3,401.8,207.5,0.6356187328839039,8.168,4.018,4.15,366.2092152006766,0.4868480735788749,-0.015598779809058305,0.18139573845857604,124635.4214106773,3099.7828466550905,127735.20425733241,4.0,0.004,2.0106848285974763,30.13,0.002,19.352,41.22554705703852,0.580009187154414,50.36599854632108,998.5360058147161,33.467669047050016,0.38
6.0,4.0,6.012,4.784,24.566,0.2005957903956653,0.15637580665706013,0.8436241933429397,29.35,689.0,467.6,221.4,0.6605990842453502,9.104,4.676,4.428,371.02262960668827,0.4846485533704976,-0.0025911294583247074,0.18569384844469275,125068.56448567731,3408.0466232071853,128476.61110888468,5.0,0.004,2.6457952417058475,29.338,0.012,20.326,40.65609076094471,0.5865899776534909,49.93270628267711,1000.2691748692918,34.366816192104984,0.34
7.0,4.0,4.566,3.924,25.208,0.1533357169507451,0.12954771599023712,0.8704522840097634,29.132,736.6,491.0,245.6,0.6494914629735947,9.822,4.91,4.912,371.6297327770159,0.48274015865510556,0.004721633108540413,0.18777241489187713,125461.46441953247,3496.1945376622853,128957.65895719478,6.0,0.02,3.2835931854960307,29.13,0.002,20.516,40.233627116903946,0.5912163296891273,49.540108455174966,1001.8395661793002,34.64696569635099,0.444
8.0,4.0,3.722,3.2,25.73,0.1256721598894372,0.10579669753557162,0.894203302464429,28.93,747.8,506.2,241.6,0.6608924339458576,9.894,5.062,4.832,373.1410912015003,0.48119637058607184,0.008184293208274688,0.19017312628699773,125815.94544656914,3601.2895407402375,129417.23498730948,7.0,0.04,3.910233136809529,28.928,0.002,21.01,39.8288194593222,0.5954445556881154,49.18647222035317,1003.2541111185877,34.923711156658925,0.288
9.0,4.0,3.002,2.652,26.08,0.10217833471606082,0.08855421997264298,0.9114457800273572,28.732,781.5,522.2,259.3,0.6505083180106919,10.408,5.222,5.186,374.98265582542365,0.4796321068569437,0.010888995818666593,0.192480800127934,126107.3888011895,3709.0131526794785,129816.40195386916,7.998,0.064,4.5608827074701965,28.728,0.004,21.294,39.481426226874525,0.598953827307141,48.89621805729652,1004.4151277708127,35.166403152042385,0.404
10.0,4.0,2.656,2.414,26.322,0.09019119691935507,0.08107541096212023,0.9189245890378797,28.736,796.8,537.6,259.2,0.6579839298038044,10.56,5.376,5.184,374.5980177978721,0.47818264985773906,0.010916097855783805,0.19367086541603734,126398.4728646809,3720.6756522591622,130119.14851694016,8.998,0.102,5.181964132672752,28.73,0.006,21.488,39.19044783556034,0.6019076124418381,48.606578247511614,1005.5736870099526,35.18935796678175,0.412
11.0,4.0,2.164,2.03,26.456,0.0741153250658679,0.06862438105272296,0.9313756189472769,28.486,821.8,548.2,273.6,0.6517386389677016,10.954,5.482,5.472,376.95348474254047,0.47691544321625184,0.010460676791838179,0.19591213159460202,126611.70293951643,3846.678440568748,130458.38138008534,9.998,0.146,5.85164489454031,28.482,0.004,21.766,38.91114990127109,0.6048520539673864,48.39454734729437,1006.4218106108226,35.519010976132044,0.312
12.0,4.0,2.086,1.806,26.736,0.07111917380690297,0.060890780260456336,0.9391092197395434,28.542,849.7,585.4,264.3,0.6742731038425561,11.14,5.854,5.286,376.42415103063416,0.4755879483753761,0.01162576579167246,0.1969049590524496,126874.69501346935,3841.4455950345996,130716.140608504,10.998,0.176,6.485246706688374,28.542,0.0,21.764,38.65344163672526,0.6073464423271885,48.133369143874454,1007.4665234245019,35.47205350637308,0.398
13.0,4.0,1.77,1.676,26.83,0.06045953937589335,0.05681989316424536,0.9431801068357539,28.506,842.8,569.4,273.4,0.660887778378812,11.162,5.694,5.468,376.7542000274441,0.47440313155980285,0.012467881761360313,0.19815666208834248,127095.84675187067,3873.774337857342,130969.6210897281,11.998,0.246,7.154757752354529,28.502,0.004,21.854,38.41755672510805,0.6097248355329652,47.91405326394695,1008.3437869442121,35.5461472689739,0.33
14.0,4.0,1.574,1.47,26.934,0.053933934653653266,0.049945325281057246,0.9500546747189421,28.404,859.6,582.6,277.0,0.665443434842806,11.366,5.826,5.54,377.91988163106436,0.47320084304520477,0.01193060630874638,0.19985041653961,127312.46257369503,3940.624258592761,131253.08683228778,12.998,0.282,7.8189272899159095,28.392,0.012,22.188,38.16510613161899,0.612299362459023,47.69924868959835,1009.2030052416063,35.71673974200261,0.282
15.0,4.0,1.448,1.284,27.098,0.04934784692006271,0.04342022165026145,0.9565797783497374,28.382,857.8,578.0,279.8,0.6582152996765245,11.376,5.78,5.596,378.4925323849951,0.4721036811598133,0.011276250418606002,0.2009352260136982,127471.80354537403,3971.1434677299835,131442.9470131039,13.996,0.374,8.471298181235515,28.37,0.012,22.104,37.98725494774194,0.6140139857222658,47.54165951647034,1009.8333619341189,35.77223235478745,0.422
