period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1.0,4.0,40.0,24.128,15.872,1.0,0.6032000000000001,0.3968000000000003,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.8585496287578,1.0000888354700854,0.004506998063278784,0.16935797291157167,119272.02631143222,2224.998679418686,121497.02499085106,0.0,0.0,0.0,35.016,4.984,15.872,46.34939221375325,0.5119882465195243,55.79656873308989,976.8137250676406,27.981573540168867,0.454
2.0,4.0,35.346,33.278,17.94,0.6887660330639844,0.6486297323950984,0.3513702676049012,51.218,430.4,291.6,138.8,0.6467191465397355,5.692,2.916,2.776,318.59494103830656,0.9979830191636789,-0.15199922243864664,0.15110912854464378,122764.2219376152,-685.9493447648234,122078.2725928504,1.0,0.0,0.3112339669360151,42.548,8.67,14.048,44.35347064420045,0.5360622241082712,52.24677716632048,991.0128913347178,23.411998308590587,0.42
3.0,4.0,27.524,25.938,19.526,0.5982230771163736,0.5646817355099705,0.4353182644900296,45.464,488.0,327.8,160.2,0.6432924274727698,6.482,3.278,3.204,322.5095813573866,0.9924670304823267,-0.16157706021763002,0.15675555958881177,123818.46216159928,-270.8335176497673,123547.62864394972,2.0,0.0,0.6513337971428426,41.276,4.188,15.016,43.16137099556566,0.548787124891142,51.185390909670666,995.2584363613179,24.256413595139556,0.376
4.0,4.0,21.186,20.098,20.614,0.5121787444458055,0.4867837752624809,0.5132162247375193,40.712,546.5,365.4,181.1,0.6441618370449647,7.276,3.654,3.622,326.4707143506784,0.9862395364808423,-0.13825982453050628,0.1616083655497973,124587.69333420404,288.69992745924634,124876.39326166335,3.0,0.0,1.0791397857739788,39.22,1.492,16.162,42.26582032499122,0.5599696177041523,50.41360540840634,998.3455783663745,25.642268715286356,0.384
5.0,4.0,16.324,15.5,21.438,0.43195423866560134,0.40968161488791627,0.5903183851120837,36.938,580.8,388.0,192.8,0.6412392495705196,7.736,3.88,3.856,335.88247737321103,0.9807469300016715,-0.11775376086966642,0.1678583176701428,124990.38423841205,1077.4955761230544,126067.87981453522,4.0,0.0,1.5761244231673799,36.586,0.352,17.264,41.61453523847964,0.5689774719167908,50.01058152993898,999.9576738802444,27.633314886471968,0.32
6.0,4.0,13.742,13.138,22.042,0.38181277182932916,0.3637584718920904,0.6362415281079096,35.18,633.8,428.0,205.8,0.656396982435164,8.396,4.28,4.116,340.38430421549265,0.9761595501622143,-0.10004836085033635,0.17184315342022263,125413.17469035577,1524.7157073678034,126937.89039772362,5.0,0.0,2.0733325758010923,35.05,0.13,17.932,41.06523174551574,0.5763409621892492,49.58814688970055,1001.6474124411975,28.888972434501824,0.438
7.0,4.0,11.206,10.374,22.874,0.32849977506644196,0.3025996569286735,0.6974003430713265,33.248,658.9,442.2,216.7,0.6493018269304923,8.756,4.422,4.334,349.3319570030577,0.9716163638059232,-0.08185211508542414,0.17748788560789078,125677.6695441446,2130.447099443113,127808.1166435879,6.0,0.0,2.6435230213573604,33.234,0.014,18.77,40.56811061222739,0.5830044127130127,49.32425192774722,1002.7029922890106,30.498772796194025,0.386
8.0,4.0,9.418,8.838,23.454,0.28366136192760394,0.26426833285326934,0.7357316671467303,32.292,699.5,469.2,230.3,0.6543208594779885,9.298,4.692,4.606,352.5734795587976,0.9677204390228833,-0.06751701060592274,0.18055649609661376,126002.72754982265,2428.3848554589645,128431.11240528164,7.0,0.0,3.2292320924498226,32.274,0.018,19.428,40.15150512678235,0.5885576409261462,49.00033310442273,1003.9986675823088,31.424388788149457,0.378
9.0,4.0,7.808,7.248,24.014,0.2429342761909599,0.22431850399328407,0.7756814960067161,31.262,730.2,494.6,235.6,0.6601134865636417,9.658,4.946,4.712,358.55825053765903,0.9643710538162961,-0.05501046240618486,0.18461858544620757,126220.72950958877,2797.914706750698,129018.64421633945,8.0,0.002,3.856027265147887,31.26,0.002,19.706,39.77626590603746,0.5932238384699765,48.78326092025508,1004.8669563189792,32.42257906901093,0.406
10.0,4.0,6.784,6.44,24.358,0.21372431755383572,0.2013607461729616,0.7986392538270389,30.798,732.9,489.6,243.3,0.6526619394405879,9.762,4.896,4.866,360.74247151322413,0.9607870985154194,-0.04548166334293365,0.18686031453991903,126469.80426126406,2966.440217480786,129436.24447874501,8.996,0.002,4.484644880536234,30.774,0.024,20.048,39.46490749309073,0.5970640677677564,48.53556723662972,1005.8577310534821,32.96789605362121,0.458
11.0,4.0,5.98,5.75,24.588,0.19149126849554565,0.18317589471893106,0.8168241052810687,30.338,772.3,520.2,252.1,0.6550902751480444,10.244,5.202,5.042,363.79108414440424,0.9584345432091842,-0.038200027993394475,0.1893023436493397,126656.59182338684,3146.3821267328713,129802.97395011983,9.992,0.004,5.116827226328905,30.326,0.012,20.326,39.196032479903856,0.6001373523934378,48.35005462234568,1006.5997815106183,33.45515944675753,0.432
12.0,4.0,5.306,4.958,24.936,0.17254729651604608,0.16029033960445593,0.8397096603955446,29.894,766.9,509.2,257.7,0.6511228982577231,10.246,5.092,5.154,367.3418783587812,0.955819260274242,-0.03413891447240267,0.19196974250885915,126830.12025365155,3337.874765137685,130167.99501878934,10.99,0.02,5.748438905806095,29.884,0.01,20.806,38.9278934651631,0.6031208086989803,48.17765595897932,1007.2893761640831,33.958947315509576,0.384
13.0,4.0,4.826,4.484,25.278,0.15751407474135742,0.1458836012951849,0.8541163987048154,29.762,780.1,518.8,261.3,0.6499509368175286,10.414,5.188,5.226,367.62775169646653,0.9531050931998929,-0.030077358109188518,0.19326055783662194,127070.63277250652,3389.1286211220727,130459.76139362881,11.99,0.012,6.372590028761435,29.752,0.01,21.124,38.67326298808669,0.6059447056237446,47.93900706462136,1008.2439717415152,34.133910507983686,0.272
14.0,4.0,4.132,3.92,25.49,0.13673011286873665,0.12871904112680996,0.8712809588731899,29.41,791.5,541.8,249.7,0.6670905784036645,10.412,5.418,4.994,370.272611022792,0.9507074547088359,-0.024613949589338796,0.195466945045337,127242.01339246225,3539.224440703735,130781.23783316606,12.988,0.04,7.050467949069649,29.404,0.006,21.208,38.43054217639781,0.6087128327565445,47.76914867903235,1008.92340528387,34.56172781874696,0.304
15.0,4.0,3.834,3.756,25.568,0.1266682431264965,0.12318018250330612,0.8768198174966947,29.324,807.8,552.8,255.0,0.6719571246312015,10.628,5.528,5.1,371.29697168307825,0.9484046850631241,-0.023746381877721847,0.1968372150721896,127414.9422548446,3595.492226663317,131010.43448150819,13.988,0.062,7.687741687634762,29.312,0.012,21.23,38.22729612019633,0.6107475620708779,47.59796350520085,1009.6081459791963,34.69087884915458,0.39
