period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,24,16,1.0,0.6,0.4,40,0,0,0,0,0,0,0,415.9380406902367,0.49946581196581197,-0.12411493981590749,0.18609603784630732,120242.90150248616,3002.71937157063,123245.62087405678,0,0,0.0,35,5,16,44.60457477775155,0.5220238095238094,54.80324074074073,980.787037037036,28.022486772486744,4
2,4,23,20,19,0.5897435897435898,0.5128205128205128,0.4871794871794872,39,600,500,100,0.8333333333333334,7,5,2,348.8860441657288,0.4942082771030139,-0.12604081808234036,0.1677925468082983,123364.75830078126,808.048502604167,124172.80680338544,1,0,0.41025641025641024,39,0,15,42.975713012477726,0.547275641025641,51.640625,993.4375000000001,25.472756410256412,0
3,4,8,4,23,0.2962962962962963,0.14814814814814814,0.8518518518518519,27,950,700,250,0.7368421052631579,12,7,5,399.99564474771717,0.48824786324786323,-0.025456379894338133,0.19323000018506833,123553.31732302281,4484.157764668346,128037.47508769116,2,0,1.1481481481481481,27,0,22,41.50903682083522,0.5775462962962963,51.45089285714285,994.1964285714273,36.8220899470899,0
4,4,14,12,25,0.3783783783783784,0.32432432432432434,0.6756756756756757,37,900,700,200,0.7777777777777778,11,7,4,303.07400857901575,0.48586086086086083,-0.04659141147690771,0.15666226937258032,126374.37120075409,260.1574522930141,126634.5286530471,3,0,1.3513513513513513,37,0,12,41.01099600145404,0.5816441441441442,48.62938596491228,1005.4824561403509,27.175201517306782,0
5,4,6,5,26,0.1935483870967742,0.16129032258064516,0.8387096774193549,31,700,400,300,0.5714285714285714,10,4,6,341.8168924351248,0.4853494623655914,0.012306303218281966,0.1759707110688366,126207.32837253157,2427.959357367631,128635.2877298992,4,0,2.2580645161290325,31,0,24,40.20898125350954,0.5930779569892473,48.79557291666667,1004.8177083333343,32.41347446236562,0
6,4,5,4,27,0.16129032258064516,0.12903225806451613,0.8709677419354839,31,400,100,300,0.25,7,1,6,341.3621988007585,0.4789426523297491,0.029333088890925563,0.1792962105234379,127026.37566460512,2472.4005805121587,129498.77624511727,5,0,2.6451612903225805,31,0,22,39.378821148712625,0.601478494623656,47.981770833333336,1008.0729166666674,32.518481182795725,0
7,4,2,0,29,0.06896551724137931,0.0,1.0,29,950,700,250,0.7368421052631579,12,7,5,362.63400653842183,0.47819170771756975,0.03422134556429546,0.18995738032030668,126917.01630015415,3404.885223765406,130321.90152391956,6,0,3.5517241379310347,29,0,24,38.95517459223523,0.6059626436781609,48.090277777777764,1007.6388888888875,34.74616858237543,0
8,4,0,1,28,0.0,0.034482758620689655,0.9655172413793104,29,700,300,400,0.42857142857142855,11,3,8,364.6105463315212,0.4778325123152709,0.03962334071322027,0.19148649386933278,127022.0003858023,3462.7121913580017,130484.7125771603,7,1,4.551724137931035,29,0,24,38.79741894002022,0.6070402298850575,47.9861111111111,1008.0555555555541,34.76053639846738,0
9,4,1,2,27,0.034482758620689655,0.06896551724137931,0.9310344827586207,29,750,600,150,0.8,9,6,3,363.0688911566295,0.4775759441707717,0.034449542808064226,0.1921647219253624,127337.21305941357,3446.4361496913507,130783.64920910491,8,0,5.275862068965517,29,0,16,38.51242488876655,0.6102729885057472,47.67361111111111,1009.3055555555554,34.80363984674329,0
10,4,1,1,27,0.03571428571428571,0.03571428571428571,0.9642857142857143,28,800,600,200,0.75,10,6,4,383.89770537104886,0.4749503968253968,-0.022917303966554448,0.19964390691345196,126621.60467449467,4121.948696987717,130743.55337148238,9,0,5.928571428571429,28,0,20,38.72412562455389,0.6060267857142857,48.383620689655174,1006.4655172413794,35.94519704433498,3
11,4,0,1,26,0.0,0.037037037037037035,0.962962962962963,27,700,400,300,0.5714285714285714,10,4,6,394.8303905498934,0.47364672364672367,-0.04231552664432625,0.20543328935995978,126642.26367630373,4600.442885487507,131242.70656179124,10,1,6.851851851851852,27,0,21,38.42770549970431,0.6095679012345678,48.36309523809523,1006.547619047618,37.27954144620807,0
12,4,3,4,25,0.10344827586206896,0.13793103448275862,0.8620689655172413,29,750,500,250,0.6666666666666666,10,5,5,367.98420051030547,0.4732655993431856,-0.045224844272942044,0.19595293371244205,127582.64853395044,3589.679783950591,131172.32831790103,11,0,7.068965517241379,29,0,21,38.13639904683345,0.6127873563218391,47.43055555555554,1010.2777777777764,34.837164750957804,0
13,4,0,1,24,0.0,0.04,0.96,25,850,500,350,0.5882352941176471,12,5,7,416.7353783830984,0.46798611111111116,-0.03872692552514301,0.21750540845177643,126769.03558514126,5565.828402366854,132334.8639875081,12,1,8.2,25,0,24,37.74533206025887,0.6183333333333334,48.23717948717948,1007.0512820512813,40.28205128205125,0
14,4,0,0,24,0.0,0.0,1.0,24,750,600,150,0.8,9,6,3,430.69558030453254,0.46678743961352653,-0.032433476868720446,0.22379861565221765,126588.34722222236,6104.208333333356,132692.5555555557,13,2,9.208333333333334,24,0,24,37.5810836921718,0.6206597222222222,48.41666666666668,1006.3333333333345,41.93055555555561,0
15,4,2,1,25,0.07692307692307693,0.038461538461538464,0.9615384615384616,26,800,400,400,0.5,12,4,8,400.71542799427647,0.4692948717948718,-0.046683133380381214,0.2120290371426026,127325.53155006858,5004.260973936897,132329.7925240055,14,0,9.423076923076923,26,0,23,37.574541284403665,0.6201923076923077,47.68518518518518,1009.2592592592592,38.817663817663814,0
16,4,2,0,27,0.07407407407407407,0.0,1.0,27,1150,900,250,0.782608695652174,14,9,5,385.4126661520042,0.46777065527065526,-0.029594760986346724,0.20695381552143163,127918.62643494896,4460.2917729591845,132378.91820790814,15,0,10.0,27,0,25,37.351059135039726,0.6226851851851851,47.098214285714285,1011.6071428571427,37.46693121693121,0
17,4,0,0,27,0.0,0.0,1.0,27,850,400,450,0.47058823529411764,13,4,9,386.28935291029507,0.4665242165242165,-0.022862368541380906,0.2085962505715594,128144.53125000009,4500.173611111125,132644.7048611112,16,1,11.0,27,0,25,37.09705075445817,0.625,46.87500000000001,1012.5000000000007,37.50000000000003,0
18,4,1,1,27,0.03571428571428571,0.03571428571428571,0.9642857142857143,28,900,600,300,0.6666666666666666,12,6,6,374.59413044001644,0.46654541446208114,-0.015843787940105658,0.20469307746954454,128617.75829039507,4035.891465186954,132653.649755582,17,0,11.571428571428571,28,0,23,36.90864022662889,0.6264880952380952,46.4080459770115,1014.3678160919544,36.22742200328408,0
19,4,0,0,27,0.0,0.0,1.0,27,550,200,350,0.36363636363636365,9,2,7,388.0135797292341,0.46527777777777773,-0.009434526235700291,0.2117143751685135,128559.2077000072,4576.543677366794,133135.751377374,18,1,12.703703703703704,27,0,23,36.628301540719015,0.6292438271604939,46.46577380952382,1014.1369047619057,37.56062610229281,0
20,4,1,2,26,0.03571428571428571,0.07142857142857142,0.9285714285714286,28,850,400,450,0.47058823529411764,13,4,9,374.77517928072746,0.4646164021164021,-0.004979395604395531,0.20706328655260195,129055.3573787819,4073.3489397542676,133128.70631853616,19,0,13.214285714285714,28,0,24,36.45686038838614,0.6309523809523809,45.97701149425288,1016.0919540229887,36.288998357963884,0
21,4,0,0,26,0.0,0.0,1.0,26,400,100,300,0.25,7,1,6,400.9141667510013,0.46375000000000005,0.0014214682655746547,0.21948464999066053,128691.9897166972,5118.888364959617,133810.87808165682,20,1,14.461538461538462,26,0,24,36.165082382762996,0.6342147435897436,46.33487654320988,1014.6604938271608,39.02540360873696,0
22,4,0,0,26,0.0,0.0,1.0,26,900,600,300,0.6666666666666666,12,6,6,400.789145683193,0.4631410256410256,0.002525902191453877,0.2200660267365644,128809.4540656911,5125.086210181354,133934.54027587245,21,2,15.461538461538462,26,0,24,36.04787422722203,0.6354166666666667,46.219135802469125,1015.1234567901225,39.04320987654317,0
23,4,1,0,27,0.037037037037037035,0.0,1.0,27,600,300,300,0.5,9,3,6,386.99274388605176,0.4637939221272555,-0.0036429872495449267,0.21460506706408344,129201.38888888895,4600.0000000000055,133801.38888888896,22,0,15.851851851851851,27,0,25,35.99726775956284,0.6358024691358024,45.833333333333336,1016.6666666666672,37.65432098765434,0
24,4,0,1,26,0.0,0.037037037037037035,0.962962962962963,27,1150,800,350,0.6956521739130435,15,8,7,387.7979549263023,0.4626068376068376,-0.003941953649555741,0.21671062187058038,129504.14540816304,4644.288548752805,134148.43395691583,23,1,16.85185185185185,27,0,21,35.66764132553607,0.6388888888888888,45.53571428571427,1017.8571428571411,37.69841269841263,0
25,4,0,0,26,0.0,0.0,1.0,26,1100,900,200,0.8181818181818182,13,9,4,400.35131262282596,0.4600961538461539,-0.016533504403102528,0.22356620717591308,129476.09751276464,5167.185118503249,134643.28263126788,24,2,17.615384615384617,26,0,23,35.376863785696244,0.6422275641025641,45.56327160493826,1017.7469135802454,39.14411206077867,0
26,4,0,1,25,0.0,0.038461538461538464,0.9615384615384616,26,800,500,300,0.625,11,5,6,429.41207834667307,0.46025641025641023,-0.01273795202038075,0.22333537280518342,126625.62157064467,5674.914266117962,132300.53583676263,25,3,18.615384615384617,26,0,21,37.574747010119594,0.6129807692307692,48.379629629629626,1006.4814814814811,38.7108262108262,8
