period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1.0,4.0,40.0,24.072,15.928,1.0,0.6017999999999998,0.39819999999999983,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.67007211623525,0.500003766025641,-0.003091326059351479,0.1688284356884656,119267.15926083383,2188.2121788468144,121455.37143968068,0.0,0.0,0.0,35.058,4.942,15.928,46.38314698896306,0.511846678341977,55.80129217977568,976.7948312808969,27.943840055893375,0.586
2.0,4.0,28.09,26.34,17.678,0.6331150673009753,0.5933784609839874,0.40662153901601217,44.018,435.3,295.8,139.5,0.6483089103706753,5.748,2.958,2.79,319.05925001973026,0.4977018514447524,-0.0926704659165501,0.1513025761279097,122761.02747353206,-536.7682235676399,122224.25924996451,1.0,0.0,0.3668849326990245,41.866,2.152,13.844,44.34537476137683,0.5370891401828062,52.24995405722536,991.0001837710976,23.8354723020245,0.812
3.0,4.0,18.888,16.734,19.832,0.5061955976166325,0.44623208908245093,0.5537679109175492,36.566,482.4,322.8,159.6,0.6396009320744623,6.42,3.228,3.192,338.0894895860773,0.49388696130146725,-0.07570194025689286,0.1634773778087149,123604.930414048,1087.0370563692459,124691.96747041724,2.0,0.0,0.7982560132790076,36.336,0.23,16.108,42.995995063115075,0.5553457044793273,51.40014366366903,994.3994253453235,27.738856446407247,0.78
4.0,4.0,12.338,10.234,21.936,0.37405375760720716,0.3065217045285825,0.6934782954714174,32.17,540.7,359.0,181.7,0.6401267913978316,7.224,3.59,3.634,356.64094462389556,0.4901441104178101,-0.04021969705768442,0.17432612647426735,124072.98707032249,2416.718748467787,126489.70581879027,3.0,0.0,1.3604530412835754,32.134,0.036,18.164,42.04858132795489,0.5691797286466912,50.93017923378034,996.2792830648791,31.392608393798216,1.026
5.0,4.0,8.502,6.934,23.504,0.2722114470724228,0.2181927120407158,0.7818072879592844,30.438,644.3,434.4,209.9,0.6577802119822724,8.542,4.344,4.198,364.8904301466527,0.48710572497957033,-0.014848231993852245,0.180506570872495,124575.04025349846,3003.254131279972,127578.29438477845,4.0,0.002,1.9796056342161015,30.414,0.024,19.344,41.32121006256172,0.5786092686857632,50.42667560286632,998.293297588536,33.15040988577035,0.748
6.0,4.0,6.12,5.14,24.484,0.20109748444649503,0.16519259693726127,0.834807403062738,29.624,683.3,460.4,222.9,0.6528294210343896,9.062,4.604,4.458,370.5963145007579,0.4849865576558719,-0.0007907781334422741,0.18503500716358354,124973.34020904632,3336.5506694763526,128309.89087852265,5.0,0.006,2.6274745867125087,29.608,0.016,19.934,40.76594419599582,0.5849623729743924,50.028110768164154,999.8875569273434,34.09739226241336,0.636
7.0,4.0,4.862,4.06,25.286,0.1619090417402438,0.13242495061855672,0.8675750493814441,29.346,730.2,485.8,244.4,0.6500586490215693,9.746,4.858,4.888,372.06544631490607,0.4832146352108961,0.005865145409237735,0.18747848858252542,125350.83510670852,3457.2312669009384,128808.06637360937,6.0,0.022,3.24265215891101,29.316,0.03,20.428,40.33785072271887,0.589566847716632,49.65089414143645,1001.3964234342536,34.43031565239874,0.742
8.0,4.0,3.78,3.242,25.824,0.12716954992311374,0.1069321523994649,0.8930678476005355,29.066,770.6,519.0,251.6,0.6551264823875139,10.222,5.19,5.032,375.1862727520925,0.48161744170249204,0.010206631290118675,0.1903269516065723,125626.8645591161,3611.586296616704,129238.4508557328,7.0,0.024,3.8713864585120192,29.046,0.02,20.724,39.97387480056449,0.5931387278723061,49.37545133587373,1002.4981946565055,34.75729649241755,0.938
9.0,4.0,3.286,2.896,26.214,0.10993143746805337,0.09527811706142188,0.9047218829385772,29.11,787.0,510.2,276.8,0.632943277393522,10.638,5.102,5.536,374.38810199687276,0.4801490712373277,0.012754321077593072,0.19147370709106462,125954.70419976163,3608.1211165827754,129562.82531634453,8.0,0.054,4.4788555430865875,29.08,0.03,20.87,39.654130656400085,0.5963579504204947,49.048350806367516,1003.8065967745306,34.736583393668106,0.74
10.0,4.0,2.772,2.456,26.53,0.0928727551502753,0.08104426480385232,0.9189557351961476,28.986,809.1,539.0,270.1,0.6514667674840241,10.792,5.39,5.402,376.11082823002096,0.4789357930872205,0.014134288272773108,0.1933805107495826,126177.13026443451,3692.574859962065,129869.70512439648,9.0,0.092,5.11534699668654,28.95,0.036,21.42,39.38166040411795,0.5990444726878908,48.827178278241156,1004.6912868870351,34.92650218812126,0.78
