period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,19,21,1.0,0.475,0.525,40,0,0,0,0,0,0,0,398.671071403636,0.5014022435897436,0.025912956478239213,0.1774929781148926,120025.98159361772,2970.1773356401227,122996.15892925784,0,0,0.0,33,7,21,45.25804568951143,0.5239898989898991,55.02450980392156,979.9019607843127,29.693998811645837,0
2,4,25,31,15,0.5434782608695652,0.6739130434782609,0.32608695652173914,46,250,100,150,0.4,4,1,3,283.08331637053686,0.500462962962963,-0.1231120872980146,0.13600623827682226,123321.27722448565,-2217.960772848453,121103.31645163719,1,0,0.45652173913043476,46,0,8,44.65499672735927,0.5371376811594203,51.684397163120565,993.2624113475174,21.59266111625038,0
3,4,37,36,16,0.7115384615384616,0.6923076923076923,0.3076923076923077,52,300,100,200,0.3333333333333333,5,1,4,316.5486617035633,0.49820104323780795,-0.14570516086053542,0.15589187730157955,124365.64426143527,-126.44434942822627,124239.19991200704,2,0,0.5384615384615384,40,12,12,42.741552046187785,0.5559895833333333,50.63516260162603,997.4593495934982,24.936483739837456,0
4,4,33,30,19,0.673469387755102,0.6122448979591837,0.3877551020408163,49,850,700,150,0.8235294117647058,10,7,3,313.1592927274957,0.4964037698412698,-0.2585298637376596,0.1563190422366516,124930.56520061727,-975.3665123456813,123955.1986882716,3,0,0.6938775510204082,44,5,17,42.24263684356766,0.5561079545454545,50.06944444444444,999.7222222222222,22.720959595959595,0
5,4,20,20,19,0.5128205128205128,0.5128205128205128,0.4871794871794872,39,350,200,150,0.5714285714285714,5,2,3,340.0216449506998,0.49153733693207374,-0.2245429272456294,0.16822031097380288,124557.68364800366,670.4616970486312,125228.14534505228,4,0,1.2820512820512822,39,0,18,41.95722025113917,0.5595619658119657,50.44270833333334,998.2291666666682,25.5956196581197,0
6,4,17,16,20,0.4722222222222222,0.4444444444444444,0.5555555555555556,36,500,400,100,0.8,6,4,2,360.19407994987034,0.4934854497354497,-0.21747249166604032,0.17840674373382973,124606.16655506857,1776.4807036766458,126382.64725874522,5,0,1.8333333333333333,36,0,19,41.40348898413414,0.5653935185185186,50.39414414414414,998.4234234234234,27.733983983983983,0
7,4,17,15,22,0.4594594594594595,0.40540540540540543,0.5945945945945945,37,700,600,100,0.8571428571428571,8,6,2,348.0417146019477,0.48736236236236236,-0.1826275093991634,0.1768051910177893,125658.76038781148,1346.8980840258303,127005.6584718373,6,0,2.324324324324324,37,0,20,40.61816491688537,0.5743243243243243,49.34210526315788,1002.6315789473671,27.098150782361273,0
8,4,11,9,24,0.3333333333333333,0.2727272727272727,0.7272727272727273,33,650,500,150,0.7692307692307693,8,5,3,345.41729876047975,0.48555871212121215,-0.07205969774508814,0.17885424422253993,126444.09789804404,2135.195748029607,128579.29364607365,7,0,3.090909090909091,33,0,19,39.8748781527964,0.5905934343434343,48.560049019607845,1005.7598039215688,30.477569815805115,0
9,4,7,8,23,0.22580645161290322,0.25806451612903225,0.7419354838709677,31,950,700,250,0.7368421052631579,12,7,5,359.31772958565114,0.48266129032258065,-0.0879712221799781,0.18557138395523845,126338.19792005765,2879.110887315557,129217.3088073732,8,0,3.903225806451613,31,0,19,39.63446552691795,0.5944220430107525,48.66536458333334,1005.3385416666678,32.430275537634444,0
10,4,8,7,24,0.25806451612903225,0.22580645161290322,0.7741935483870968,31,1000,700,300,0.7,13,7,6,354.69351045729326,0.476836917562724,-0.07846015278380136,0.1853992565471366,126829.56271701395,2797.124565972227,129626.68728298618,9,0,4.483870967741935,31,0,23,39.245087900723874,0.5994623655913978,48.177083333333336,1007.2916666666672,32.49327956989249,0
