period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.7157885401543131,31321.32269965272,62442.64539930544,93763.96809895814,0.0,0.0,0.0,1.0,0.0,1.0,49.76458333333331,0.5023541666666664,174.88229166666667,500.47083333333364,500.47083333333364,0.454
2.0,4.0,1.0,0.0,2.0,0.5,0.0,1.0,2.0,40.8,27.6,13.2,0.276,0.54,0.276,0.264,5009.560880251186,0.49666666666666676,-0.002415445310750291,0.6263902036934409,55553.51562499999,55259.37499999992,110812.89062499999,1.0,0.0,0.5,2.0,0.0,2.0,49.87219816492183,0.4996875,133.3541666666667,666.5833333333326,333.2916666666663,0.414
3.0,4.0,1.0,0.0,3.0,0.33333333333333404,0.0,1.0,3.0,71.2,45.4,25.8,0.3819999999999998,0.97,0.454,0.516,3347.4397626981445,0.49908333333333366,-0.0020181829128818702,0.5586652495565918,70360.21457248271,46504.755316840296,116864.96988932283,2.0,0.0,1.0,3.0,0.0,3.0,49.66983655550922,0.5006597222222221,112.4505208333333,750.1979166666661,250.06597222222229,0.416
4.0,4.0,1.0,0.0,4.0,0.25,0.0,1.0,4.0,108.6,73.0,35.6,0.47306666666666614,1.442,0.73,0.712,2519.525072064015,0.5004270833333334,-0.0026023142593718032,0.5052614920692844,80117.83593749997,39571.27256944444,119689.10850694432,3.0,0.0,1.5,4.0,0.0,4.0,49.439237279221146,0.501703125,99.86375000000004,800.5450000000002,200.13625000000005,0.454
5.0,4.0,1.0,0.0,5.0,0.20000000000000176,0.0,1.0,5.0,153.4,103.2,50.2,0.5459999999999997,2.036,1.032,1.004,2024.7151084160248,0.4994666666666668,-0.0016863874172944827,0.46280587268717993,87083.31561053243,34263.329716435146,121346.64532696754,4.0,0.0,2.0,5.0,0.0,5.0,49.095820640836756,0.5038875000000005,91.3427083333333,834.629166666666,166.92583333333351,0.408
6.0,4.0,1.0,0.0,6.0,0.16666666666666702,0.0,1.0,6.0,192.9,133.8,59.1,0.6094904761904768,2.52,1.338,1.182,1696.253172256913,0.4992361111111111,-0.004053863430044782,0.4270170549208674,92175.50223214265,30069.811507936512,122245.31374007935,5.0,0.0,2.5,6.0,0.0,6.0,48.91392776395106,0.5045138888888893,85.32738095238093,858.690476190475,143.11507936507934,0.56
7.0,4.0,1.0,0.0,7.0,0.14285714285714363,0.0,1.0,7.0,218.7,145.0,73.7,0.5883523809523823,2.924,1.45,1.474,1462.03916090558,0.4993412698412696,-0.0063751048315874815,0.39692528499255986,96110.5404324,26702.763536241273,122813.30396864144,6.0,0.0,3.0,7.0,0.0,7.0,48.74325425483473,0.5052351190476189,80.79192708333333,876.8322916666665,125.26175595238114,0.35
8.0,4.0,1.0,0.0,8.0,0.125,0.0,1.0,8.0,261.5,176.2,85.3,0.6087554112554113,3.468,1.762,1.706,1288.269920741024,0.4996175595238091,-0.009241073926257868,0.37163812417279324,99235.47657321674,23967.690757887507,123203.16733110414,7.0,0.0,3.5,8.0,0.0,8.0,48.56046590483243,0.5058750000000002,77.25555555555559,890.9777777777778,111.37222222222222,0.486
9.0,4.0,1.0,0.0,9.0,0.11111111111111226,0.0,1.0,9.0,295.8,196.4,99.4,0.5992331890331899,3.952,1.964,1.988,1153.7592458390163,0.4995115740740746,-0.01080231010742379,0.35017880313161703,101818.0579427082,21693.98394097226,123512.04188368046,8.0,0.0,4.0,9.0,0.0,8.996,48.343474821207465,0.5069467592592589,74.37479166666668,902.5008333333338,100.27787037037031,0.426
10.0,4.0,1.0,0.0,10.0,0.10000000000000088,0.0,1.0,10.0,340.7,229.2,111.5,0.6262170274170279,4.522,2.292,2.23,1046.7442026765175,0.49951481481481474,-0.013777784296038756,0.33155561310255915,103961.1773989899,19763.582702020212,123724.76010101018,9.0,0.0,4.5,10.0,0.0,9.988,48.147934349845514,0.5078666666666675,72.01212121212126,911.951515151516,91.1951515151515,0.328
