period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,26,14,1.0,0.65,0.35,40,0,0,0,0,0,0,0,409.12967928254517,1.0014155982905983,-0.060303067185978665,0.18033312473097615,119583.78684807278,2985.055272108869,122568.84212018165,0,0,0.0,34,6,14,45.471995699448215,0.5171568627450979,55.47619047619049,978.0952380952399,28.767507002801175,5
2,4,40,36,18,0.7407407407407407,0.6666666666666666,0.33333333333333337,54,350,200,150,0.5714285714285714,5,2,3,325.5000698756635,0.9935068716515257,-0.1147383076758719,0.15807271807292148,123776.15847908087,-742.1703532236022,123033.98812585727,1,0,0.25925925925925924,44,10,15,43.12928414131074,0.5442708333333334,51.22685185185185,995.092592592592,22.61574074074073,4
3,4,24,24,18,0.5714285714285714,0.5714285714285714,0.4285714285714286,42,400,200,200,0.5,6,2,4,329.0911766399762,0.9894502516453736,-0.1928324170230099,0.1627559686282905,124543.10120464022,197.20714356534629,124740.30834820557,2,0,0.6904761904761905,40,2,11,42.245087558542025,0.5578125,50.457317073170735,998.170731707318,24.95426829268295,0
4,4,24,22,20,0.5714285714285714,0.5238095238095238,0.47619047619047616,42,600,400,200,0.6666666666666666,8,4,4,348.61111111111103,0.9909988385598142,-0.20873015873015832,0.17430555555555566,125000.00000000013,915.2777777777915,125915.27777777793,3,0,1.0238095238095237,39,3,19,41.28472222222223,0.5641025641025641,50.00000000000001,1000.000000000001,25.641025641025667,0
5,4,15,15,20,0.42857142857142855,0.42857142857142855,0.5714285714285714,35,500,200,300,0.4,8,2,6,363.1257239110157,0.9780112044817927,-0.1587536308423556,0.18359908096809296,125463.39163237302,2111.7969821673387,127575.18861454036,4,0,1.5714285714285714,35,0,17,40.44208256315465,0.5761904761904761,49.53703703703703,1001.8518518518512,28.624338624338606,0
6,4,14,12,22,0.4117647058823529,0.35294117647058826,0.6470588235294117,34,800,800,0,1.0,8,8,0,362.3304378538871,0.9755644682115271,-0.15585303888997437,0.1848499352441016,125834.72222222215,2318.7499999999945,128153.47222222215,5,0,2.1470588235294117,34,0,19,40.07821151716502,0.5821078431372548,49.166666666666664,1003.3333333333327,29.509803921568608,0
7,4,12,12,22,0.35294117647058826,0.35294117647058826,0.6470588235294117,34,750,500,250,0.6666666666666666,10,5,5,336.383425828122,0.9685828877005348,-0.10707829230983146,0.17566690015468578,126792.09183673457,1730.1516439909187,128522.24348072549,6,0,2.7941176470588234,34,0,17,39.74463159968481,0.5919117647058825,48.21428571428571,1007.1428571428562,29.62184873949577,0
8,4,9,7,24,0.2903225806451613,0.22580645161290322,0.7741935483870968,31,700,600,100,0.8571428571428571,8,6,2,365.22471727571997,0.9655913978494624,-0.09803045922562259,0.1898333449780793,126600.14046563038,3047.5001017252566,129647.64056735563,7,0,3.5483870967741935,31,0,19,39.21607474015613,0.5971102150537635,48.404947916666664,1006.3802083333329,32.463877688172026,0
9,4,4,3,25,0.14285714285714285,0.10714285714285714,0.8928571428571429,28,450,200,250,0.4444444444444444,7,2,5,387.3935123522253,0.9581128747795414,-0.014179773449596755,0.20271666482192563,126874.79356586072,4230.094381688461,131104.88794754917,8,0,4.785714285714286,28,0,21,38.374988115611316,0.6086309523809523,48.132183908045974,1007.4712643678159,35.98111658456485,0
10,4,2,1,26,0.07407407407407407,0.037037037037037035,0.962962962962963,27,650,200,450,0.3076923076923077,11,2,9,397.2578649834506,0.9565527065527066,-2.220446049250313e-16,0.20783892936151166,126867.03913336166,4679.785820578224,131546.82495393988,9,0,5.7407407407407405,27,0,22,38.13453963564746,0.6118827160493827,48.13988095238095,1007.440476190476,37.31261022927689,0
11,4,3,6,23,0.10344827586206896,0.20689655172413793,0.7931034482758621,29,700,500,200,0.7142857142857143,9,5,4,372.85581208698005,0.9546387520525451,-0.018785489632402008,0.19768700934064598,127407.31336805549,3700.9114583333285,131108.22482638882,10,0,6.241379310344827,29,0,17,38.19344132617968,0.6109913793103449,47.604166666666664,1009.5833333333328,34.81321839080458,0
12,4,8,7,24,0.25806451612903225,0.22580645161290322,0.7741935483870968,31,950,700,250,0.7368421052631579,12,7,5,359.67793902809973,0.9590501792114695,-0.09803197163980237,0.19342956845587278,127979.78931003134,3006.3013712564903,130986.09068128782,11,0,5.612903225806452,31,0,19,37.9392667181401,0.61122311827957,47.03776041666666,1011.8489583333322,32.64028897849459,0
13,4,3,3,24,0.1111111111111111,0.1111111111111111,0.8888888888888888,27,650,400,250,0.6153846153846154,9,4,5,394.636278437331,0.9429012345679013,-0.04703392834743114,0.21052434932190983,127655.32270851031,4675.48429528059,132330.8070037909,12,0,7.148148148148148,27,0,21,37.38848598635449,0.6199845679012346,47.35863095238094,1010.5654761904748,37.42835097001758,0
14,4,5,4,25,0.1724137931034483,0.13793103448275862,0.8620689655172413,29,550,300,250,0.5454545454545454,8,3,5,373.09958608170973,0.9403735632183908,-0.08480064285883104,0.2023614483617897,128320.37278163574,3775.2555941357964,132095.62837577154,13,0,6.9655172413793105,29,0,23,37.250828192826134,0.6203304597701149,46.701388888888886,1013.194444444444,34.93773946360152,0
15,4,6,7,24,0.1935483870967742,0.22580645161290322,0.7741935483870968,31,800,500,300,0.625,11,5,6,351.37061582877146,0.9414874551971326,-0.09580244054732434,0.19371322785019385,128969.83040703653,2863.241746690517,131833.07215372706,14,0,7.096774193548387,31,0,21,37.13853458958253,0.6213037634408602,46.06119791666666,1015.7552083333321,32.76629704301072,0
16,4,0,0,24,0.0,0.0,1.0,24,700,400,300,0.5714285714285714,10,4,6,435.645361942498,0.9325935990338163,-0.04243636263675843,0.23230587770073577,127638.78125000007,6321.048611111128,133959.8298611112,15,1,9.666666666666666,24,0,23,36.36950904392765,0.6315104166666665,47.37500000000001,1010.5000000000006,42.10416666666669,0
17,4,1,0,25,0.04,0.0,1.0,25,500,200,300,0.4,8,2,6,420.0557791370789,0.93375,-0.05106922223982302,0.22568613903764945,127941.78698738503,5748.537403435248,133690.3243908203,16,0,10.24,25,0,24,36.451073182322176,0.6304166666666666,47.07532051282052,1011.6987179487187,40.46794871794875,0
18,4,2,1,26,0.07407407407407407,0.037037037037037035,0.962962962962963,27,950,700,250,0.7368421052631579,12,7,5,395.4365579762438,0.9351851851851852,-0.05779059599267822,0.21658489066988004,128710.1652184311,4779.340942106007,133489.5061605371,17,0,10.407407407407407,27,0,22,36.28540963973213,0.630787037037037,46.316964285714285,1014.7321428571427,37.58267195767195,0
