period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1.0,4.0,40.0,24.042,15.958,1.0,0.6010499999999999,0.3989500000000001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.68094917671345,1.0000126602564106,-0.0007941326421335746,0.1697617521176368,119284.09869321767,2255.1974556791474,121539.29614889693,0.0,0.0,0.0,34.968,5.032,15.958,46.31628685567878,0.5122033133130715,55.784055056184116,976.8637797752629,28.01754554996489,0.452
2.0,4.0,35.214,33.532,17.64,0.6869252075163214,0.6541387478409643,0.34586125215903635,51.172,428.7,287.0,141.7,0.6391327887798474,5.704,2.87,2.834,317.857000613167,0.9976908032520263,-0.14593303377212802,0.1510082341534438,122840.53776102753,-721.8354010017381,122118.70236002581,1.0,0.0,0.31307479248367875,42.656,8.516,13.782,44.29236837929742,0.536679920353253,52.16968634471548,991.3212546211382,23.35071352016315,0.506
3.0,4.0,27.892,26.08,19.452,0.6067180537327265,0.5679076080098074,0.4320923919901928,45.532,490.8,339.6,151.2,0.6682777591689375,6.42,3.396,3.024,324.8930552819358,0.992653018534111,-0.1698750764603239,0.15791706053618534,123816.60936833736,-173.50777052530913,123643.10159781195,2.0,0.0,0.6372102105930689,41.09,4.442,15.448,43.10374814450967,0.5490038465417626,51.187136808805334,995.2514527647785,24.350085851926615,0.404
4.0,4.0,21.058,20.014,20.496,0.5100714137376219,0.48530992781755455,0.5146900721824456,40.51,543.9,356.6,187.3,0.629704727525956,7.312,3.566,3.746,329.5984169367004,0.9864197187935645,-0.14339814562518985,0.16293837556527752,124533.13750469277,375.8798015775804,124909.01730627027,3.0,0.0,1.0762486045025816,39.15,1.36,16.132,42.244307395459025,0.559616813129606,50.468290214029466,998.1268391438822,25.719886107960217,0.45
5.0,4.0,16.814,15.836,21.474,0.44113249018195105,0.4146608379324532,0.5853391620675474,37.31,585.5,392.6,192.9,0.6487532863593245,7.784,3.926,3.858,335.75187816920817,0.9809694666756578,-0.1205787065953395,0.16794610665658039,125028.8410577524,1016.4147019155965,126045.25575966804,4.0,0.0,1.554944041083426,36.888,0.422,17.19,41.5779662621524,0.568772960562621,49.97204918935668,1000.1118032425737,27.39738098247503,0.42
6.0,4.0,13.84,13.254,22.06,0.3827956309014078,0.365522234147301,0.6344777658526985,35.314,619.4,418.6,200.8,0.6550267806342529,8.202,4.186,4.016,338.7688354168987,0.9760751163662569,-0.09938139701143436,0.17129076180159886,125475.68505956625,1455.3106426462464,126930.99570221265,5.0,0.0,2.0678618995260196,35.22,0.094,17.682,41.04115337372695,0.5766477326034948,49.52576979985745,1001.8969208005701,28.762172240827862,0.396
7.0,4.0,11.128,10.388,22.8,0.3254549354975655,0.3026788639970287,0.6973211360029706,33.188,643.6,436.8,206.8,0.6576751878093053,8.504,4.368,4.136,349.84242176475135,0.9711944300998329,-0.08048071821424399,0.17786747159403657,125701.65445021533,2167.2439407756765,127868.89839099097,6.0,0.0,2.651298566863381,33.126,0.062,18.808,40.53036237753868,0.5835118806075864,49.30029087608054,1002.7988364956775,30.60591574735687,0.418
8.0,4.0,9.312,8.686,23.426,0.28191319316452745,0.26133501496233397,0.7386649850376666,32.112,707.2,480.2,227.0,0.6659679283452689,9.342,4.802,4.54,354.48720125024744,0.9673898161904085,-0.0665543824813057,0.1815217961911593,126002.95421722085,2509.4899267292085,128512.44414395005,7.0,0.002,3.2442008640861637,32.106,0.006,19.25,40.103325204998114,0.5890159762248464,49.00007990111426,1003.9996803955428,31.606710094395858,0.346
9.0,4.0,7.968,7.322,24.072,0.2470222444819365,0.2257142935557082,0.7742857064442928,31.394,706.8,472.2,234.6,0.6512460473097245,9.414,4.722,4.692,356.85200619638135,0.9639776261243657,-0.05234233345920367,0.18394849709734876,126271.72265881253,2732.2771703844446,129003.99982919706,7.998,0.002,3.8491008673884615,31.38,0.014,19.696,39.76671525090045,0.5934622942548419,48.73250659699267,1005.0699736120297,32.314944089907414,0.524
10.0,4.0,6.646,6.4,24.318,0.2105357394912838,0.20171635293338683,0.7982836470666139,30.718,745.8,503.8,242.0,0.6581497173618036,9.878,5.038,4.84,360.99511765748645,0.9606357876505186,-0.04217921644663188,0.1870774753748143,126494.51495658465,2987.2083338499383,129481.72329043485,8.996,0.006,4.491225559385083,30.714,0.004,20.06,39.433497284707805,0.5974414942168076,48.511137380577935,1005.9554504776879,33.021147209034886,0.414
