period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,25,15,1.0,0.625,0.375,40,0,0,0,0,0,0,0,357.1704789005605,0.9952991452991453,0.04256573455759627,0.15391735026002587,118580.54068345577,470.6937008394688,119051.23438429524,0,0,0.0,40,0,15,47.807109070673356,0.49583333333333324,56.50406504065042,973.9837398373996,24.34959349593499,0
2,4,38,37,16,0.7169811320754716,0.6981132075471698,0.30188679245283023,53,450,300,150,0.6666666666666666,6,3,3,336.32853906984053,0.9986695694242864,-0.11768438306910012,0.15966283861386443,122810.5977794925,-539.0582133058942,122271.5395661866,1,0,0.2830188679245283,44,9,14,43.86482173439204,0.5343276515151515,52.199074074074076,991.203703703704,22.52735690235691,0
3,4,27,24,19,0.627906976744186,0.5581395348837209,0.4418604651162791,43,450,400,50,0.8888888888888888,5,4,1,351.9289990472739,0.9876338132152085,-0.15843220651247025,0.17085959536163234,123764.33020858685,1511.2513696128424,125275.5815781997,2,0,0.5581395348837209,36,7,16,42.484108570997414,0.556712962962963,51.23873873873873,995.045045045044,27.64014014014011,0
4,4,23,23,19,0.5476190476190477,0.5476190476190477,0.45238095238095233,42,650,300,350,0.46153846153846156,10,3,7,329.1214752254501,0.9850948509485095,-0.17546483502280363,0.1641787784538561,124903.11955411338,-178.34020641788442,124724.7793476955,3,0,0.9047619047619048,42,0,13,41.87205150575158,0.558531746031746,50.0968992248062,999.6124031007756,23.80029531192323,0
5,4,18,17,20,0.4864864864864865,0.4594594594594595,0.5405405405405406,37,400,300,100,0.75,5,3,2,336.23074891471174,0.9820445445445445,-0.11951596566981193,0.16878117792055355,125164.52778739625,1016.8325831025048,126181.36037049875,4,0,1.4594594594594594,37,0,16,41.424227481919786,0.5692567567567567,49.83552631578948,1000.6578947368431,27.044807965860624,0
6,4,17,13,24,0.4594594594594595,0.35135135135135137,0.6486486486486487,37,450,300,150,0.6666666666666666,6,3,3,336.598887760197,0.9762262262262262,-0.0908377256924977,0.172596450957888,126043.83680555536,1085.243055555532,127129.07986111089,5,0,1.8108108108108107,37,0,19,40.50829875518671,0.5782657657657658,48.95833333333332,1004.166666666665,27.139639639639597,0
7,4,7,8,23,0.22580645161290322,0.25806451612903225,0.7419354838709677,31,600,200,400,0.3333333333333333,10,2,8,357.5154143126378,0.9602150537634409,-0.023256882458346118,0.18493580339829205,126403.6581251355,2838.2512410481586,129241.90936618365,6,0,2.774193548387097,31,0,17,39.61233221114419,0.5950940860215055,48.60026041666666,1005.5989583333322,32.43867607526878,0
8,4,5,4,24,0.17857142857142858,0.14285714285714285,0.8571428571428572,28,800,500,300,0.625,11,5,6,389.23170439683935,0.9563492063492063,-0.03407929695483336,0.19975988353406057,126079.90859096308,4214.859542211645,130294.76813317473,7,0,3.5357142857142856,28,0,22,39.149678111587995,0.6004464285714286,48.922413793103445,1004.3103448275857,35.8682266009852,0
9,4,4,6,22,0.14285714285714285,0.21428571428571427,0.7857142857142857,28,450,300,150,0.6666666666666666,6,3,3,383.3699609802351,0.9527667548500881,-0.043666673472304574,0.1979660233932625,126332.55559271378,4086.421381622419,130418.9769743362,8,0,4.142857142857143,28,0,19,39.03577723786384,0.6030505952380951,48.67097701149426,1005.3160919540236,35.90414614121513,0
10,4,11,10,23,0.3333333333333333,0.30303030303030304,0.696969696969697,33,750,600,150,0.8,9,6,3,337.9277028937694,0.9578598484848486,-0.11453368637834671,0.1794152237013311,127462.99500192232,2014.6554209919211,129477.65042291424,9,0,3.727272727272727,33,0,17,39.01800161812298,0.601010101010101,47.549019607843135,1009.8039215686273,30.60011883541295,0
