period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,22,18,1.0,0.55,0.44999999999999996,40,0,0,0,0,0,0,0,364.4206116616869,0.49966613247863245,0.05760405549626468,0.15881958750093084,119082.16688368075,679.19921875002,119761.36610243077,0,0,0.0,35,5,18,47.09734080398433,0.5098214285714286,55.98958333333334,976.0416666666683,27.88690476190481,0
2,4,27,24,21,0.6,0.5333333333333333,0.4666666666666667,45,350,200,150,0.5714285714285714,5,2,3,293.85550705174376,0.4994949494949495,0.05360387890640905,0.13698187482565932,122028.73936673002,-1828.2365837008726,120200.50278302915,1,0,0.4,45,0,17,45.7305800024447,0.525,52.98913043478262,988.0434782608723,21.956521739130498,8
3,4,20,20,21,0.4878048780487805,0.4878048780487805,0.5121951219512195,41,300,100,200,0.3333333333333333,5,1,4,279.0261596242142,0.4975863821138211,-0.01063133273783623,0.13475282629369895,123540.98880582345,-1305.7664674665998,122235.22233835685,2,0,0.7560975609756098,41,0,12,44.52846938096663,0.5459857723577235,51.46329365079366,994.146825396827,24.247483546264075,0
4,4,13,9,25,0.38235294117647056,0.2647058823529412,0.7352941176470589,34,500,400,100,0.8,6,4,2,319.6255236830659,0.4953951277480689,-0.01896284829721373,0.1553528708133968,123812.35827664366,1114.7179705214976,124927.07624716515,3,0,1.2058823529411764,34,0,16,43.237888755980855,0.5612745098039216,51.19047619047617,995.2380952380925,29.271708683473307,0
5,4,7,11,21,0.21875,0.34375,0.65625,32,650,600,50,0.9230769230769231,7,6,1,337.41525011792083,0.49292254704301075,0.06614089184060745,0.16680847730970383,124526.96352731866,2003.459308999088,126530.42283631774,4,0,2.0625,32,0,16,42.0540796963947,0.5732421875,50.47348484848485,998.1060606060607,31.190814393939398,0
6,4,7,4,24,0.25,0.14285714285714285,0.8571428571428572,28,700,600,100,0.8571428571428571,8,6,2,379.956837258027,0.48815035273368607,-0.027782356092134197,0.1857983575139043,124067.83632249988,3828.0845389087376,127895.92086140861,5,0,2.0714285714285716,28,0,24,41.47047158927028,0.5796130952380952,50.93390804597703,996.2643678160937,35.580870279146204,0
7,4,10,12,22,0.29411764705882354,0.35294117647058826,0.6470588235294117,34,550,300,250,0.5454545454545454,8,3,5,356.20978034271485,0.4850527332144979,0.051464476064740694,0.18081028090813767,125625.7812500001,2149.8263888889037,127775.607638889,6,0,2.411764705882353,34,0,17,40.44749238016071,0.5799632352941176,49.37500000000001,1002.5000000000008,29.485294117647083,8
8,4,5,3,24,0.18518518518518517,0.1111111111111111,0.8888888888888888,27,1050,900,150,0.8571428571428571,12,9,3,409.7687004410293,0.4852801519468186,0.017882606852429594,0.2061715817402248,125260.55230034726,4865.570746527784,130126.12304687504,7,0,3.0,27,0,20,39.48469476240027,0.5952932098765432,49.739583333333336,1001.0416666666671,37.075617283950635,0
9,4,4,3,25,0.14285714285714285,0.10714285714285714,0.8928571428571429,28,900,700,200,0.7777777777777778,11,7,4,420.3239697280649,0.4849261463844797,0.04439491532653639,0.20610028910970546,124182.8873476473,4839.40883645123,129022.29618409852,8,0,3.5714285714285716,27,1,17,40.34475465313029,0.5841049382716049,50.81845238095237,996.7261904761897,36.91578483245147,8
10,4,7,4,28,0.21875,0.125,0.875,32,550,400,150,0.7272727272727273,7,4,3,362.4320605566361,0.4827158938172043,0.02010866146685153,0.18527154015207087,125917.07996951848,2727.277350525469,128644.35732004396,9,0,3.65625,32,0,20,39.99061726841951,0.5875651041666667,49.084595959595966,1003.6616161616167,31.364425505050523,0
