period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1.0,4.0,40.0,39.386,0.614,1.0,0.9846500000000026,0.015350000000000037,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.6562339656284,0.4999434294871792,0.00835329842977974,0.09979745588354169,12979.272999999996,-7496.018569444446,5483.254430555557,0.0,0.0,0.0,9.436,30.564,0.614,41.40931702935705,0.5671012729492046,46.0,102.19900000000003,10.840509179681977,0.942
2.0,4.0,40.0,39.354,1.26,0.9852355169882153,0.9693056041330594,0.03069439586694269,40.614,8.8,5.4,3.4,0.05333333333333334,0.122,0.054,0.068,1928.515303524278,0.4998931996133001,-0.13390786143428893,0.11500172851423324,15450.693000000012,-7430.4356527777745,8020.257347222219,0.46,0.0,0.014764483011788739,10.026,30.588,1.248,40.70992048834526,0.5702845247050818,46.0,121.6589999999999,12.113809882032593,0.856
3.0,4.0,40.0,39.43,1.83,0.9701565089848945,0.9563350883065748,0.04366491169342893,41.26,21.9,14.0,7.9,0.12426666666666666,0.298,0.14,0.158,1809.3922838927185,0.5001899347674106,-0.25176820860265714,0.12583014663594552,18075.952333333324,-7373.9841805555525,10701.968152777767,1.166,0.0,0.043917783628928043,10.708,30.552,1.79,40.21181325474646,0.573130471220636,46.0,142.33033333333336,13.252188488254653,0.86
4.0,4.0,39.998,39.47,2.358,0.9572737640250099,0.9445907882748269,0.05540921172517688,41.828,33.9,23.8,10.1,0.1955333333333333,0.44,0.238,0.202,1665.778687298127,0.4999462669555361,-0.3055212044470896,0.13234492690340102,20950.76666666669,-7299.904166666661,13650.862499999992,1.978,0.0,0.08491824292145077,11.45,30.378,2.302,39.91213336244352,0.575572664719018,46.0,164.96666666666658,14.229065887607339,0.94
5.0,4.0,39.988,39.406,2.94,0.9455645280800407,0.9317786773262249,0.06822132267377912,42.346,44.5,30.2,14.3,0.23398095238095248,0.588,0.302,0.286,1537.8349918075835,0.4998986844976767,-0.35143436542927486,0.14086135552744697,23513.880666666697,-7209.649527777775,16304.231138888888,2.822,0.0,0.13443156313633303,12.148,30.198,2.86,39.5203776457374,0.5779304495042746,46.0,185.1486666666665,15.172179801709671,0.518
6.0,4.0,39.956,39.456,3.44,0.9328865564760072,0.9211901692417352,0.07880983075826832,42.896,59.4,37.8,21.6,0.26747619047619053,0.81,0.378,0.432,1491.900877669366,0.4998577006113433,-0.39624089979238925,0.1470180668821849,25936.99833333332,-7134.4289583333275,18802.569374999992,3.728,0.0,0.19724434513221092,12.48,30.416,3.344,39.237168923419524,0.5805206722984998,46.0,204.22833333333344,16.20826891940009,0.838
7.0,4.0,39.812,39.34,3.912,0.921681804445411,0.9107197002639367,0.08928029973606741,43.252,83.1,58.4,24.7,0.39960952380952375,1.078,0.584,0.494,1432.3756038245315,0.4996211233136451,-0.4406221266002008,0.1524828399209807,27955.367000000042,-7037.34545833333,20918.021541666683,4.618,0.0,0.26602810965525714,12.794,30.458,3.79,38.985789363634844,0.5826046511794223,46.0,220.12099999999967,17.041860471768807,0.87
8.0,4.0,39.66,39.134,4.438,0.9114194014700823,0.8993546604488953,0.10064533955110755,43.572,98.6,66.0,32.6,0.395579365079365,1.312,0.66,0.652,1347.5387869689541,0.4995657443041074,-0.4641889635608013,0.15773387861827845,30394.35966666665,-6908.515513888893,23485.844152777772,5.522,0.0,0.3434052225874302,13.376,30.196,4.282,38.744241583559166,0.584365933399211,46.0,239.32566666666676,17.746373359684103,0.628
9.0,4.0,39.446,38.912,4.972,0.8995952131265834,0.8874305871006373,0.11256941289936556,43.884,114.9,76.2,38.7,0.4361777777777776,1.536,0.762,0.774,1270.325350021551,0.4993682262209763,-0.47808560606378814,0.16112003486664925,33139.972666666654,-6767.286999999999,26372.685666666664,6.406,0.0,0.4340959473820237,14.092,29.792,4.752,38.588478396134136,0.5858884964387807,46.0,260.94466666666676,18.355398575512204,0.77
10.0,4.0,39.074,38.624,5.422,0.8869581423234784,0.876744084809396,0.12325591519060632,44.046,132.1,90.4,41.7,0.4713682539682537,1.738,0.904,0.834,1205.837721696175,0.499211110613136,-0.48498489952686547,0.164660313056745,35453.36233333332,-6619.8875138888925,28833.474819444455,7.36,0.0,0.5375145206975286,14.528,29.518,5.158,38.42562559938971,0.5875836288353185,46.0,279.1603333333335,19.033451534127362,0.832
