period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
1.0,4.0,4.0,40.0,23.974,16.026,1.0,0.5993499999999989,0.4006500000000003,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.1382331721216,0.4999541399572649,0.412452994794989,0.1690632462940713,119277.11577435839,1211.4878587050855,120488.60363306364,0.0,0.0,0.0,34.98,5.02,16.026,46.361436366508045,0.49998281250000026,55.79126765084132,976.8349293966347,28.000487927015744,0.922
2.0,4.0,4.0,28.024,26.192,17.858,0.6313296356249709,0.5901435289303366,0.4098564710696636,44.05,436.3,294.2,142.1,0.6463380514909935,5.784,2.942,2.842,317.9791789886459,0.49748581822226756,0.34455719327306383,0.1508354034725558,122769.51838914065,-1438.6798965375965,121330.83849260298,1.0,0.0,0.3686703643750284,41.874,2.176,12.816,44.363298921008926,0.5338887515194878,52.24149831403607,991.0340067438544,23.810020174899208,0.854
3.0,4.0,4.0,18.734,16.578,20.014,0.5007889995662415,0.44048967073046696,0.5595103292695328,36.592,476.4,315.6,160.8,0.6353680533948345,6.372,3.156,3.216,336.6298531761514,0.49348372122727585,0.2527762431709177,0.16283804737416946,123620.04495823153,526.8092813040021,124146.8542395356,2.0,0.0,0.8083898119778296,36.346,0.246,14.992,43.016242117851604,0.5551854518168833,51.384754193579944,994.4609832256807,27.771224757867884,0.668
4.0,4.0,4.0,12.116,10.198,21.932,0.36677631839393077,0.30518924382640766,0.6948107561735921,32.13,552.9,371.0,181.9,0.6481134687637791,7.348,3.71,3.638,356.28775138751655,0.4897697728659632,0.19499708281957936,0.17434792513817685,124116.59792619053,1863.2942586947665,125979.89218488541,3.0,0.0,1.3835610285353137,32.112,0.018,16.814,42.01148875361602,0.5696940709845861,50.886082741182015,996.4556690352714,31.437912761527848,0.55
5.0,4.0,4.0,8.396,7.004,23.324,0.26921101173607254,0.22078261477705954,0.7792173852229406,30.328,623.1,419.0,204.1,0.6550236663644478,8.272,4.19,4.082,366.16390433733477,0.4869877440547982,0.1678065357655252,0.18109318948884826,124572.16376125554,2431.112871392331,127003.27663264779,4.0,0.0,1.994538968972572,30.302,0.026,17.796,41.29262807024075,0.5788867164039205,50.42951804375678,998.281927824973,33.300113210522845,0.716
6.0,4.0,4.0,6.218,5.024,24.518,0.20535762052189357,0.16252467418137312,0.8374753258186272,29.542,682.9,458.8,224.1,0.6524213703199038,9.07,4.588,4.482,371.2371571270082,0.4846991550422729,0.1566550458091267,0.18529035198062963,124952.72128371066,2683.235973734702,127635.95725744538,5.0,0.008,2.616308225277913,29.512,0.03,18.372,40.77095828830892,0.5848804145603228,50.048638822591286,999.8054447096353,34.18384296255208,0.776
7.0,4.0,4.0,4.624,3.84,25.302,0.15517285794630678,0.12627044021894146,0.8737295597810587,29.142,732.4,502.2,230.2,0.6677276368379682,9.626,5.022,4.604,373.95424583267135,0.48300230475589395,0.15156179445359022,0.18819430625106645,125290.03247106755,2807.4112447124717,128097.44371578016,6.0,0.02,3.2623635516921285,29.116,0.026,18.884,40.35287191175566,0.5894222629708832,49.71135448474463,1001.1545820610216,34.64226713409854,0.808
8.0,4.0,4.0,3.85,3.172,25.98,0.12850693519656783,0.10348910193710337,0.8965108980628975,29.152,768.1,529.6,238.5,0.6720513487355195,10.066,5.296,4.77,374.2108585705205,0.4813241584315186,0.15204431502180882,0.18994236656554736,125648.16528356659,2802.615305321449,128450.78058888829,7.0,0.034,3.8762822443831584,29.118,0.034,18.814,39.97587479858605,0.5930949580841522,49.353990351725784,1002.5840385930973,34.69313519836601,0.874
9.0,4.0,4.0,3.228,2.934,26.274,0.10732556383562371,0.09596660894555582,0.9040333910544449,29.208,780.8,528.8,252.0,0.6636139103006745,10.328,5.288,5.04,373.515342785093,0.4800910105251981,0.1530433790660239,0.19099175220559186,125948.18412574858,2783.945825769596,128732.12995151823,8.0,0.06,4.488664324292543,29.164,0.044,19.01,39.682930170320795,0.5959363439927959,49.054931937768686,1003.780272248925,34.64364105094242,0.84
10.0,4.0,4.0,2.75,2.434,26.59,0.09186552091669799,0.08047635452420872,0.9195236454757905,29.024,824.3,553.0,271.3,0.6566767559077735,10.956,5.53,5.426,375.95993046496744,0.47875159506337095,0.1539201032049505,0.19319767862252943,126150.74776470978,2854.075641122938,129004.82340583266,8.998,0.098,5.125392134958537,28.99,0.034,19.2,39.41239657966945,0.5985350195751905,48.85333468257804,1004.5866612696889,34.865648282193696,0.826
11.0,4.0,4.0,2.584,2.332,26.842,0.08634644103891195,0.07721105177940304,0.9227889482205962,29.174,833.9,566.0,267.9,0.6678339531562705,11.018,5.66,5.358,374.62227085819495,0.4776092262844189,0.15547552070639434,0.19384037209829458,126435.80192057962,2801.7916869073315,129237.59360748695,9.998,0.096,5.716993610807521,29.134,0.04,19.03,39.15205395419193,0.6010091534258011,48.569872179292204,1005.7205112828327,34.72978517247683,0.808
12.0,4.0,4.0,2.218,2.142,26.918,0.07414231097489628,0.07092073942944119,0.9290792605705583,29.06,850.0,582.4,267.6,0.6740394545946696,11.176,5.824,5.352,376.264885029221,0.4763875602332321,0.1563839657112879,0.19559503989090393,126620.16981484884,2864.317692926672,129484.48750777546,10.998,0.152,6.345968295842669,29.008,0.052,19.272,38.920334752078304,0.6032221752351348,48.38655713136694,1006.4537714745317,34.89971289110494,0.862
13.0,4.0,4.0,2.036,1.778,27.176,0.06852453481474766,0.059430948368933326,0.9405690516310653,28.954,867.3,589.8,277.5,0.6660664577775762,11.448,5.898,5.55,378.5799771590769,0.47530313005809166,0.15894485714289486,0.19750212675008488,126763.74196509596,2937.731653165764,129701.47361826178,11.998,0.168,6.966026501233404,28.896,0.058,19.316,38.71424704538445,0.6049962376755657,48.24412101830042,1007.0235159267986,35.0461194631855,0.874
14.0,4.0,4.0,1.874,1.758,27.292,0.06256425899096303,0.05826387815868954,0.9417361218413091,29.05,859.7,587.0,272.7,0.667784278004094,11.324,5.87,5.454,377.65822941454263,0.4743949180411386,0.16008477790096826,0.19791899388494666,126949.4799379461,2916.709538450406,129866.18947639652,12.992,0.21,7.567467985493153,28.986,0.064,19.352,38.5462143964075,0.6066328758704881,48.05980392357069,1007.760784305716,34.971215836467536,0.826
15.0,4.0,4.0,1.744,1.65,27.386,0.05818983072594825,0.05468015325474443,0.9453198467452558,29.036,870.7,586.4,284.3,0.659973226959376,11.55,5.864,5.686,378.49033278237715,0.47335567623428254,0.1618628187397575,0.19901581136988397,127084.1646141725,2939.7032420872447,130023.86785625988,13.992,0.242,8.181310056145493,28.968,0.068,19.362,38.3868551310875,0.6080337962350186,47.92639418462317,1008.2944232615075,35.00581241512226,0.914
16.0,4.0,4.0,1.686,1.68,27.392,0.05640265733388545,0.05562591773628112,0.9443740822637178,29.072,883.1,598.0,285.1,0.6647530970310358,11.682,5.98,5.702,378.21903348999007,0.472584946437839,0.1630082261259813,0.1997212596590669,127251.3014695485,2926.2883431313617,130177.58981267987,14.984,0.282,8.766098736756911,29.006,0.066,19.136,38.221479849827595,0.6096152756153151,47.76066715136022,1008.9573313945592,34.97322405479491,0.806
17.0,4.0,4.0,1.55,1.416,27.526,0.05169158924605625,0.04694916847077854,0.9530508315292209,28.942,876.0,592.8,283.2,0.6649870319977128,11.592,5.928,5.664,380.24044363598057,0.4715201700316839,0.16342273878466682,0.20132838107199316,127363.21781506641,3018.826500468059,130382.0443155344,15.984,0.378,9.396635246778763,28.868,0.074,19.386,38.055978897110236,0.6111800943032732,47.65010063144929,1009.3995974742043,35.16562423225792,0.806
18.0,4.0,4.0,1.482,1.304,27.704,0.04949367141357224,0.04327390498352464,0.956726095016474,29.008,902.9,615.0,287.9,0.6687823910127522,11.908,6.15,5.758,380.1051779472189,0.4706249572318115,0.16549928119365678,0.20194489915172065,127500.03900001671,2985.708705362299,130485.74770537921,16.98,0.348,10.001050006627471,28.924,0.084,19.158,37.918808289818436,0.6123685144379621,47.5146786584725,1009.9412853661088,35.10920077939334,0.842
19.0,4.0,4.0,1.396,1.416,27.684,0.046480017637887235,0.046919931614511315,0.9530800683854875,29.1,899.7,618.0,281.7,0.6742424235444973,11.814,6.18,5.634,379.9315181381001,0.46987438022587047,0.168584769821965,0.2024070324487879,127608.05367048056,2974.3783060543547,130582.43197653488,17.978,0.432,10.609204170712976,29.0,0.1,19.222,37.81230379770859,0.6131659961872838,47.40789108701077,1010.3684356519582,35.02342653339286,0.882
20.0,4.0,4.0,1.39,1.35,27.724,0.04599205289020747,0.04483170272698668,0.9551682972730124,29.074,887.7,602.6,285.1,0.6658988567171622,11.728,6.026,5.702,380.9500840385571,0.4690237251272592,0.17023534848056754,0.2034510724032681,127704.93829582445,3025.271588063888,130730.20988388847,18.976,0.502,11.220382237980553,28.984,0.09,19.174,37.68672704880894,0.6142511610021266,47.311858997795824,1010.7525640088181,35.06026016908599,0.846
21.0,4.0,4.0,1.276,1.284,27.716,0.04209367870792036,0.04249374794857428,0.9575062520514254,29.0,899.5,609.2,290.3,0.6618192974547783,11.898,6.092,5.806,383.29368272476313,0.4683308447325917,0.17311495081902187,0.20492098677344894,127748.67967552392,3091.2717691078064,130839.95144463188,19.972,0.592,11.860707060889654,28.886,0.114,19.29,37.58284350841019,0.6149808224476424,47.26874315843854,1010.9250273662458,35.20653964249473,1.004
22.0,4.0,4.0,1.234,1.21,27.74,0.04089052039181571,0.03989988763962435,0.9601001123603751,28.95,896.1,609.0,287.1,0.66505631926288,11.832,6.09,5.742,384.2106217730413,0.46747619974303933,0.17331078856966506,0.20594285259252887,127853.41076532016,3135.9030113628523,130989.31377668308,20.968,0.598,12.492145084363413,28.834,0.116,19.326,37.45248196294192,0.616220263048996,47.16540567004761,1011.3383773198102,35.296884278359535,0.802
23.0,4.0,4.0,1.174,1.12,27.794,0.03902287221281324,0.037263106795370274,0.9627368932046295,28.914,907.5,615.6,291.9,0.6653534577056415,11.994,6.156,5.838,384.61251887688655,0.46678263193229097,0.1733250707347304,0.20675550244397073,127965.09117952113,3150.857739361422,131115.94891888287,21.966,0.654,13.112723168179063,28.786,0.128,19.35,37.3276026026024,0.6174364111969044,47.055073947577114,1011.7797042096915,35.35642102121886,0.68
24.0,4.0,4.0,1.046,0.996,27.844,0.035025588067053776,0.03305916600796091,0.9669408339920385,28.84,892.2,608.0,284.2,0.6716463365577257,11.764,6.08,5.684,385.4605908317776,0.4659792986369582,0.17335101396254265,0.20768610843814786,128050.40370108857,3209.595213082996,131259.99891417165,22.966,0.724,13.759045171146846,28.722,0.118,19.442,37.21862196606195,0.6185379509080907,46.97096280580474,1012.1161487767813,35.446163061936616,0.656
25.0,4.0,4.0,1.038,1.07,27.812,0.034326160321686554,0.03557428148494729,0.9644257185150513,28.882,898.3,615.8,282.5,0.674029008120889,11.808,6.158,5.65,385.3038142213529,0.46530450502060966,0.1742563019810373,0.20825173490099638,128174.23397685507,3200.7583782673073,131374.99235512258,23.964,0.842,14.371476478434792,28.748,0.134,19.342,37.09544673209974,0.6196869309260093,46.84860344208027,1012.6055862316779,35.43661002958799,0.596
