period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,24,16,1.0,0.6,0.4,40,0,0,0,0,0,0,0,390.8473344945369,0.49855769230769226,0.4195571527938795,0.1660812368152646,117951.36986648796,1220.1957024592011,119171.56556894716,0,0,0.0,36,4,16,47.65920859417267,0.48802083333333335,57.15090090090089,971.3963963963952,26.9832332332332,0
2,4,27,26,17,0.627906976744186,0.6046511627906976,0.39534883720930236,43,400,300,100,0.75,5,3,2,333.3452314802237,0.4988002953119232,0.3772283146640012,0.1560213479886727,122203.32031249999,-852.8211805555552,121350.49913194442,1,0,0.37209302325581395,39,4,14,44.57262255934824,0.5290697674418605,52.8125,988.7499999999999,25.3525641025641,0
3,4,22,18,21,0.5641025641025641,0.46153846153846156,0.5384615384615384,39,700,400,300,0.5714285714285714,10,4,6,306.4790789323332,0.4911999550157445,0.25148752193827373,0.15171980849625413,124583.68055555547,-863.5416666666699,123720.1388888888,2,0,0.6410256410256411,39,0,14,42.76745965498054,0.5598290598290598,50.416666666666664,998.3333333333327,25.598290598290582,0
4,4,9,5,25,0.3,0.16666666666666666,0.8333333333333334,30,550,400,150,0.7272727272727273,7,4,3,351.374757677788,0.48819444444444443,0.1292884399551062,0.17358333837375745,124496.47583896978,2198.9838059313147,126695.4596449011,3,0,1.4,30,0,19,41.73737373737374,0.578125,50.50403225806451,997.9838709677416,33.26612903225806,0
5,4,5,3,27,0.16666666666666666,0.1,0.9,30,700,500,200,0.7142857142857143,9,5,4,347.3324581071144,0.4830699233716475,0.11231582247301697,0.17408723809368676,125100.82677549397,1990.3155350329075,127091.14231052688,4,0,2.2333333333333334,30,0,22,41.21238076044604,0.584375,49.899193548387075,1000.4032258064491,33.346774193548306,0
6,4,2,2,27,0.06896551724137931,0.06896551724137931,0.9310344827586207,29,700,500,200,0.7142857142857143,9,5,4,357.1462704568161,0.4811165845648604,0.10224204943613646,0.17917003707318266,125138.92746913579,2438.5802469135733,127577.50771604935,5,0,3.103448275862069,29,0,26,40.92749398482323,0.5876436781609196,49.86111111111111,1000.5555555555554,34.501915708812255,0
7,4,6,7,26,0.18181818181818182,0.21212121212121213,0.7878787878787878,33,850,500,350,0.5882352941176471,12,5,7,314.98770276146627,0.47948232323232326,0.10723690284933429,0.16285281040692048,126382.47796820919,511.78528090155527,126894.26324911075,6,0,3.303030303030303,33,0,12,40.70320434694292,0.5899621212121212,48.621323529411754,1005.5147058823518,30.47014260249551,0
8,4,2,1,27,0.07142857142857142,0.03571428571428571,0.9642857142857143,28,600,500,100,0.8333333333333334,7,5,2,367.68750680365974,0.4755566578483245,0.09639732847104132,0.1859234941944828,125467.39011510772,3026.5583713172205,128493.94848642494,7,0,4.464285714285714,28,0,21,40.323688990869556,0.5941220238095238,49.5330459770115,1001.8678160919544,35.780993431855514,0
9,4,3,2,28,0.1,0.06666666666666667,0.9333333333333333,30,700,500,200,0.7142857142857143,9,5,4,342.30543282513577,0.4774185823754789,0.08999331103678831,0.17610000759586333,126178.84157489327,1938.3405957336327,128117.18217062691,8,0,5.066666666666666,30,0,21,40.22603121516162,0.5954861111111112,48.82392473118281,1004.7043010752707,33.49014336917569,0
10,4,4,3,29,0.125,0.09375,0.90625,32,450,100,350,0.2222222222222222,8,1,7,323.0920131846859,0.4768985215053763,0.09868173847695405,0.1697083311359562,127028.36445260697,1358.370000510165,128386.73445311714,9,0,5.25,32,0,21,39.83722653640614,0.5989583333333333,47.979797979797986,1008.0808080808088,31.502525252525274,0
11,4,0,0,29,0.0,0.0,1.0,29,900,600,300,0.6666666666666666,12,6,6,354.65951128807944,0.475933908045977,0.09140811342223354,0.1838796592884438,126497.51398533951,2272.7092978395026,128770.22328317902,10,1,6.620689655172414,29,0,23,39.58750402687651,0.6016522988505747,48.50694444444444,1005.9722222222223,34.68869731800766,0
12,4,1,2,28,0.03333333333333333,0.06666666666666667,0.9333333333333333,30,550,300,250,0.5454545454545454,8,3,5,344.18783578919056,0.4753831417624521,0.09925293489861242,0.18016983359467684,126888.80217366171,2184.7164412070742,129073.51861486878,11,0,7.366666666666666,30,0,23,39.4488171469228,0.6027777777777779,48.11827956989247,1007.5268817204302,33.58422939068101,0
13,4,2,2,28,0.06666666666666667,0.06666666666666667,0.9333333333333333,30,750,400,350,0.5333333333333333,11,4,7,344.16470419756257,0.4745210727969349,0.09721926083866417,0.18136319805467055,127159.78725864261,2002.782113539141,129162.56937218175,12,0,7.6,30,0,25,39.171330845771145,0.6055555555555556,47.8494623655914,1008.6021505376343,33.62007168458781,0
14,4,1,0,29,0.034482758620689655,0.0,1.0,29,950,700,250,0.7368421052631579,12,7,5,354.92312976040415,0.4743944991789819,0.09001694939395266,0.18720455275597775,127197.07031249987,2279.0364583333185,129476.10677083318,13,0,8.241379310344827,29,0,23,38.8617823213548,0.6088362068965517,47.81249999999999,1008.749999999999,34.784482758620655,0
15,4,3,2,30,0.09375,0.0625,0.9375,32,1200,1000,200,0.8333333333333334,14,10,4,323.92833377901843,0.4742943548387097,0.10286783042393965,0.17506099979162595,128176.49347005403,703.9995918783704,128880.4930619324,14,0,8.375,32,0,18,38.64297589359933,0.6106770833333333,46.84343434343434,1012.6262626262624,31.6445707070707,0
16,4,0,2,28,0.0,0.06666666666666667,0.9333333333333333,30,1100,700,400,0.6363636363636364,15,7,8,344.2231321950088,0.4724856321839081,0.09873311184939082,0.18462431003331695,127872.49835602356,1703.3343811422933,129575.83273716585,15,1,9.633333333333333,30,0,19,38.439922480620154,0.6128472222222222,47.14381720430106,1011.4247311827936,33.71415770609312,0
17,4,3,0,31,0.0967741935483871,0.0,1.0,31,700,400,300,0.5714285714285714,10,4,6,332.0521100362099,0.4716397849462366,0.0923340975328657,0.18004860405517387,128309.37915378118,1621.0800170898042,129930.45917087098,16,0,9.774193548387096,31,0,24,38.30176605406331,0.6145833333333333,46.712239583333314,1013.1510416666644,32.68229166666659,0
18,4,1,3,29,0.03125,0.09375,0.90625,32,950,700,250,0.7368421052631579,12,7,5,326.1315791542797,0.47013608870967744,0.11161825080865895,0.17881620963452227,128752.49496224854,1048.0509004182964,129800.54586266684,17,0,10.4375,32,0,17,38.0004872688065,0.6165364583333333,46.27525252525251,1014.8989898989882,31.715593434343383,0
19,4,1,1,29,0.03333333333333333,0.03333333333333333,0.9666666666666667,30,850,600,250,0.7058823529411765,11,6,5,346.73853379824226,0.4696120689655172,0.10781298333996192,0.1888410657357502,128484.9788450976,2060.1386359694616,130545.11748106706,18,0,11.566666666666666,30,0,18,37.75050819744574,0.6190972222222222,46.53897849462365,1013.8440860215046,33.79480286738349,0
20,4,1,2,28,0.03333333333333333,0.06666666666666667,0.9333333333333333,30,700,500,200,0.7142857142857143,9,5,4,349.05416498514774,0.46901340996168583,0.11609256315138605,0.19091745197883275,128655.37200832454,2281.538689443844,130936.91069776838,19,0,12.533333333333333,30,0,20,37.517940734852495,0.6208333333333333,46.37096774193547,1014.5161290322571,33.817204301075236,0
21,4,0,0,28,0.0,0.0,1.0,28,900,700,200,0.7777777777777778,11,7,4,371.58975268075847,0.46621472663139335,0.10809496799286933,0.20157314891574676,128326.4384330824,3036.9579039503365,131363.39633703273,20,1,13.678571428571429,28,0,26,37.28286301758367,0.6235119047619048,46.69540229885058,1013.2183908045984,36.18637110016423,0
22,4,1,0,29,0.034482758620689655,0.0,1.0,29,700,400,300,0.5714285714285714,10,4,6,359.97922425788954,0.46618431855500825,0.11157574785013691,0.19715203991215446,128707.64853395072,2766.4158950617384,131474.06442901245,21,0,14.172413793103448,29,0,20,37.18747148462452,0.6242816091954023,46.31944444444445,1014.7222222222231,34.99042145593873,0
23,4,0,2,27,0.0,0.06896551724137931,0.9310344827586207,29,1050,600,450,0.5714285714285714,15,6,9,360.97319976570174,0.46551724137931033,0.11774140289636326,0.19839955566069767,128848.62075617282,2452.1797839506203,131300.80054012345,22,1,15.172413793103448,29,0,21,37.01835385316918,0.6257183908045977,46.18055555555556,1015.2777777777776,35.0095785440613,0
24,4,2,2,27,0.06896551724137931,0.06896551724137931,0.9310344827586207,29,750,400,350,0.5333333333333333,11,4,7,359.8047891736168,0.4631568144499179,0.11583720634561923,0.20006457639471487,129307.31336805546,2755.0781249999945,132062.39149305545,23,0,14.827586206896552,29,0,21,36.580380308616704,0.6303879310344828,45.729166666666664,1017.0833333333326,35.071839080459746,0
25,4,0,1,26,0.0,0.037037037037037035,0.962962962962963,27,1000,500,500,0.5,15,5,10,383.72762711683646,0.46254748338081675,0.10572400436176599,0.21177918434330198,129012.34598657185,3501.1202788407218,132513.46626541257,24,1,16.11111111111111,27,0,24,36.27340583955862,0.6338734567901234,46.01934523809525,1015.9226190476202,37.62676366843038,0
26,4,1,0,27,0.037037037037037035,0.0,1.0,27,950,900,50,0.9473684210526315,10,9,1,382.6894683920115,0.46165716999050327,0.09983472865696696,0.21283014779978834,129314.88106310234,3547.488617842967,132862.3696809453,25,0,16.185185185185187,27,0,23,35.990764447695675,0.6369598765432098,45.72172619047619,1017.1130952380954,37.670855379188716,0
27,4,0,0,27,0.0,0.0,1.0,27,1300,1100,200,0.8461538461538461,15,11,4,384.15697027482105,0.46136039886039887,0.10459809319625113,0.21488289727310284,129542.01488538108,3252.893592332737,132794.90847771382,26,1,17.185185185185187,27,0,23,35.721659845051875,0.6392746913580247,45.49851190476189,1018.0059523809512,37.70392416225745,0
28,4,0,0,27,0.0,0.0,1.0,27,1000,600,400,0.6,14,6,8,385.88851224627956,0.46082621082621084,0.1109000892784675,0.21668637131466637,129693.54815493898,3609.4500690901173,133302.99822402908,27,2,18.185185185185187,27,0,23,35.5230399318237,0.6408179012345678,45.34970238095237,1018.6011904761898,37.72597001763666,0
29,4,0,0,27,0.0,0.0,1.0,27,1100,800,300,0.7272727272727273,14,8,6,384.4631627216354,0.46047008547008544,0.1053997923156802,0.2165134653221839,129807.25623582758,3481.2216553287885,133288.47789115636,28,3,19.185185185185187,27,0,22,35.44343847352026,0.6419753086419753,45.238095238095234,1019.0476190476184,37.74250440917105,0
