period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,27,13,1.0,0.675,0.32499999999999996,40,0,0,0,0,0,0,0,341.7437249409571,0.500534188034188,0.3359971988795527,0.15106799133719842,119711.7517529429,182.1479926515484,119893.89974559445,0,0,0.0,37,3,13,46.984477124183,0.5126689189189189,55.34539473684209,978.618421052629,26.44914651493592,0
2,4,37,35,15,0.74,0.7,0.30000000000000004,50,400,300,100,0.75,5,3,2,299.3076881650341,0.4987329931972789,0.39752120383037015,0.1437542181659917,123307.39935314239,-3018.629473193691,120288.7698799487,1,0,0.26,45,5,11,44.26651086791307,0.5381944444444444,51.69836956521738,993.2065217391278,22.071256038647284,0
3,4,26,21,20,0.6341463414634146,0.5121951219512195,0.4878048780487805,41,250,100,150,0.4,4,1,3,322.9048018061891,0.49809451219512196,0.3222639836505232,0.1552206327645399,123343.81618677547,-534.3378960380603,122809.4782907374,2,0,0.5365853658536586,41,0,19,43.64274359998669,0.5439532520325203,51.66170634920634,993.3531746031731,24.22812620983349,0
4,4,16,13,23,0.4444444444444444,0.3611111111111111,0.6388888888888888,36,550,300,250,0.5454545454545454,8,3,5,317.5747034318588,0.4918154761904762,0.2030078247261342,0.1582524139785372,124859.27386423595,80.42937363039789,124939.70323786634,3,0,1.1111111111111112,36,0,13,42.20586854460096,0.5679976851851851,50.14076576576577,999.4369369369376,27.762137137137156,0
5,4,5,4,24,0.17857142857142858,0.14285714285714285,0.8571428571428572,28,600,400,200,0.6666666666666666,8,4,4,378.9949119115743,0.4878196649029982,0.1281942956062978,0.18501357249091765,123996.27592812778,2898.7915345488022,126895.06746267658,4,0,2.0714285714285716,28,0,22,41.56899163300636,0.5788690476190477,51.00574712643677,995.977011494252,35.570607553366145,0
6,4,4,2,26,0.14285714285714285,0.07142857142857142,0.9285714285714286,28,750,700,50,0.9333333333333333,8,7,1,377.5487188127582,0.48691027336860665,0.12456019423468634,0.18604121751007674,124390.11355942002,2592.6656014665064,126982.77916088652,5,0,2.8214285714285716,28,0,17,41.19496855345913,0.5829613095238095,50.610632183908045,997.5574712643679,35.627052545156,0
7,4,4,6,24,0.13333333333333333,0.2,0.8,30,950,600,350,0.631578947368421,13,6,7,355.5204772321163,0.4880747126436782,0.13413061005106197,0.17804733455998686,125067.21333391116,1442.7910741125793,126510.00440802374,6,0,3.5,30,0,16,41.0423945176028,0.5840277777777778,49.932795698924714,1000.2688172042988,33.34229390680996,0
8,4,4,7,21,0.14285714285714285,0.25,0.75,28,750,500,250,0.6666666666666666,10,5,5,387.9393485753525,0.48341049382716045,0.15865502827637123,0.19599370567154745,125431.40606420916,2681.955591887953,128113.36165609711,7,0,3.8214285714285716,28,0,13,39.85376027921211,0.59375,49.568965517241374,1001.7241379310335,35.77586206896548,0
9,4,7,8,20,0.25,0.2857142857142857,0.7142857142857143,28,850,700,150,0.8235294117647058,10,7,3,394.46774693237694,0.4828042328042328,0.1770248678766031,0.19963846640830152,125503.3793268595,2801.407055093137,128304.78638195264,8,0,3.6785714285714284,28,0,14,39.61559602332474,0.5944940476190477,49.497126436781606,1002.011494252873,35.78612479474547,0
10,4,10,8,22,0.3333333333333333,0.26666666666666666,0.7333333333333334,30,600,300,300,0.5,9,3,6,368.23544209228015,0.48388409961685824,0.17523720432981382,0.19069244381844525,126449.06790163604,2012.6056841831419,128461.67358581918,9,0,3.8666666666666667,30,0,18,39.29601541271327,0.5982638888888889,48.55510752688172,1005.7795698924732,33.52598566308244,0
