period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1.0,4.0,40.0,24.056,15.944,1.0,0.6013999999999996,0.3986000000000001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.5244559529143,0.49995138888888874,0.4130000530039017,0.1692791270720864,119288.12497012262,1221.6445281926444,120509.76949831525,0.0,0.0,0.0,34.858,5.142,15.944,46.34025548258734,0.5124754357653427,55.78000112389828,976.8799955044061,28.1101788017303,0.0
2.0,4.0,27.934,25.99,17.888,0.6313886969107638,0.5870411552792999,0.4129588447207001,43.878,415.4,276.8,138.6,0.6310388999889012,5.54,2.768,2.772,318.65917767557704,0.4976482456613958,0.34338124869181336,0.15127699571889952,122807.82367829626,-1364.5344605579096,121443.28921773835,1.0,0.0,0.36861130308923695,41.784,2.094,13.108,44.306709580744986,0.5376883226707826,52.20284089026563,991.1886364389368,23.886692629375467,0.0
3.0,4.0,18.534,16.84,19.582,0.4976430192447289,0.4497726488275132,0.5502273511724868,36.422,488.9,324.0,164.9,0.6287878001345367,6.538,3.24,3.298,335.967224942434,0.4934733574321132,0.24805595002609993,0.16283050888442008,123701.75401522,325.3220748879678,124027.07609010789,2.0,0.0,0.8106978857598466,36.166,0.256,14.44,42.9477664778458,0.5567420086480694,51.30256876596679,994.7897249361329,27.90707852309473,0.0
4.0,4.0,12.526,10.756,21.352,0.379963523408389,0.32318293640821827,0.6768170635917821,32.108,538.3,358.0,180.3,0.6392581324592166,7.186,3.58,3.606,354.35532746058766,0.49000358151690954,0.19063689020472327,0.17376623306548464,124207.3403301725,1496.219978213461,125703.56030838587,3.0,0.0,1.3504804471323129,32.098,0.01,16.116,41.96538108841214,0.5706953517403205,50.79499605386478,996.8200157845415,31.458124911587284,0.0
5.0,4.0,8.53,7.164,22.718,0.2784394808051526,0.23034254523254474,0.7696574547674555,29.882,618.0,413.2,204.8,0.6511782860541452,8.228,4.132,4.096,367.1611945058978,0.4870444490388509,0.15825445966845728,0.18179876769152953,124612.21807034705,2116.5288107125793,126728.74688105965,4.0,0.0,1.961486000911921,29.882,0.0,17.016,41.22545858858941,0.5804176796434231,50.38913656833605,998.4434537266555,33.72361813071349,0.0
6.0,4.0,6.282,5.47,23.53,0.21201396613088128,0.1814742933241624,0.8185257066758385,29.0,658.2,437.0,221.2,0.6452885206640636,8.794,4.37,4.424,372.8700691351928,0.4845348816160995,0.1434281294941839,0.18651219448328274,125042.80027705146,2323.5936672056732,127366.39394425707,5.0,0.002,2.582095325233424,29.0,0.0,17.348,40.6363227792729,0.5873494553905996,49.9583041433478,1000.1667834266086,34.77299872963097,0.0
7.0,4.0,4.92,4.268,24.182,0.16824184759184233,0.1430797115253724,0.8569202884746269,28.45,685.0,462.6,222.4,0.6526938900998206,9.074,4.626,4.448,377.0952294037012,0.48262220067197553,0.13398230506316655,0.19031593511185205,125416.79220520885,2465.2965717893703,127882.08877699831,6.0,0.024,3.180583481302419,28.45,0.0,17.714,40.143044214826325,0.5929489996460616,49.58463077931059,1001.6614768827561,35.5181229756672,0.0
8.0,4.0,3.936,3.432,24.686,0.13634066341388854,0.11627345683141967,0.8837265431685798,28.118,730.3,492.0,238.3,0.6586702745062587,9.686,4.92,4.766,379.6055808108737,0.4808274948294238,0.1289958689679929,0.193186381141364,125759.75409170431,2526.1541488452276,128285.90824054948,6.998,0.024,3.789479789856867,28.118,0.0,18.104,39.72490658141121,0.59746298743007,49.24242360568332,1003.0303055772657,35.95488939476136,0.0
9.0,4.0,3.226,3.004,24.908,0.11275994249350126,0.10268930337674485,0.8973106966232557,27.912,766.8,522.4,244.4,0.6649070980887645,10.112,5.224,4.888,381.34332394033225,0.47927998669593064,0.12673502268546397,0.19568942085399207,126098.39612118236,2546.086241663135,128644.48236284553,7.996,0.04,4.402816580204469,27.912,0.0,18.096,39.3308852288809,0.601527136226032,48.90499545042741,1004.3800181982903,36.23083629212287,0.0
10.0,4.0,2.836,2.612,25.132,0.09961633746623613,0.09032980547027938,0.9096701945297201,27.744,768.5,512.0,256.5,0.6500557023207632,10.25,5.12,5.13,382.4842029141559,0.4778408398701353,0.12416814932078447,0.1976716770235432,126387.03047785445,2576.4715925662586,128963.50207042086,8.996,0.074,5.011444413275379,27.744,0.0,18.298,39.00385101111253,0.6049790629161756,48.6177141012385,1005.5291435950455,36.46248157142443,0.0
11.0,4.0,2.296,2.158,25.27,0.08160289414027726,0.07554567806378851,0.9244543219362115,27.428,777.1,521.6,255.5,0.6528846735597408,10.326,5.216,5.11,385.64320844397247,0.4763329856477335,0.12112444789350402,0.2004071965155979,126611.47840871244,2697.40020997638,129308.87861868886,9.996,0.116,5.664607968896437,27.428,0.0,18.506,38.69270136132681,0.6082680814779705,48.39461332850721,1006.4215466859705,36.885685905217464,0.0
12.0,4.0,2.13,2.036,25.364,0.07579834319555574,0.07162040660572595,0.9283795933942749,27.4,794.3,535.6,258.7,0.6601757978201055,10.53,5.356,5.174,385.4349770527832,0.47512457076434317,0.1196769464707842,0.20164779263730234,126881.8815178098,2678.982366496383,129560.86388430632,10.994,0.15,6.292202717429654,27.4,0.0,18.536,38.418821038688634,0.611107465330884,48.12600234376082,1007.4959906249566,36.94699550739661,0.0
13.0,4.0,1.824,1.742,25.446,0.06533449531584369,0.06168037984316948,0.9383196201568315,27.188,805.5,542.2,263.3,0.6585250403567843,10.688,5.422,5.266,388.03704961439934,0.4737573066600324,0.11835257224124855,0.20404115771630027,127087.65665170962,2777.8233363839545,129865.47998809368,11.992,0.18,6.954767307799164,27.188,0.0,18.768,38.14114796525494,0.6139552688097201,47.92181277649689,1008.3127488940122,37.26935862987518,0.0
14.0,4.0,1.606,1.524,25.528,0.05782818974992724,0.054283592030847705,0.9457164079691531,27.052,799.6,539.6,260.0,0.6599898070452309,10.596,5.396,5.2,389.72612995193793,0.4725193747118148,0.11772754212493777,0.206016094596051,127302.97250731646,2837.6244549125113,130140.596962229,12.99,0.268,7.618963850929548,27.052,0.0,18.832,37.87689999984334,0.6166339303063951,47.708403806870365,1009.166384772518,37.4871873500394,0.0
