period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,27,13,1.0,0.675,0.32499999999999996,40,0,0,0,0,0,0,0,443.7347245980327,0.4986378205128205,0.48014262042845424,0.19536814424850296,119534.46669506581,2608.318731781527,122142.78542684735,0,0,0.0,35,5,13,44.67848759221999,0.5015625,55.52662037037036,977.8935185185168,27.939814814814763,0
2,4,36,31,18,0.7346938775510204,0.6326530612244898,0.36734693877551017,49,850,600,250,0.7058823529411765,11,6,5,361.39684933141444,0.4995039682539682,0.486530955023202,0.1726512731560206,123080.34396701379,-1753.8302951388982,121326.51367187488,1,0,0.2653061224489796,39,10,13,42.961806284554555,0.5299744897959184,51.92708333333333,992.2916666666658,25.443376068376047,0
3,4,14,12,20,0.4375,0.375,0.625,32,500,300,200,0.6,7,3,4,368.1679592811114,0.4908854166666667,0.23278722194135493,0.18297392549196956,124747.60228548117,2285.6140317314703,127033.21631721265,2,0,0.9375,32,0,14,41.057623441186394,0.5755208333333333,50.25252525252526,998.9898989898999,31.21843434343437,0
4,4,7,3,24,0.25925925925925924,0.1111111111111111,0.8888888888888888,27,600,500,100,0.8333333333333334,7,5,2,402.0240918611017,0.4864078822412156,0.15878374651088412,0.19993998168558774,124776.88536352031,4032.662804705199,128809.5481682255,3,0,1.6666666666666667,27,0,19,40.181585741237214,0.5902777777777778,50.22321428571428,999.1071428571421,37.003968253968225,0
5,4,4,2,26,0.14285714285714285,0.07142857142857142,0.9285714285714286,28,600,300,300,0.5,9,3,6,385.5917475888067,0.4816468253968254,0.1513941776194574,0.19582672595885683,125647.3877824019,3489.719166996966,129137.10694939886,4,0,2.4642857142857144,28,0,20,39.68872408522022,0.5959821428571428,49.35344827586207,1002.5862068965516,35.806650246305416,0
6,4,2,1,27,0.07142857142857142,0.03571428571428571,0.9642857142857143,28,950,700,250,0.7368421052631579,12,7,5,384.961858992821,0.4800485008818342,0.14812847335730628,0.19791568515277969,126152.06764433872,3162.7468952305453,129314.81453956927,5,0,3.107142857142857,28,0,20,39.18227974828376,0.6011904761904762,48.85057471264368,1004.597701149425,35.87848932676518,0
7,4,1,2,26,0.03571428571428571,0.07142857142857142,0.9285714285714286,28,600,500,100,0.8333333333333334,7,5,2,383.849988934296,0.47828483245149916,0.14508290451686734,0.19803941906964118,126296.4476813317,3495.77800898401,129792.22569031571,6,0,4.0,28,0,18,39.061011053935594,0.6026785714285714,48.706896551724135,1005.172413793103,35.89901477832511,0
8,4,3,3,26,0.10344827586206896,0.10344827586206896,0.896551724137931,29,700,400,300,0.5714285714285714,10,4,6,370.49949154579093,0.47629310344827586,0.1457258965279593,0.194077531492037,126917.01630015425,2904.538001543199,129821.55430169746,7,0,4.379310344827586,29,0,19,38.75703537790031,0.6059626436781609,48.09027777777777,1007.6388888888883,34.74616858237546,0
9,4,1,2,25,0.037037037037037035,0.07407407407407407,0.9259259259259259,27,950,600,350,0.631578947368421,13,6,7,393.12352009543673,0.4757834757834758,0.13340562209407358,0.20435775299042575,126604.82047636762,3604.266537344093,130209.08701371172,8,0,5.592592592592593,27,0,18,38.50932155355116,0.6091820987654322,48.40029761904761,1006.3988095238094,37.27402998236331,0
10,4,3,2,26,0.10714285714285714,0.07142857142857142,0.9285714285714286,28,1000,700,300,0.7,13,7,6,380.2617920758221,0.47321428571428575,0.13937207884576264,0.20221183043063765,127527.01190712117,3098.730017175319,130625.74192429648,9,0,5.857142857142857,28,0,17,37.88347558084399,0.6153273809523809,47.485632183908045,1010.0574712643679,36.07348111658457,0
