period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,4,40,24,16,1.0,0.6,0.4,40,0,0,0,0,0,0,0,426.1410631832814,0.49866452991452986,0.44812606473594596,0.18807880006660604,119642.01388888883,2196.8749999999936,121838.88888888883,0,0,0.0,39,1,16,44.993966496308914,0.5067708333333334,55.416666666666664,978.3333333333328,25.08547008547007,0
2,4,4,21,19,18,0.5675675675675675,0.5135135135135135,0.4864864864864865,37,350,300,50,0.8571428571428571,4,3,1,368.62428569171044,0.4931493993993994,0.3147888792872253,0.17841100700233814,123633.14313057874,1364.8358148661246,124997.97894544486,1,0,0.43243243243243246,37,0,11,42.2055310547593,0.553490990990991,51.370614035087726,994.51754385965,26.878852536747296,0
3,4,4,17,17,18,0.4857142857142857,0.4857142857142857,0.5142857142857142,35,300,200,100,0.6666666666666666,4,2,2,350.04733965683755,0.4942226890756303,0.2675100709125411,0.16820303857418709,123327.39224322712,1334.085112311399,124661.47735553852,2,0,0.8,35,0,13,42.98580361997981,0.5541666666666667,51.67824074074075,993.2870370370379,28.379629629629655,8
4,4,4,16,15,19,0.47058823529411764,0.4411764705882353,0.5588235294117647,34,400,200,200,0.5,6,2,4,344.89802028549786,0.4922571301247772,0.23740524515073003,0.16917581276218346,124197.7200255101,1367.1095521541852,125564.82957766429,3,0,1.1470588235294117,34,0,15,42.208835940921226,0.5652573529411764,50.80357142857142,996.7857142857134,29.317226890756277,0
5,4,4,11,8,22,0.36666666666666664,0.26666666666666666,0.7333333333333334,30,550,400,150,0.7272727272727273,7,4,3,371.2294142244742,0.4852729885057471,0.1930617383875175,0.18164512525716353,124094.38816987512,2663.497405769452,126757.88557564457,4,0,1.7666666666666666,30,0,19,41.66020279688834,0.5739583333333333,50.90725806451613,996.3709677419354,33.21236559139785,0
6,4,4,11,12,21,0.3333333333333333,0.36363636363636365,0.6363636363636364,33,600,500,100,0.8333333333333334,7,5,2,330.95465527897954,0.4867029671717172,0.1728721728721725,0.16756756756756763,125521.37586805565,1108.3767361111227,126629.75260416677,5,0,2.272727272727273,33,0,16,41.18806306306305,0.5811237373737373,49.47916666666667,1002.0833333333342,30.36616161616164,0
7,4,4,6,3,24,0.2222222222222222,0.1111111111111111,0.8888888888888888,27,350,100,250,0.2857142857142857,6,1,5,384.9797802891696,0.47892924976258305,0.11182824170610917,0.19146327739714708,124776.88536352047,3857.315582483008,128634.20094600348,6,0,2.925925925925926,27,0,24,40.60731307715223,0.5902777777777778,50.22321428571429,999.1071428571433,37.003968253968274,0
8,4,4,7,5,26,0.22580645161290322,0.16129032258064516,0.8387096774193549,31,750,500,250,0.6666666666666666,10,5,5,333.89544552245854,0.4813620071684588,0.10561894456258791,0.17244192206547884,126338.19792005784,1486.7497762044754,127824.94769626232,7,0,3.3225806451612905,31,0,16,40.273415576566094,0.5944220430107527,48.66536458333336,1005.3385416666695,32.4302755376345,0
9,4,4,2,2,26,0.07142857142857142,0.07142857142857142,0.9285714285714286,28,700,500,200,0.7142857142857143,9,5,4,366.9618248327404,0.48084766313932975,0.09326618263626085,0.18750756009193062,125899.60127246006,2940.0694857312674,128839.67075819132,8,0,4.571428571428571,28,0,23,39.89501312335955,0.5985863095238095,49.10201149425287,1003.5919540229887,35.842569786535314,0
10,4,4,3,2,27,0.10344827586206896,0.06896551724137931,0.9310344827586207,29,900,600,300,0.6666666666666666,12,6,6,356.71818152168476,0.47644704433497537,0.10454802972668031,0.1849470142277425,126497.51398533948,2324.792631172838,128822.30661651232,9,0,5.0344827586206895,29,0,19,39.53572990013345,0.6016522988505747,48.50694444444444,1005.9722222222221,34.688697318007655,0
