firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,profits_growthrate,output,previous_output,output_growthrate,revenues,previous_revenues,revenues_growthrate,pcm
8,5000,4999,2,40.04166666666668,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,644,1147,1009,782,94166.38300587039,94366.38300587039,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.11862643080124831
57,5000,4998,2,40.04166666666668,0.5625,43.75,0.0,50,1,0,1,607,1157,982,782,5687.3945983480735,5937.3945983480735,-250.0,-250.0,0,0,0,0,0.0,0.0,0,-0.0926118626430798
167,5000,4995,2,40.04166666666668,0.59375,40.625,0.0,0,0,0,0,654,1177,1033,798,406365.0514243362,406565.0514243362,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.014568158168574102
293,5000,4992,3,40.04166666666668,0.6354166666666667,36.458333333333336,0.013784260298124695,0,0,0,0,601,1166,1003,764,81139.93360324828,80922.78645743076,217.14714581752276,196.91673820453985,0.10273584560378679,116.41315697233162,120.26123137140341,-0.03199763011895129,4661.3768271004465,4831.44079862029,-0.03519943193103148,0.0894901144641001
634,5000,4984,2,40.04166666666668,0.53125,46.875,0.0,50,1,0,1,589,1134,976,747,176874.89248768086,177124.89248768086,-250.0,-200.0,0,0,0,0,0.0,0.0,0,-0.1706555671175855
696,5000,4982,2,40.04166666666668,0.5,50.0,0.0,0,0,0,0,515,1073,889,699,29700.152544191034,29900.152544191034,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.2486992715920912
781,5000,4980,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,662,1192,1039,815,415530.8958210358,415730.8958210358,-200.0,-250.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
2965,5000,4925,3,40.04166666666668,0.6458333333333333,35.416666666666664,0.017791312710370252,100,1,1,0,653,1135,972,816,73577.38384938051,73182.4582161169,394.92563326361574,246.91673820453985,0.5994283584633655,150.25419097591646,120.26123137140341,0.24939840763716803,6016.428230327323,4831.44079862029,0.24526584948436692,0.11550468262226879
5364,5000,4865,2,40.04166666666668,0.5625,43.75,0.0,0,0,0,0,574,1125,959,740,215463.6385557671,215663.6385557671,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.0926118626430798
5399,5000,4865,2,40.04166666666668,0.5625,43.75,0.0,100,1,1,0,612,1154,1008,758,38275.940686557355,38575.940686557355,-300.0,-200.0,0,0,0,0,0.0,0.0,0,-0.0926118626430798
6996,5000,4825,2,40.04166666666668,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,566,1119,935,750,20444.555020087224,20644.555020087224,-200.0,-300.0,0,0,0,0,0.0,0.0,0,-0.04058272632674261
