firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,magtechshock
44,2100,2098,3,41.51995305164319,0.6145833333333333,38.541666666666664,0.01152230673175162,0,0,0,0,251,487,414,324,183667.01806415722,183580.43037210294,86.58769205429309,93.27378485823834,96.22569995281086,97.03660765018216,3995.2865444022113,4033.2263713756756,68563959754166346727112975228,0
71,2100,2098,2,41.51995305164319,0.5104166666666667,48.958333333333336,0.0,100,1,1,0,263,521,430,354,136743.3518905318,137043.3518905318,-300.0,-200.0,0,0,0.0,0.0,65467014644816562778553047332,0
80,2100,2098,3,41.51995305164319,0.65625,34.375,0.02764218412986717,0,0,0,0,304,515,452,367,265533.0830153331,264083.6929224693,1449.390092863805,1459.3231158559472,230.8468762414722,230.81523178926815,9584.751463664412,9593.59670861204,49846630499524774381836765100,0
83,2100,2097,3,41.51995305164319,0.625,37.5,0.015552276081280502,0,0,0,0,249,483,411,321,459666.43785406294,459344.3223557818,322.11549828115403,280.27156749900416,129.88099402497613,130.4812636849536,5392.652774217759,5423.318955684765,35361525333201469807161400688,0
147,2100,2096,3,41.51995305164319,0.625,37.5,0.015552276081280502,100,1,1,0,251,479,430,300,580261.4790500109,580039.3635517297,222.11549828115403,330.27156749900416,129.88099402497613,130.4812636849536,5392.652774217759,5423.318955684765,74617373098146844654166088236,0
152,2100,2096,2,41.51995305164319,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,278,511,441,348,60151.89059579235,60351.89059579235,-200.0,-200.0,0,0,0.0,0.0,75154929722531164958077899068,0
173,2100,2095,3,41.51995305164319,0.59375,40.625,0.003462368032693833,0,0,0,0,252,480,412,320,328956.16489226447,329130.28722471284,-174.12233244839666,-171.6926802059728,28.915111808480077,30.14729558063904,1200.5540847711065,1253.0412027574882,68655357803531030115673118688,0
238,2100,2094,2,41.51995305164319,0.53125,46.875,0.0,0,0,0,0,250,445,402,293,140948.25761864954,141148.25761864954,-200.0,-200.0,0,0,0.0,0.0,25228229860756612994751398692,0
253,2100,2093,2,41.51995305164319,0.5,50.0,0.0,0,0,0,0,248,491,404,335,139162.14080547297,139362.14080547297,-200.0,-200.0,0,0,0.0,0.0,64919465657306950402715359004,0
292,2100,2092,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,265,490,436,319,186290.54328195984,186490.54328195984,-200.0,-200.0,0,0,0.0,0.0,69041025063638102201875201326,0
346,2100,2091,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,50,1,0,1,251,475,402,324,115266.6867407404,115516.6867407404,-250.0,-250.0,0,0,0.0,0.0,76061084807045435800069487424,0
350,2100,2091,2,41.51995305164319,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,216,469,387,298,458430.0533220357,458630.0533220357,-200.0,-300.0,0,0,0.0,0.0,25943943304132732206533455660,0
407,2100,2089,2,41.51995305164319,0.53125,46.875,0.0,0,0,0,0,264,519,437,346,211816.70574824786,212016.70574824786,-200.0,-200.0,0,0,0.0,0.0,75401863840008657450047943692,0
451,2100,2088,3,41.51995305164319,0.65625,34.375,0.02764218412986717,0,0,0,0,264,469,406,327,109404.29210887823,107954.90201601443,1449.390092863805,1459.3231158559472,230.8468762414722,230.81523178926815,9584.751463664412,9593.59670861204,62446050831422495049466513224,0
509,2100,2087,3,41.51995305164319,0.59375,40.625,0.003462368032693833,0,0,0,0,274,488,441,321,138206.2544426452,138380.3767750936,-174.12233244839666,-221.6926802059728,28.915111808480077,30.14729558063904,1200.5540847711065,1253.0412027574882,71518206638208200124242799116,0
621,2100,2084,2,41.51995305164319,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,255,501,422,334,558094.1444840763,558294.1444840763,-200.0,-200.0,0,0,0.0,0.0,73005593308050631540909940392,0
636,2100,2084,2,41.51995305164319,0.5,50.0,0.0,0,0,0,0,279,503,424,358,47459.13991062777,47659.13991062777,-200.0,-200.0,0,0,0.0,0.0,35825725910946961090497998180,0
1131,2100,2071,2,41.51995305164319,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,257,496,432,321,233087.90826445917,233287.90826445917,-200.0,-300.0,0,0,0.0,0.0,61029659032836506347989589384,0
1181,2100,2070,2,41.51995305164319,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,267,494,438,323,30337.83381195744,30537.83381195744,-200.0,-200.0,0,0,0.0,0.0,77669287814555759370473740604,0
1250,2100,2068,3,41.51995305164319,0.6041666666666667,39.583333333333336,0.007492337382222713,0,0,0,0,245,498,417,326,284843.520457235,284922.3453754239,-78.82491818889123,-174.04763104342143,62.570405880645346,63.59195161541049,2597.920314586654,2643.133787066577,65095827678325459758538496228,0
1525,2100,2061,2,41.51995305164319,0.53125,46.875,0.0,0,0,0,0,265,496,423,338,261390.65811900707,261590.65811900707,-200.0,-200.0,0,0,0.0,0.0,39544234274663687454932257072,0
1703,2100,2057,2,41.51995305164319,0.5625,43.75,0.0,100,1,1,0,280,518,454,344,227936.71025715923,228236.71025715923,-300.0,-200.0,0,0,0.0,0.0,64771925951786008393509439776,0
1893,2100,2052,2,41.51995305164319,0.5,50.0,0.0,0,0,0,0,265,480,408,337,179231.2331827389,179431.2331827389,-200.0,-200.0,0,0,0.0,0.0,77957111334436901700163294484,0
2022,2100,2049,2,41.51995305164319,0.5625,43.75,0.0,0,0,0,0,271,456,416,311,82598.93371739576,82798.93371739576,-200.0,-300.0,0,0,0.0,0.0,75460063831973519599693421364,0
2570,2100,2035,3,41.51995305164319,0.6145833333333333,38.541666666666664,0.01152230673175162,100,1,1,0,297,500,445,352,143177.93740159902,143191.34970954474,-13.412307945706914,-174.04763104342143,96.22569995281086,63.59195161541049,3995.2865444022113,2643.133787066577,64973811916567915899035884340,0
3593,2100,2010,2,41.51995305164319,0.5833333333333333,41.666666666666664,0.0,100,1,1,0,269,500,437,332,89071.27346675616,89371.27346675616,-300.0,-200.0,0,0,0.0,0.0,76736017755596842701357996476,0
3723,2100,2006,3,41.51995305164319,0.6458333333333333,35.416666666666664,0.02361221478033829,0,0,0,0,220,476,370,326,180271.62781885287,179268.11112016696,1003.516698685911,913.2962329978598,197.1915821693069,197.3705757544967,8187.385233848864,8203.504124302952,65478046056572224715596542376,0
4361,2100,1990,2,41.51995305164319,0.53125,46.875,0.0,50,1,0,1,266,496,425,337,174879.72535982635,175129.72535982635,-250.0,-250.0,0,0,0.0,0.0,66102968987248734380868673972,0
6826,2100,1929,2,41.51995305164319,0.5625,43.75,0.0,0,0,0,0,206,436,342,300,225355.50179132915,225555.50179132915,-200.0,-200.0,0,0,0.0,0.0,22072988046538998860920337844,0
8171,2100,1895,2,41.51995305164319,0.5625,43.75,0.0,50,1,0,1,234,424,390,268,33739.0586132993,33989.0586132993,-250.0,-200.0,0,0,0.0,0.0,60214817274871818046112432188,0
8995,2100,1875,2,41.51995305164319,0.53125,46.875,0.0,0,0,0,0,274,481,435,320,179836.90475192099,180036.90475192099,-200.0,-250.0,0,0,0.0,0.0,74783338768972756575597232824,0
9207,2100,1869,3,41.51995305164319,0.6458333333333333,35.416666666666664,0.02361221478033829,100,1,1,0,254,462,394,322,153352.03172695107,152448.51502826516,903.516698685911,963.2962329978598,197.1915821693069,197.3705757544967,8187.385233848864,8203.504124302952,76498532296842955246468999210,0
9617,2100,1859,2,41.51995305164319,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,209,424,348,285,45322.67142517574,45522.67142517574,-200.0,-200.0,0,0,0.0,0.0,35770311994442939988487614380,0
10256,2100,1843,2,41.51995305164319,0.5104166666666667,48.958333333333336,0.0,100,1,1,0,251,442,379,314,378683.32286209794,378983.32286209794,-300.0,-200.0,0,0,0.0,0.0,66204192604206069654213627692,0
11021,2100,1824,2,41.51995305164319,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,264,463,412,315,630087.9253960241,630287.9253960241,-200.0,-200.0,0,0,0.0,0.0,68095212122962493474332915548,0
11373,2100,1815,2,41.51995305164319,0.5104166666666667,48.958333333333336,0.0,0,0,0,0,227,414,348,293,183558.48427583705,183758.48427583705,-200.0,-200.0,0,0,0.0,0.0,69174154794994839121132195748,0
11409,2100,1814,3,41.51995305164319,0.6041666666666667,39.583333333333336,0.007492337382222713,50,1,0,1,234,443,376,301,79270.17513034519,79399.00004853409,-128.82491818889122,-74.04763104342143,62.570405880645346,63.59195161541049,2597.920314586654,2643.133787066577,76082664845936836068419902780,0
11727,2100,1806,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,220,393,341,272,215565.17539712175,215765.17539712175,-200.0,-200.0,0,0,0.0,0.0,65207304520676152459529701894,0
11751,2100,1806,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,227,428,372,283,13277.91587320256,13477.91587320256,-200.0,-200.0,0,0,0.0,0.0,74780017759629264961475644200,0
17966,2100,1650,2,41.51995305164319,0.5833333333333333,41.666666666666664,0.0,50,1,0,1,229,407,370,266,295943.09835321415,296193.09835321415,-250.0,-200.0,0,0,0.0,0.0,46954335150936221982598305836,0
18040,2100,1649,3,41.51995305164319,0.6458333333333333,35.416666666666664,0.02361221478033829,0,0,0,0,211,381,317,275,251562.2916588874,250558.7749602015,1003.516698685911,1013.2962329978598,197.1915821693069,197.3705757544967,8187.385233848864,8203.504124302952,75301966091331040784389907032,0
18094,2100,1647,2,41.51995305164319,0.53125,46.875,0.0,50,1,0,1,213,400,339,274,20250.781358866137,20500.781358866137,-250.0,-200.0,0,0,0.0,0.0,69875075799475244588308245038,0
18967,2100,1625,2,41.51995305164319,0.5208333333333333,47.916666666666664,0.0,100,1,1,0,230,399,351,278,53426.1545906084,53726.1545906084,-300.0,-200.0,0,0,0.0,0.0,74845161007981432887421835404,0
19314,2100,1617,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,199,392,330,261,120965.31779579911,121165.31779579911,-200.0,-200.0,0,0,0.0,0.0,24995272438686817406072916028,0
19526,2100,1611,3,41.51995305164319,0.6458333333333333,35.416666666666664,0.02361221478033829,0,0,0,0,209,403,344,268,50507.46829576552,49503.951597079606,1003.516698685911,913.2962329978598,197.1915821693069,197.3705757544967,8187.385233848864,8203.504124302952,74714240566400493287577426280,0
19740,2100,1606,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,242,419,360,301,210774.28646404788,210974.28646404788,-200.0,-200.0,0,0,0.0,0.0,70486031897231782103504821660,0
19948,2100,1601,2,41.51995305164319,0.5625,43.75,0.0,0,0,0,0,231,401,337,295,147164.37138564972,147364.37138564972,-200.0,-200.0,0,0,0.0,0.0,30317960956599633454550138656,0
20019,2100,1599,2,41.51995305164319,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,217,386,353,250,96288.44506976023,96488.44506976023,-200.0,-250.0,0,0,0.0,0.0,77840756572299181455462245280,0
20543,2100,1586,2,41.51995305164319,0.5625,43.75,0.0,100,1,1,0,183,366,321,228,15445.136230199663,15745.136230199663,-300.0,-300.0,0,0,0.0,0.0,6690578307153784957252699052,0
21515,2100,1562,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,50,1,0,1,206,372,333,245,26507.310865859814,26757.310865859814,-250.0,-250.0,0,0,0.0,0.0,64628716720438854408811199908,0
22635,2100,1534,2,41.51995305164319,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,223,369,343,249,75693.09517216375,75893.09517216375,-200.0,-200.0,0,0,0.0,0.0,76663869578687183132966650002,0
24626,2100,1484,3,41.51995305164319,0.6145833333333333,38.541666666666664,0.01152230673175162,0,0,0,0,189,373,303,259,110510.95990663189,110424.3722145776,86.58769205429309,93.27378485823834,96.22569995281086,97.03660765018216,3995.2865444022113,4033.2263713756756,76459784311831527096039412004,0
24825,2100,1479,3,41.51995305164319,0.6145833333333333,38.541666666666664,0.01152230673175162,0,0,0,0,146,322,246,222,192208.91956174205,192122.33186968777,86.58769205429309,-6.7262151417616565,96.22569995281086,97.03660765018216,3995.2865444022113,4033.2263713756756,67770046264520227410613213036,0
25883,2100,1452,2,41.51995305164319,0.5104166666666667,48.958333333333336,0.0,0,0,0,0,167,339,294,212,218223.7613290215,218423.7613290215,-200.0,-250.0,0,0,0.0,0.0,27075252005008021510094194942,0
26111,2100,1447,3,41.51995305164319,0.6145833333333333,38.541666666666664,0.01152230673175162,0,0,0,0,170,313,285,198,112387.17019341019,112300.5825013559,86.58769205429309,93.27378485823834,96.22569995281086,97.03660765018216,3995.2865444022113,4033.2263713756756,75325963986301869592902107560,0
26234,2100,1444,2,41.51995305164319,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,201,343,305,239,375278.95336561184,375478.95336561184,-200.0,-250.0,0,0,0.0,0.0,76129218821713970185313368840,0
26651,2100,1433,2,41.51995305164319,0.5,50.0,0.0,0,0,0,0,192,337,290,239,9691.368161844452,9891.368161844452,-200.0,-200.0,0,0,0.0,0.0,72500279398578301733637655218,0
26949,2100,1426,3,41.51995305164319,0.59375,40.625,0.003462368032693833,0,0,0,0,140,317,257,200,86042.86418430095,86216.98651674936,-174.12233244839666,-171.6926802059728,28.915111808480077,30.14729558063904,1200.5540847711065,1253.0412027574882,34839506677847800995232758652,0
27915,2100,1402,3,41.51995305164319,0.59375,40.625,0.003462368032693833,100,1,1,0,203,340,311,232,167642.55753104427,167916.67986349267,-274.12233244839666,-171.6926802059728,28.915111808480077,30.14729558063904,1200.5540847711065,1253.0412027574882,65323694113438136232014218756,0
28151,2100,1396,2,41.51995305164319,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,171,348,295,224,288573.7604024639,288773.7604024639,-200.0,-250.0,0,0,0.0,0.0,60163494535767325949431131184,0
28876,2100,1378,2,41.51995305164319,0.5729166666666667,42.708333333333336,0.0,100,1,1,0,157,317,271,203,176801.69087254902,177101.69087254902,-300.0,-200.0,0,0,0.0,0.0,73361297346465764286986071590,0
29905,2100,1352,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,100,1,1,0,186,328,287,227,471740.6580224064,472040.6580224064,-300.0,-300.0,0,0,0.0,0.0,38320552335935151968866479034,0
35396,2100,1215,2,41.51995305164319,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,174,310,277,207,106930.94895415351,107130.94895415351,-200.0,-200.0,0,0,0.0,0.0,65693479378319921057707884972,0
