firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,magtechshock
44,5000,4998,2,40.198293172690754,0.5625,43.75,0.0,0,0,0,0,649,1137,1020,766,65642.01076032182,65842.01076032182,-200.0,-250.0,0,0,0.0,0.0,14328095047780559895108370702,0
83,5000,4997,2,40.198293172690754,0.5833333333333333,41.666666666666664,0.0,50,1,0,1,588,1177,999,766,440505.2290822214,440755.2290822214,-250.0,-200.0,0,0,0.0,0.0,77421465321135813417459165246,0
147,5000,4996,3,40.198293172690754,0.6145833333333333,38.541666666666664,0.0063765035505531035,0,0,0,0,609,1131,996,744,591679.9417392538,591791.7127731895,-111.77103393571728,-98.20717187268959,53.25821224243997,57.18494877907633,2140.8892295749897,2305.796062320877,28021447889810159408367731358,0
350,5000,4991,2,40.198293172690754,0.59375,40.625,0.0,0,0,0,0,516,1082,898,700,185843.55594342973,186043.55594342973,-200.0,-200.0,0,0,0.0,0.0,9334791124585337904587229336,0
407,5000,4989,2,40.198293172690754,0.5625,43.75,0.0,50,1,0,1,616,1130,997,749,227229.47078524687,227479.47078524687,-250.0,-200.0,0,0,0.0,0.0,71681652740297328270820584782,0
509,5000,4987,2,40.198293172690754,0.5625,43.75,0.0,0,0,0,0,628,1113,1000,741,141299.94441390812,141499.94441390812,-200.0,-300.0,0,0,0.0,0.0,39241188725035490077479341134,0
621,5000,4984,2,40.198293172690754,0.5104166666666667,48.958333333333336,0.0,0,0,0,0,616,1170,998,788,254666.44555995194,254866.44555995194,-200.0,-300.0,0,0,0.0,0.0,34836088505847114988078727502,0
636,5000,4984,3,40.198293172690754,0.6145833333333333,38.541666666666664,0.0063765035505531035,0,0,0,0,615,1190,1001,804,400014.4056426339,400126.1766765696,-111.77103393571728,-148.20717187268957,53.25821224243997,57.18494877907633,2140.8892295749897,2305.796062320877,49069724917100712749104134420,0
1525,5000,4961,2,40.198293172690754,0.5208333333333333,47.916666666666664,0.0,100,1,1,0,603,1167,994,776,8445.135145924978,8745.135145924978,-300.0,-300.0,0,0,0.0,0.0,31577492711476003084305460688,0
1703,5000,4957,3,40.198293172690754,0.6041666666666667,39.583333333333336,0.0023670354089174047,0,0,0,0,633,1171,1034,770,145169.4406909326,145357.2828771401,-187.84218620751054,-182.48437261963065,19.77009393848121,23.721163937986706,794.7240321907041,956.4783665923431,27403401225722773955735666700,0
2570,5000,4935,2,40.198293172690754,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,637,1176,1020,793,16302.135846224388,16502.135846224388,-200.0,-200.0,0,0,0.0,0.0,58988232823832922674028076150,0
3723,5000,4906,2,40.198293172690754,0.5,50.0,0.0,0,0,0,0,563,1097,912,748,1132.2280583280153,1332.2280583280153,-200.0,-200.0,0,0,0.0,0.0,24459338516492671886630427726,0
10256,5000,4743,3,40.198293172690754,0.6458333333333333,35.416666666666664,0.018404907975460145,0,0,0,0,637,1136,982,791,718167.9748879168,717632.9309862377,535.0439016791445,572.9217408817512,153.72256715431578,157.57630330234474,6179.384821727828,6353.7491495064605,71219089869908861195479812122,0
11021,5000,4724,2,40.198293172690754,0.5833333333333333,41.666666666666664,0.0,100,1,1,0,633,1150,1004,779,445022.3888124838,445322.3888124838,-300.0,-250.0,0,0,0.0,0.0,73733502226905803653630492854,0
19314,5000,4517,2,40.198293172690754,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,563,1030,897,696,156466.65325835376,156666.65325835376,-200.0,-250.0,0,0,0.0,0.0,21753169858981883116523354266,0
24626,5000,4384,2,40.198293172690754,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,566,1015,866,715,193672.5546330337,193872.5546330337,-200.0,-200.0,0,0,0.0,0.0,28020281593094246385734959944,0
26234,5000,4344,3,40.198293172690754,0.6458333333333333,35.416666666666664,0.018404907975460145,50,1,0,1,561,1022,904,679,46292.20773011631,45807.163828437166,485.0439016791445,572.9217408817512,153.72256715431578,157.57630330234474,6179.384821727828,6353.7491495064605,60379631177998246792279247262,0
27915,5000,4302,2,40.198293172690754,0.59375,40.625,0.0,100,1,1,0,520,1016,865,671,263895.17411603656,264195.17411603656,-300.0,-200.0,0,0,0.0,0.0,37001423419941642233193496726,0
29905,5000,4252,3,40.198293172690754,0.625,37.5,0.010385971692188774,50,1,0,1,546,982,857,671,84735.2707736594,84751.20374219007,-15.932968530677556,55.786247293187216,86.7463305463985,90.64873362016573,3487.054426959266,3655.113758049402,66785398236915325496709562410,0
