period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,32,40,14,26,1.0,0.35,0.65,40,0,0,0,0,0,0,0,424.913494809689,0.5001201923076923,0.46232620320855666,0.18308484684196255,948594.8350694431,72614.1493055554,1021208.9843749985,0,0,0.0,35,5,26,46.16421568627451,0.49296874999999996,56.51041666666666,7791.666666666655,222.61904761904728,0
2,32,32,16,42,0.5517241379310345,0.27586206896551724,0.7241379310344828,58,1200,900,300,0.75,15,9,6,319.6675409549264,0.4993257209114741,0.5068434456205564,0.15246914265579728,984091.5557484581,50116.425540123586,1034207.9812885817,1,0,0.4482758620689655,47,11,31,44.06866176642167,0.5210129310344828,51.996527777777786,7936.111111111122,168.85342789598133,0
3,32,17,9,50,0.288135593220339,0.15254237288135594,0.847457627118644,59,1500,900,600,0.6,21,9,12,286.62173686568354,0.4947642704071693,0.45450621690267123,0.14415802627579455,1001961.7454825072,44136.80315263365,1046098.5486351408,2,0,1.1355932203389831,50,9,37,42.582333496572005,0.543255649717514,49.754901960784316,8007.843137254905,160.1568627450981,0
4,32,13,8,55,0.20634920634920634,0.12698412698412698,0.873015873015873,63,2050,1300,750,0.6341463414634146,28,13,15,293.7374400162406,0.49458098651647037,0.5071225071225074,0.15069518474396404,1008518.0624999998,44597.90277777777,1053115.9652777775,3,0,1.746031746031746,49,14,32,41.562854396592286,0.5471230158730158,48.9375,8033.999999999998,163.95918367346934,8
5,32,10,8,57,0.15384615384615385,0.12307692307692308,0.8769230769230769,65,1500,900,600,0.6,21,9,12,272.61574990106817,0.4918669871794872,0.4878426836321572,0.14274761707418154,1015208.9072543626,40852.38751147846,1056061.294765841,4,0,2.4307692307692306,54,11,36,41.239035087719294,0.5544871794871795,48.10606060606061,8060.606060606067,149.27048260381605,0
6,32,4,3,58,0.06557377049180328,0.04918032786885246,0.9508196721311475,61,1250,1000,250,0.8,15,10,5,276.40733421471685,0.49055100182149364,0.46405427915574804,0.14579131941913465,1017576.5624999974,42803.12499999975,1060379.6874999972,5,0,3.278688524590164,49,12,39,40.84185254027262,0.5609631147540983,47.812499999999986,8069.99999999998,164.69387755102,0
7,32,4,2,60,0.06451612903225806,0.03225806451612903,0.967741935483871,62,1950,1400,550,0.717948717948718,25,14,11,266.70317580832676,0.48928036312356776,0.4524017746410449,0.14250150626099245,1021751.6295303219,40150.88089661378,1061902.5104269357,6,0,4.032258064516129,51,11,42,40.555968423834045,0.5648521505376345,47.29567307692306,8086.538461538434,158.55957767722418,0
8,32,4,1,63,0.0625,0.015625,0.984375,64,2100,1100,1000,0.5238095238095238,31,11,20,277.6242164733144,0.48930431547619047,0.4930704725710515,0.14635729600143704,1017408.4444444434,41591.44444444437,1058999.8888888878,7,0,4.671875,49,15,36,40.83257600793128,0.5559895833333333,47.83333333333333,8069.333333333325,164.68027210884335,8
9,32,5,5,63,0.07352941176470588,0.07352941176470588,0.9264705882352942,68,2100,1200,900,0.5714285714285714,30,12,18,263.89825639488447,0.4900040239976588,0.4974322012977863,0.14108406784188018,1021937.190082642,38237.488521579224,1060174.6786042212,8,0,5.3088235294117645,54,14,35,40.60329861111111,0.5588235294117647,47.27272727272726,8087.272727272706,149.76430976430936,0
10,32,8,5,66,0.11267605633802817,0.07042253521126761,0.9295774647887324,71,2350,1900,450,0.8085106382978723,28,19,9,243.57827032655004,0.48905097250167673,0.4749780951757905,0.13224115023557598,1026875.7204027595,33474.92236320687,1060350.6427659665,9,0,5.71830985915493,53,18,41,40.49206515393791,0.5635269953051643,46.66280864197531,8106.790123456796,152.95830421616597,0
