firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,mag_tech_shock,deg_tech_div
69,5000,4998,2,41.641566265060234,0.47916666666666663,52.083333333333336,0.0,0,0,0,0,833,1298,1215,916,228736.10427757155,228936.10427757155,-200.0,-200.0,0,0,0.0,0.0,18223066054702561237502451624,0,0.4716327542252856
110,5000,4997,3,41.641566265060234,0.6145833333333333,38.541666666666664,0.011998445545516382,100,1,1,0,810,1238,1142,906,65571.62691376795,65262.369061072764,309.2578526951887,525.6967073236663,196.5411566913065,214.02365587777706,8184.281600172626,8974.525110946322,21734933271129720756674394326,0,0.4716327542252856
195,5000,4995,2,41.641566265060234,0.5625,43.75,0.0,0,0,0,0,733,1193,1087,839,221869.37265416604,222069.37265416604,-200.0,-250.0,0,0,0.0,0.0,31918006215187716094583106540,0,0.4716327542252856
313,5000,4992,2,41.641566265060234,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,775,1226,1142,859,52920.64747932885,53120.64747932885,-200.0,-200.0,0,0,0.0,0.0,60562777628676381966954636938,0,0.4716327542252856
379,5000,4990,3,41.641566265060234,0.59375,40.625,0.003934712911687539,100,1,1,0,738,1223,1090,871,187928.52252326513,188163.00201364307,-234.4794903779263,-295.542885367899,64.45276798378845,16.773013783523812,2683.9142089634793,703.3326889455932,73604711062820425856504656678,0,0.4716327542252856
391,5000,4990,2,41.641566265060234,0.47916666666666663,52.083333333333336,0.0,0,0,0,0,673,1152,1036,789,249380.0045153706,249580.0045153706,-200.0,-200.0,0,0,0.0,0.0,5201168682006618753646693762,0,0.4716327542252856
471,5000,4988,2,41.641566265060234,0.5625,43.75,0.0,0,0,0,0,776,1229,1179,826,37091.257432740174,37291.257432740174,-200.0,-200.0,0,0,0.0,0.0,45448840493885372264295475464,0,0.4716327542252856
531,5000,4986,2,41.641566265060234,0.5,50.0,0.0,100,1,1,0,792,1211,1150,853,157399.06118975754,157699.06118975754,-300.0,-200.0,0,0,0.0,0.0,28052237306480398511287075462,0,0.4716327542252856
718,5000,4982,2,41.641566265060234,0.46875,53.125,0.0,50,1,0,1,745,1185,1075,855,138792.8976724618,139042.8976724618,-250.0,-200.0,0,0,0.0,0.0,17384398543908341074056872288,0,0.4716327542252856
871,5000,4978,2,41.641566265060234,0.5625,43.75,0.0,0,0,0,0,765,1172,1086,851,161894.37737252426,162094.37737252426,-200.0,-250.0,0,0,0.0,0.0,52195230017896750965962062386,0,0.4716327542252856
951,5000,4976,2,41.641566265060234,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,717,1164,1094,787,958.7704650323649,1158.7704650323649,-200.0,-200.0,0,0,0.0,0.0,26434329687308886248476913798,0,0.4716327542252856
1072,5000,4973,3,41.641566265060234,0.6041666666666667,39.583333333333336,0.007966579228601948,50,1,0,1,770,1245,1176,839,38896.72171286391,38878.12856749044,18.59314537346455,98.30389719435618,130.49696233754725,148.27344184635902,5434.097904568043,6217.460970279401,60327030386779258451609697294,0,0.4716327542252856
2532,5000,4936,3,41.641566265060234,0.6145833333333333,38.541666666666664,0.011998445545516382,0,0,0,0,777,1220,1131,866,376226.48299502477,375817.2251423296,409.2578526951887,525.6967073236663,196.5411566913065,214.02365587777706,8184.281600172626,8974.525110946322,53900949762845731191954542572,0,0.4716327542252856
2686,5000,4932,2,41.641566265060234,0.5625,43.75,0.0,100,1,1,0,795,1272,1171,896,17274.744207951982,17574.744207951982,-300.0,-250.0,0,0,0.0,0.0,52173467271493151598791007930,0,0.4716327542252856
2773,5000,4930,2,41.641566265060234,0.47916666666666663,52.083333333333336,0.0,100,1,1,0,807,1225,1170,862,210163.18167489814,210463.18167489814,-300.0,-200.0,0,0,0.0,0.0,61711341335723713158047950422,0,0.4716327542252856
3750,5000,4906,2,41.641566265060234,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,725,1154,1062,817,276015.0172835384,276215.0172835384,-200.0,-200.0,0,0,0.0,0.0,33377204160518876356300946314,0,0.4716327542252856
5102,5000,4872,2,41.641566265060234,0.5833333333333333,41.666666666666664,0.0,100,1,1,0,696,1152,1042,806,284482.83011775365,284782.83011775365,-300.0,-295.542885367899,0,16.773013783523812,0.0,703.3326889455932,18227913681868332156814681366,0,0.4716327542252856
8019,5000,4799,2,41.641566265060234,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,675,1121,1053,743,399012.81497008505,399212.81497008505,-200.0,-200.0,0,0,0.0,0.0,56177365595860151673352021334,0,0.4716327542252856
12810,5000,4679,2,41.641566265060234,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,715,1126,1036,805,9119.707511651803,9319.707511651803,-200.0,-200.0,0,0,0.0,0.0,40732146671391666971840772228,0,0.4716327542252856
13379,5000,4665,2,41.641566265060234,0.5625,43.75,0.0,0,0,0,0,647,1035,954,728,66949.66189384485,67149.66189384485,-200.0,-250.0,0,0,0.0,0.0,53125538352565975687249036550,0,0.4716327542252856
22011,5000,4449,2,41.641566265060234,0.46875,53.125,0.0,0,0,0,0,683,1087,1003,767,92021.44576733999,92221.44576733999,-200.0,-250.0,0,0,0.0,0.0,58179059658650384513959605930,0,0.4716327542252856
22635,5000,4434,2,41.641566265060234,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,685,1077,1010,752,20741.679126286675,20941.679126286675,-200.0,-200.0,0,0,0.0,0.0,58034292969014195549656497886,0,0.4716327542252856
23725,5000,4406,2,41.641566265060234,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,702,1061,1015,748,209851.2673703719,210051.2673703719,-200.0,-200.0,0,0,0.0,0.0,53986260371089023705504923302,0,0.4716327542252856
25135,5000,4371,2,41.641566265060234,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,662,1081,1005,738,402655.3090550802,402855.3090550802,-200.0,-200.0,0,0,0.0,0.0,68796439089845264621617378638,0,0.4716327542252856
25312,5000,4367,2,41.641566265060234,0.5208333333333333,47.916666666666664,0.0,100,1,1,0,602,1021,935,688,240027.33929906884,240327.33929906884,-300.0,-200.0,0,0,0.0,0.0,13362112756425262058011334798,0,0.4716327542252856
27687,5000,4307,3,41.641566265060234,0.6041666666666667,39.583333333333336,0.007966579228601948,0,0,0,0,603,1011,891,723,63835.66770631682,63767.07456094335,68.59314537346455,98.30389719435618,130.49696233754725,148.27344184635902,5434.097904568043,6217.460970279401,29688222511897014915813813774,0,0.4716327542252856
32158,5000,4196,3,41.641566265060234,0.65625,34.375,0.02812591081317405,0,0,0,0,684,1053,1019,718,162550.3623862383,159402.5249885529,3147.8373976853904,3405.0640734954354,460.7179341063422,477.0245120034479,19185.016382590904,20002.781673613958,12975432208145369921372186078,0,0.4716327542252856
33366,5000,4165,3,41.641566265060234,0.6041666666666667,39.583333333333336,0.007966579228601948,0,0,0,0,592,1013,913,692,86238.31308848005,86169.71994310658,68.59314537346455,98.30389719435618,130.49696233754725,148.27344184635902,5434.097904568043,6217.460970279401,10683740443184539116582779708,0,0.4716327542252856
35578,5000,4110,2,41.641566265060234,0.5,50.0,0.0,0,0,0,0,660,1011,975,696,436680.51598900155,436880.51598900155,-200.0,-200.0,0,0,0.0,0.0,69521771855525312106513394102,0,0.4716327542252856
35914,5000,4102,3,41.641566265060234,0.6145833333333333,38.541666666666664,0.011998445545516382,0,0,0,0,582,968,907,643,95411.60609147853,95002.34823878335,409.2578526951887,525.6967073236663,196.5411566913065,214.02365587777706,8184.281600172626,8974.525110946322,67473531458581662036727196268,0,0.4716327542252856
