period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1.0,4.0,40.0,23.794,16.206,1.0,0.5948500000000002,0.40515000000000023,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.9815898416857,0.4999907585470086,0.4112356028861103,0.1685802837245727,119277.5709743732,1184.3508837093714,120461.9218580826,0.0,0.0,0.0,34.97,5.03,16.206,46.38902811830347,0.5121317716154253,55.79084487038997,976.83662051844,28.01608812773009,0.82
2.0,4.0,27.534,25.822,17.918,0.6245496246032513,0.5852616944392925,0.41473830556070646,43.74,428.6,287.2,141.4,0.6376124656045716,5.7,2.872,2.828,317.0969849321328,0.4974880346698333,0.33799129347149315,0.15040967484429982,122771.84359263502,-1390.7248352449958,121381.11875738982,1.0,0.0,0.3754503753967478,41.998,1.742,12.962,44.38275860470387,0.5370394322337091,52.23906150378598,991.0437539848563,23.772018908627487,0.728
3.0,4.0,19.098,17.26,19.756,0.5044599132890902,0.45425577283211227,0.5457442271678872,37.016,482.5,320.0,162.5,0.6343354110629671,6.45,3.2,3.25,334.3197047582197,0.4937786728900086,0.2569291119806358,0.16192516270555748,123672.5638428876,160.75060125498274,123833.31444414251,2.0,0.0,0.801069108364779,36.596,0.42,14.368,43.01914452252371,0.555529911365062,51.332009678953284,994.6719612841861,27.540003261837697,0.772
4.0,4.0,12.522,10.898,21.38,0.37697546120275677,0.3248121535084719,0.6751878464915281,32.278,546.9,368.2,178.7,0.6470870599129132,7.256,3.682,3.574,355.10216697710973,0.4898986231385722,0.1963828161528256,0.17371931911899208,124108.1186649082,1464.9432166073634,125573.06188151563,3.0,0.0,1.3510408272126446,32.224,0.054,15.87,42.05013962224338,0.5694168810788869,50.89473129465173,996.4210748213937,31.345677610162074,0.8
5.0,4.0,8.998,7.538,22.84,0.28827831345096866,0.23755590674063945,0.7624440932593604,30.378,619.2,412.4,206.8,0.6402933376508186,8.26,4.124,4.136,365.8566974703081,0.4872707845023976,0.16955126127391176,0.18074458717103456,124521.8543266824,1975.2646434414162,126497.11897012393,4.0,0.0,1.9279751608958116,30.37,0.008,16.742,41.35229282731339,0.578271682070066,50.47986765932392,998.0805293627044,33.22814346532238,0.75
6.0,4.0,6.614,5.87,23.584,0.2180390489901119,0.19028602054481625,0.8097139794551836,29.454,660.5,442.8,217.7,0.6499509965319243,8.782,4.428,4.354,373.39168326648974,0.4849639275221361,0.15891088307651857,0.1859726189137525,124870.15545294911,2222.966810538359,127093.12226348737,5.0,0.008,2.5360539502166253,29.428,0.026,16.996,40.80323550256688,0.5844718228873962,50.131404324073905,999.4743827037049,34.31434645125417,1.038
7.0,4.0,5.228,4.468,24.344,0.17683528781907293,0.14900835714319602,0.850991642856804,28.812,714.4,477.8,236.6,0.645532988320664,9.51,4.778,4.732,378.3999388651238,0.48320007892198924,0.15197591853366307,0.1899185114422181,125185.44703221846,2381.6861479796803,127567.13318019825,6.0,0.018,3.106902588404643,28.8,0.012,17.542,40.35094604402731,0.5894274036845766,49.816272296820564,1000.7349108127177,35.0360506611128,0.77
8.0,4.0,4.066,3.802,24.608,0.13933108321441456,0.1286779631366736,0.8713220368633265,28.41,747.8,496.4,251.4,0.6482803679281891,9.992,4.964,5.028,382.1693988149398,0.48156892479439706,0.1481643283526214,0.19319768959741682,125479.30493170499,2488.7278476822075,127968.03277938726,7.0,0.03,3.707330047761996,28.398,0.012,17.594,39.95149474993504,0.5936061029968489,49.522603773544425,1001.909584905822,35.53285629291715,0.742
9.0,4.0,3.686,3.264,25.03,0.12674959132687502,0.11062409093175986,0.88937590906824,28.294,743.5,493.6,249.9,0.6454265724702389,9.934,4.936,4.998,383.0587146350701,0.4801918687960558,0.14641019554311877,0.19503483412306657,125773.89260974135,2501.1767276565834,128275.06933739806,7.998,0.052,4.266289342823387,28.282,0.012,17.8,39.62406840157393,0.5969878620362871,49.228742834624356,1003.0850286615023,35.71011615301269,0.702
10.0,4.0,3.062,2.856,25.236,0.10638627415457155,0.09816504669725969,0.9018349533027405,28.092,791.9,533.2,258.7,0.6584763029688541,10.506,5.332,5.174,385.3037809703694,0.47866012542800496,0.14632593961507354,0.19723925150148575,125988.66189454378,2561.5260137756063,128550.18790831942,8.994,0.076,4.864236860205772,28.062,0.03,18.012,39.34530794801769,0.5998093932761593,49.01478852116916,1003.9408459153244,35.982911395140405,0.852
