period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
1.0,4.0,4.0,40.0,24.0,16.0,1.0,0.6,0.4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.6619787425764,0.5014503205128206,0.39839551064096923,0.16473603284118574,119249.24389569266,981.7722841447306,120231.01617983737,0.0,0.0,0.0,35.0,5.0,16.0,46.623365136202295,0.49963541666666667,55.81990396242767,976.720384150289,27.997637233054615,0.7
2.0,4.0,4.0,26.9,25.3,17.6,0.6254382957641506,0.587297024724106,0.4127029752758939,42.9,500.0,400.0,100.0,0.7787662337662338,6.0,4.0,2.0,324.6995522265203,0.4988341687904799,0.3450308947970635,0.15198897426285557,122221.03342479517,-1143.9953977041055,121077.03802709104,1.0,0.0,0.37456170423584945,41.4,1.5,13.2,44.76860435653937,0.5297728180674554,52.79483029659524,988.8206788136174,24.078571206666503,0.8
3.0,4.0,4.0,18.6,16.1,20.1,0.5088358804148279,0.4406383736975842,0.5593616263024158,36.2,520.0,350.0,170.0,0.6419769119769121,6.9,3.5,3.4,333.3876751879312,0.4945058616617934,0.24812129136438382,0.15992846230877278,123259.84047325428,457.95308765456883,123717.79356090887,2.0,0.0,0.7924598713085556,36.1,0.1,15.4,43.470934446741936,0.551561209488841,51.74702527348147,993.0118989060745,27.68845022848554,1.6
4.0,4.0,4.0,14.7,13.1,21.7,0.41570524484317595,0.3652899422727009,0.634710057727299,34.8,540.0,390.0,150.0,0.708997113997114,6.9,3.9,3.0,332.00245600855715,0.49165179446786417,0.20640257012083532,0.16391290611304665,124514.9498554883,764.4411331838098,125279.39098867208,3.0,0.0,1.2665687106204349,34.8,0.0,15.1,42.204095295267344,0.5678770091377852,50.48629995379967,998.0548001848013,29.096003470312716,0.0
5.0,4.0,4.0,9.0,6.4,24.3,0.2815739946328182,0.19502771738065858,0.8049722826193413,30.7,550.0,380.0,170.0,0.6744377191436015,7.2,3.8,3.4,359.1651661020643,0.48784207452054185,0.16105263520079266,0.17847799782439405,124786.98517258986,2269.9568429663113,127056.94201555618,4.0,0.0,1.9019313627548922,30.7,0.0,18.0,41.244677414296945,0.5803485840140252,50.214177642668446,999.1432894293255,32.99614417628385,0.0
6.0,4.0,4.0,6.4,6.9,23.8,0.20794872605147913,0.22123385119700467,0.7787661488029954,30.7,630.0,360.0,270.0,0.569309905780494,9.0,3.6,5.4,350.0277014807098,0.4846506181256946,0.14116119981098268,0.17726517693574023,125559.50156456434,2017.108689268064,127576.61025383242,5.0,0.0,2.5052740661729818,30.7,0.0,16.3,40.67338563958525,0.5875377698395027,49.44222561022277,1002.2310975591081,32.78401037669214,0.0
7.0,4.0,4.0,4.2,2.7,25.3,0.14886517058930854,0.0945876664842182,0.9054123335157819,28.0,655.0,420.0,235.0,0.6299710093827742,8.9,4.2,4.7,383.41622402647283,0.483532199813809,0.1414996260481048,0.19182126837540736,125056.99463780434,3330.415006070788,128387.40964387513,6.0,0.1,3.2351811713191028,28.0,0.0,21.0,40.36036635302832,0.5900880598887064,49.94567098448147,1000.2173160620741,35.817907893408446,1.6
8.0,4.0,4.0,3.6,2.0,26.9,0.12112742693387854,0.06688305123788993,0.93311694876211,28.9,780.0,540.0,240.0,0.676733624133005,10.2,5.4,4.8,375.28847573865886,0.4819139571925074,0.1479780647579775,0.18995795038498312,125523.42694772167,2859.349869101291,128382.77681682294,7.0,0.1,3.8751211870566715,28.9,0.0,20.2,40.07797295069385,0.59234799400122,49.478676678129126,1002.0852932874838,34.85390431300444,0.8
9.0,4.0,4.0,3.3,2.7,27.5,0.10826077194959285,0.08830625598909804,0.911693744010902,30.2,900.0,640.0,260.0,0.6905177381957568,11.6,6.4,5.2,360.6214531017428,0.4812674097314293,0.1533875425132432,0.18521790234464167,126095.37725058275,2154.9516152286515,128250.32886581139,8.0,0.0,4.390976821889642,30.2,0.0,18.2,39.852996240586734,0.5942814623834984,48.90811340618405,1004.3675463752637,33.3450385781356,0.8
10.0,4.0,4.0,2.2,2.4,27.3,0.07343917484073212,0.07885933865911618,0.9211406613408839,29.7,860.0,570.0,290.0,0.6562773921984448,11.5,5.7,5.8,363.64589107057213,0.4800751383233076,0.14505856301924563,0.18764424152257436,126299.94077569476,2385.1248422059107,128685.06561790069,9.0,0.1,5.162086118882559,29.7,0.0,20.0,39.566574642356024,0.5977751849542264,48.7045484440416,1005.1818062238335,33.92826775785697,0.0
11.0,4.0,4.0,2.1,1.9,27.5,0.06791927421691703,0.06092191604116619,0.9390780839588337,29.4,790.0,530.0,260.0,0.655406162464986,10.5,5.3,5.2,363.3131381608224,0.47905090071922707,0.1307323201346269,0.18873260895741334,126585.17085040713,2526.8362495541223,129112.00709996128,10.0,0.4,5.767814780713917,29.4,0.0,19.3,39.281099982455956,0.6017962061900111,48.42072423356098,1006.3171030657559,34.40137941024835,0.0
12.0,4.0,4.0,1.5,1.6,27.4,0.05108136024153822,0.0543834419195932,0.9456165580804068,29.0,795.0,520.0,275.0,0.6530812024233077,10.7,5.2,5.5,366.7844105314703,0.4783238998501327,0.1305605912782639,0.19106975274900662,126706.42480356863,2697.644497933713,129404.06930150234,10.9,0.1,6.463688754700991,29.0,0.0,20.4,39.06995344183482,0.603900572701787,48.30082097668044,1006.7967160932782,34.763512987436556,0.8
