period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,20,20,1.0,0.5,0.5,40,0,0,0,0,0,0,0,381.34992122650186,0.49873130341880345,-0.021789550781249556,0.16546708446438027,118886.16780045335,1067.4461451247005,119953.61394557805,0,0,0.0,34,6,20,46.892801920572914,0.5098039215686274,56.19047619047618,975.2380952380938,28.6834733893557,0
2,4,24,30,14,0.5454545454545454,0.6818181818181818,0.31818181818181823,44,250,100,150,0.4,4,1,3,280.5843795286152,0.4994384249471459,-0.057312530298777364,0.13206369144788038,122443.75964506148,-1928.8387345679191,120514.92091049356,1,0,0.45454545454545453,44,0,9,45.62692955374685,0.5305397727272727,52.569444444444436,989.7222222222201,22.493686868686822,0
3,4,32,26,20,0.6956521739130435,0.5652173913043478,0.4347826086956522,46,350,200,150,0.5714285714285714,5,2,3,311.66120225552044,0.4973731884057971,-0.09285309033898204,0.15210339375027584,123985.20294981438,-1471.7245173532174,122513.47843246117,2,0,0.5434782608695652,41,5,16,43.25702676229373,0.5505589430894309,51.01686507936509,995.9325396825413,24.291037553232716,0
4,4,15,15,20,0.42857142857142855,0.42857142857142855,0.5714285714285714,35,400,300,100,0.75,5,3,2,315.3593474259006,0.4868347338935574,-0.05982422165946688,0.15669928195929478,124739.718967014,867.5672743055642,125607.28624131957,3,0,1.0571428571428572,35,0,17,42.384645464025006,0.56875,50.26041666666667,998.9583333333344,28.541666666666696,0
5,4,9,6,23,0.3103448275862069,0.20689655172413793,0.7931034482758621,29,500,400,100,0.8,6,4,2,362.14589530090996,0.48352832512315275,-0.014121647909852042,0.17794971816325997,124271.89670138866,3200.9114583333007,127472.80815972196,4,0,1.7586206896551724,29,0,21,41.70192575567628,0.5786637931034483,50.72916666666665,997.0833333333314,34.38218390804591,0
6,4,5,1,27,0.17857142857142858,0.03571428571428571,0.9642857142857143,28,700,600,100,0.8571428571428571,8,6,2,388.165960370577,0.4838789682539682,-0.036844780020328205,0.18247774532915795,122391.62465731938,3901.652505284719,126293.27716260409,5,0,2.5,28,0,21,43.01975945017182,0.5621279761904762,52.62212643678161,989.5114942528741,35.33969622331693,8
7,4,5,6,26,0.15625,0.1875,0.8125,32,750,400,350,0.5333333333333333,11,4,7,344.2807054892392,0.4830939180107527,-0.0244384425294637,0.16842647532644703,124086.27188871057,2144.101845474983,126230.37373418556,6,0,2.875,32,0,20,42.33990199805687,0.5686848958333333,50.915404040404056,996.3383838383858,31.135574494949555,0
8,4,6,7,25,0.1875,0.21875,0.78125,32,550,300,250,0.5454545454545454,8,3,5,339.1579561370976,0.4846900201612903,-0.02517789373814039,0.1676700214674022,124526.9635273189,2046.8620867768934,126573.8256140958,7,0,3.40625,32,0,19,42.0105945604048,0.5732421875,50.473484848484865,998.1060606060628,31.190814393939462,0
9,4,2,1,26,0.07407407407407407,0.037037037037037035,0.962962962962963,27,900,600,300,0.6666666666666666,12,6,6,390.70851847133196,0.48213437796771125,-0.02574370392524994,0.18973622825111083,123775.33581792086,4272.015616142286,128047.35143406314,8,0,4.481481481481482,27,0,24,41.50793205722547,0.5798611111111112,51.22767857142857,995.0892857142852,36.85515873015871,0
10,4,2,3,25,0.07142857142857142,0.10714285714285714,0.8928571428571429,28,650,400,250,0.6153846153846154,9,4,5,378.47052114798333,0.482445987654321,-0.04671834146542364,0.1858603642070669,124246.82762336497,3804.7523203197106,128051.57994368467,9,0,5.071428571428571,28,0,20,41.32109573905942,0.5814732142857143,50.75431034482758,996.9827586206891,35.606527093596036,0
11,4,5,4,26,0.16666666666666666,0.13333333333333333,0.8666666666666667,30,750,500,250,0.6666666666666666,10,5,5,357.9785328978268,0.4833572796934866,-0.020114556763771496,0.18029628746152215,125302.60226977096,2971.128345762497,128273.73061553345,10,0,5.333333333333333,30,0,18,40.737291359019096,0.5864583333333333,49.69758064516128,1001.2096774193539,33.37365591397846,0
12,4,2,3,25,0.07142857142857142,0.10714285714285714,0.8928571428571429,28,1150,900,250,0.782608695652174,14,9,5,379.54988768063475,0.48035163139329806,0.006691621372166834,0.19059588808187614,125179.66221181802,3902.3853464790714,129082.0475582971,11,0,6.5,28,0,25,40.324838478104816,0.5911458333333333,49.82040229885058,1000.7183908045984,35.739942528735654,0
13,4,4,0,29,0.13793103448275862,0.0,1.0,29,900,600,300,0.6666666666666666,12,6,6,360.24951808527163,0.479371921182266,-0.02548621882830271,0.18394365852763883,125869.56259645075,3268.889853395074,129138.45244984582,12,0,6.275862068965517,29,0,25,40.094434832756626,0.5951867816091954,49.13194444444445,1003.4722222222233,34.602490421455975,0
14,4,5,5,29,0.14705882352941177,0.14705882352941177,0.8529411764705882,34,1000,800,200,0.8,12,8,4,311.1969367044173,0.48068924539512775,-0.026968304432936296,0.16420192040057469,127212.08191609969,1117.6020408163206,128329.68395691601,13,0,6.205882352941177,34,0,20,39.94915820942492,0.5962009803921569,47.797619047619044,1008.8095238095231,29.670868347338914,0
15,4,2,1,30,0.06451612903225806,0.03225806451612903,0.967741935483871,31,700,300,400,0.42857142857142855,11,3,8,338.5832642192471,0.478405017921147,-0.007471429703102217,0.17712094085627555,126862.35427856444,2390.694003634983,129253.04828219942,14,0,7.483870967741935,31,0,24,39.617126577915656,0.5997983870967742,48.14453125,1007.4218749999999,32.49747983870967,0
16,4,1,3,28,0.03225806451612903,0.0967741935483871,0.9032258064516129,31,600,400,200,0.6666666666666666,8,4,4,341.12881448015025,0.47831541218637996,0.003464400371424592,0.1798995865063119,127190.50301445843,2477.6691012912274,129668.17211574966,15,0,8.096774193548388,31,0,25,39.21639021556734,0.6031586021505376,47.819010416666664,1008.7239583333323,32.53948252688169,0
17,4,4,1,31,0.125,0.03125,0.96875,32,1050,800,250,0.7619047619047619,13,8,5,329.21743784901975,0.47763356854838707,-0.008111967786240681,0.17636805750721074,127825.12825540765,2016.4522433935344,129841.58049880118,16,0,7.96875,32,0,18,38.8677321346818,0.6070963541666667,47.19065656565657,1011.2373737373741,31.60116792929294,0
18,4,1,3,29,0.03125,0.09375,0.90625,32,850,400,450,0.47058823529411764,13,4,9,332.097071923318,0.47612147177419356,-0.003986625514402986,0.17933241883859172,128144.53124999999,2111.2847222222217,130255.8159722222,17,0,8.9375,32,0,20,38.46879286694103,0.6103515625,46.875,1012.4999999999999,31.640624999999996,0
19,4,2,3,28,0.06451612903225806,0.0967741935483871,0.9032258064516129,31,800,600,200,0.75,10,6,4,342.52680352588277,0.4736559139784946,0.01433138847766302,0.18542212975837483,128243.42727661146,2585.3622436523574,130828.78952026382,18,0,9.806451612903226,31,0,23,38.1037890474354,0.6139112903225806,46.77734375000001,1012.890625000001,32.67389112903229,0
20,4,1,0,29,0.034482758620689655,0.0,1.0,29,750,500,250,0.6666666666666666,10,5,5,362.4195153898087,0.4732655993431856,-0.011357022188781762,0.19519224010683917,128039.0842013888,3480.7725694444384,131519.85677083326,19,0,9.96551724137931,29,0,24,37.80919788664747,0.6174568965517242,46.979166666666664,1012.0833333333326,34.899425287356294,0
21,4,1,1,29,0.03333333333333333,0.03333333333333333,0.9666666666666667,30,850,600,250,0.7058823529411765,11,6,5,351.30668888055254,0.4727250957854406,-0.018777910421364563,0.19067682703171251,128348.74561004162,3017.9545684472164,131366.70017848883,20,0,10.6,30,0,25,37.7738537383384,0.6177083333333333,46.67338709677419,1013.3064516129032,33.776881720430104,0
22,4,0,1,28,0.0,0.034482758620689655,0.9655172413793104,29,700,400,300,0.5714285714285714,10,4,6,362.9690941219305,0.472188013136289,-0.02808165426472442,0.19669365323368213,128285.19483024688,3512.7121913580145,131797.9070216049,21,1,11.655172413793103,29,0,25,37.54341467873135,0.6199712643678161,46.73611111111111,1013.0555555555553,34.932950191570875,0
23,4,1,0,29,0.034482758620689655,0.0,1.0,29,550,200,350,0.36363636363636365,9,2,7,361.5320294445753,0.47157224958949095,-0.028070109114279207,0.19643329998935705,128390.74315200612,3483.473186728392,131874.21633873452,22,0,12.275862068965518,29,0,19,37.47187771230187,0.6210488505747127,46.63194444444444,1013.4722222222218,34.94731800766282,0
