period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1.0,4.0,40.0,23.8,16.2,1.0,0.595,0.40499999999999997,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.151403997654,0.9992948717948718,0.025210372276727087,0.17542596403463057,119559.7965520602,2560.8584702503194,122120.65502231049,0.0,0.0,0.0,34.8,5.2,16.2,45.7662367891186,0.5155429400113186,55.50113514957265,977.9954594017087,28.221716602818027,0.0
2.0,4.0,34.0,32.0,18.2,0.6757403452379316,0.6365407374078929,0.3634592625921072,50.2,360.0,260.0,100.0,0.7130735930735931,4.6,2.6,2.0,318.4172463310234,0.9952956202571638,-0.12698101782339388,0.1531354892417089,123333.77710690885,-744.4430590150192,122589.33404789383,1.0,0.0,0.3242596547620685,43.0,7.2,13.0,43.7652536546422,0.5414850706789585,51.67303455572941,993.3078617770818,23.286166494500982,0.8
3.0,4.0,26.0,23.6,20.6,0.5842608329923501,0.5315974810353745,0.4684025189646254,44.2,600.0,360.0,240.0,0.5993006993006993,8.4,3.6,4.8,334.54633024354376,0.9902566405664641,-0.16743613729046855,0.1637417148255982,124103.07355561624,183.3629084835687,124286.43646409982,2.0,0.0,0.6753000443068544,40.6,3.6,16.8,42.565958054386556,0.5524858958994852,50.899386103237845,996.4024555870477,24.591902772745442,0.0
4.0,4.0,17.4,17.0,21.0,0.4440175472102717,0.43608218406980015,0.5639178159301999,38.0,460.0,240.0,220.0,0.5197435897435898,6.8,2.4,4.4,332.5645901334827,0.9836075219100033,-0.13781941469766712,0.16547811169129809,124803.01750595988,859.8793309273167,125662.8968368872,3.0,0.0,1.1959805931942156,37.2,0.8,17.0,41.89144475558412,0.5658401249754288,50.19839510870423,999.2064195651828,27.129630424988466,0.0
5.0,4.0,15.2,15.6,20.6,0.4140460239526453,0.42413917312898636,0.5758608268710137,36.2,670.0,520.0,150.0,0.7587878787878787,8.2,5.2,3.0,336.4231081197654,0.9780336307013501,-0.13747708059710914,0.16906584963943225,125194.17140834958,1184.6017328342314,126378.7731411838,4.0,0.0,1.6728751696154074,36.2,0.0,18.4,41.38859288720578,0.5715816687943704,49.80617083182471,1000.775316672701,27.857350845047016,0.6
6.0,4.0,15.4,14.0,22.0,0.4139668746286393,0.3737188057040998,0.6262811942959002,36.0,470.0,340.0,130.0,0.7290756302521009,6.0,3.4,2.6,339.24227562589,0.9779958821928714,-0.14606753362138444,0.17234773594081892,125652.78843294669,1565.5376652213974,127218.32609816807,5.0,0.0,1.9614156268568035,34.8,1.2,17.6,40.845511724189556,0.5787904420722967,49.348757098757105,1002.6049716049725,28.91120522394712,0.0
7.0,4.0,11.2,10.6,22.6,0.32395122395122394,0.30573300573300577,0.6942669942669942,33.2,640.0,440.0,200.0,0.6997435897435897,8.4,4.4,4.0,356.17450858720247,0.9723971411471413,-0.09661573230344615,0.18180987911826674,125898.97019464921,2324.1439615414793,128223.1141561907,6.0,0.0,2.7494039494039493,33.2,0.0,20.4,40.170528185610166,0.5854495594078927,49.10466124572163,1003.5813550171144,30.59846874604359,0.0
8.0,4.0,9.0,8.0,23.6,0.2737926041805352,0.24115297563573423,0.7588470243642658,31.6,690.0,480.0,210.0,0.6994444444444444,9.0,4.8,4.2,361.1429463946235,0.9656351429293586,-0.06937300590401452,0.1869483700411877,126415.13345542895,2811.556255966173,129226.68971139511,7.0,0.0,3.2876963786446547,31.6,0.0,21.0,39.50984118501272,0.5944170771756979,48.58973010504318,1005.6410795798274,32.125751290451845,0.0
9.0,4.0,4.8,5.2,23.2,0.17033056672656227,0.1825589686546305,0.8174410313453695,28.4,790.0,560.0,230.0,0.6854901960784314,10.2,5.6,4.6,383.4405063273945,0.9602788663567307,-0.038502791837473335,0.1970134801056967,126131.12946309589,3991.9356955972276,130123.06515869315,8.0,0.0,4.30726562277174,28.4,0.0,21.0,39.243282946969785,0.6001737745167945,48.87213448327359,1004.5114620669053,35.55804773981219,0.6
10.0,4.0,7.2,5.0,25.4,0.2310305256696672,0.1610668249502248,0.8389331750497753,30.4,720.0,480.0,240.0,0.6867516796928561,9.6,4.8,4.8,361.9564700252179,0.9629919131485959,-0.02556417007233629,0.18663724880069665,126260.86773086395,3060.1079413646867,129320.97567222864,9.0,0.0,4.5958271718030925,30.4,0.0,20.2,39.64935023139158,0.5955762591929616,48.743695389608376,1005.0252184415658,33.20528523561815,2.6
11.0,4.0,5.0,5.0,25.4,0.16221756737885767,0.16135037006004746,0.8386496299399525,30.4,860.0,540.0,320.0,0.6256015037593985,11.8,5.4,6.4,355.98229970700993,0.9576051278427762,-0.02036945337524685,0.1852300350915132,126622.6553451244,2936.0854942287724,129558.74083935318,10.0,0.0,5.289938556067588,30.4,0.0,19.6,39.425766816463536,0.5991746817250849,48.383369781102104,1006.466520875592,33.20335181444237,0.0
12.0,4.0,4.4,3.0,26.8,0.14734811165845646,0.10128489326765189,0.8987151067323481,29.8,890.0,660.0,230.0,0.7275062656641603,11.2,6.6,4.6,362.8691650353615,0.9571932294088278,0.004219946868527691,0.18831901163140372,126527.61745208017,3222.4712528163122,129750.08870489647,11.0,0.0,5.97772577996716,29.8,0.0,21.0,39.35127632781765,0.5997917308087028,48.47816527342388,1006.0873389063041,33.829353417176684,2.2
13.0,4.0,5.8,6.2,26.4,0.17358051464313323,0.18242924409907332,0.8175707559009269,32.6,770.0,540.0,230.0,0.7147619047619047,10.0,5.4,4.6,337.8405859117614,0.9568189934904041,-0.011987714034382146,0.17837541348053146,127227.57680888339,2077.006338413377,129304.58314729675,12.0,0.0,6.247272170516952,32.6,0.0,18.4,39.261464582245104,0.6003954009919381,47.782628052159296,1008.8694877913628,31.288672605412405,0.0
14.0,4.0,4.6,3.6,27.4,0.14501384981133722,0.11266505267290454,0.8873349473270956,31.0,960.0,600.0,360.0,0.6235633647398353,13.2,6.0,7.2,350.76824832438234,0.95454333909382,0.0005530716682010217,0.18526461463640995,127244.40381563338,2726.8025427842476,129971.20635841764,13.0,0.0,7.06906628279788,31.0,0.0,20.6,38.91852605036023,0.6039351639803122,47.76615903417819,1008.9353638632869,32.6387017288376,0.2
15.0,4.0,2.6,2.6,27.4,0.08477441650248037,0.08274601893655745,0.9172539810634426,30.0,900.0,540.0,360.0,0.5780253956569746,12.6,5.4,7.2,359.6477754264684,0.9506411704688658,0.01889807239790988,0.19030793775112037,127340.19126751766,3158.220877249735,130498.41214476738,14.0,0.0,8.088648001531599,30.0,0.0,20.6,38.59688936539996,0.6078994639610056,47.6711929563492,1009.3152281746031,33.84455740979908,0.0
16.0,4.0,3.6,3.2,27.8,0.1143590280687055,0.10027492668621703,0.899725073313783,31.0,610.0,420.0,190.0,0.6633116883116883,8.0,4.2,3.8,346.4293003378886,0.9498506029638423,0.013673692970699891,0.18592801666660458,127902.01570159795,2661.2214884817267,130563.23719007967,15.0,0.0,8.312520946795141,31.0,0.0,21.2,38.35473106926713,0.6106695283043571,47.11511748442846,1011.5395300622856,32.728281259456615,0.0
17.0,4.0,2.0,2.6,27.2,0.06712643678160919,0.08712643678160921,0.9128735632183907,29.8,840.0,500.0,340.0,0.5711339640751405,11.8,5.0,6.8,361.60547700541764,0.9466297208538588,0.015656603751136,0.19313438830832197,127705.40821193194,3275.610547462126,130981.01875939406,16.0,0.0,9.099540229885058,29.8,0.0,20.4,38.17179111280454,0.6117193486590038,47.30913978494623,1010.7634408602146,33.92429860338646,0.6
