period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
1,4,4,40,24,16,1.0,0.6,0.4,40,0,0,0,0,0,0,0,390.9696570141838,0.4990918803418803,0.41810555216595446,0.1699732805958217,118973.25857426315,1302.9868197279043,120276.24539399105,0,0,0.0,34,6,16,46.5654870856213,0.49479166666666663,56.10119047619048,975.595238095239,28.69397759103644,0.0
2,4,4,25,25,16,0.6097560975609756,0.6097560975609756,0.3902439024390244,41,700,600,100,0.8571428571428571,8,6,2,346.1111563390029,0.49768800813008135,0.3612841492706369,0.1643698989609937,122826.98727639165,-397.64188082644444,122429.34539556521,1,0,0.3902439024390244,41,0,13,43.60530090739255,0.5386178861788617,52.18253968253966,991.2698412698381,24.17731320170337,0.0
3,4,4,25,24,17,0.6097560975609756,0.5853658536585366,0.41463414634146345,41,400,200,200,0.5,6,2,4,314.96105542296715,0.4954014227642276,0.303824718000683,0.1557161267130456,124529.21395699498,-755.6294682224623,123773.58448877251,2,0,0.6097560975609756,41,0,13,42.61204568797004,0.5561483739837398,50.471230158730165,998.1150793650806,24.3442702284166,0.0
4,4,4,14,7,24,0.45161290322580644,0.22580645161290322,0.7741935483870968,31,650,400,250,0.6153846153846154,9,4,5,343.82834813795944,0.49516129032258066,0.1431094284008183,0.16378614932875774,122957.6301574706,1605.2637736002466,124562.89393107085,3,0,1.1612903225806452,31,0,20,43.52558421950901,0.5594758064516129,52.05078124999999,991.7968749999992,31.993447580645135,8.0
5,4,4,6,9,21,0.2,0.3,0.7,30,650,500,150,0.7692307692307693,8,5,3,348.98441300355427,0.49499521072796937,0.11897803635051662,0.16781677270717463,123358.91658356476,1960.0678185339673,125318.98440209872,4,0,2.0,30,0,16,42.97935552248231,0.5663194444444444,51.6465053763441,993.4139784946252,33.11379928315417,0.0
6,4,4,9,5,25,0.3,0.16666666666666666,0.8333333333333334,30,950,700,250,0.7368421052631579,12,7,5,353.8087812127774,0.49099616858237544,0.13872681433459344,0.17188977795927862,123793.24921956302,1809.8277257486448,125603.07694531167,5,0,2.466666666666667,30,0,19,42.40725733837563,0.5708333333333333,51.20967741935484,995.1612903225812,33.17204301075271,0.0
7,4,4,7,5,27,0.21875,0.15625,0.84375,32,750,500,250,0.6666666666666666,10,5,5,363.20729920173983,0.4888062836021505,0.22529648956356718,0.1795593308436368,124526.9635273186,1895.8204201101844,126422.78394742879,6,0,3.09375,32,0,16,41.41049968374445,0.5732421875,50.473484848484844,998.1060606060603,31.190814393939384,8.0
8,4,4,11,11,27,0.2894736842105263,0.2894736842105263,0.7105263157894737,38,700,400,300,0.5714285714285714,10,4,6,316.4268857489768,0.4872718112849692,0.25170495484173694,0.1648253479498399,126688.35521449681,-282.47965976334035,126405.87555473347,7,0,3.1052631578947367,38,0,12,40.353390639923596,0.5830592105263157,48.31730769230768,1006.7307692307674,26.492914979757035,0.0
9,4,4,1,4,24,0.03571428571428571,0.14285714285714285,0.8571428571428572,28,950,700,250,0.7368421052631579,12,7,5,409.1989571379261,0.4816192680776014,0.21552006719796735,0.2069140194432748,125467.39011510772,3718.225037983888,129185.61515309161,8,0,4.785714285714286,28,0,19,39.28396433863952,0.5941220238095238,49.5330459770115,1001.8678160919544,35.780993431855514,0.0
10,4,4,1,1,24,0.04,0.04,0.96,25,1200,1000,200,0.8333333333333334,14,10,4,441.7103968817111,0.48138888888888887,0.17388853299167195,0.22170737283998443,125160.30777449055,4856.921844181477,130017.22961867202,9,0,5.36,25,0,21,38.7899049754431,0.6016666666666667,49.8397435897436,1000.6410256410263,40.02564102564105,0.0
11,4,4,4,1,27,0.14285714285714285,0.03571428571428571,0.9642857142857143,28,850,500,350,0.5882352941176471,12,5,7,393.4836914837486,0.47800925925925924,0.17010445995021795,0.20408687464957095,126513.17256242567,3506.1740322367523,130019.34659466242,10,0,5.357142857142857,28,0,18,38.59492525944969,0.6049107142857143,48.491379310344826,1006.0344827586206,35.92980295566502,0.0
12,4,4,3,1,29,0.1,0.03333333333333333,0.9666666666666667,30,1050,800,250,0.7619047619047619,13,8,5,366.77693004580675,0.4762452107279693,0.16541918913960751,0.1942955340796592,127372.26080246917,2293.4413580246996,129665.70216049388,11,0,5.9,29,1,16,38.3828655292607,0.6076388888888888,47.63888888888889,1009.4444444444447,34.80842911877396,0.0
13,4,4,0,1,28,0.0,0.034482758620689655,0.9655172413793104,29,900,600,300,0.6666666666666666,12,6,6,379.7784575976822,0.475318144499179,0.16663883950932545,0.2005116037030769,127236.93065464382,2964.369054696767,130201.29970934059,12,1,7.103448275862069,28,1,21,38.19394996677111,0.6091954022988506,47.772988505747115,1008.9080459770105,36.03243021346466,0.0
14,4,4,2,1,29,0.06666666666666667,0.03333333333333333,0.9666666666666667,30,500,400,100,0.8,6,4,2,357.2350155914331,0.4734195402298851,0.14283182704235386,0.19144132886822923,127838.51456815797,2633.6787489882972,130472.19331714627,13,0,7.4,30,0,18,38.14571150097466,0.6125,47.1774193548387,1011.2903225806435,33.70967741935478,0.0
15,4,4,1,4,26,0.03333333333333333,0.13333333333333333,0.8666666666666667,30,1050,900,150,0.8571428571428571,12,9,3,364.09176788960156,0.47021072796934865,0.16367736800212218,0.197447751536102,128314.69859232288,2293.6650913400467,130608.36368366293,14,0,8.133333333333333,30,0,20,37.484799239409206,0.6173611111111111,46.70698924731183,1013.1720430107532,33.772401433691776,0.0
