period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
1.0,4.0,4.0,40.0,24.052,15.948,1.0,0.6013000000000005,0.39869999999999983,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.9829618038252,0.5000641826923079,0.4094472648913795,0.16803478781452957,119253.57168833098,1158.4325750522742,120412.0042633834,0.0,0.0,0.0,35.146,4.854,15.948,46.43887547176716,0.4998796875000002,55.815238630279005,976.7390454788839,27.873524838206507,0.794
2.0,4.0,4.0,28.344,26.368,17.924,0.6349064763067861,0.5906876181518055,0.40931238184819413,44.292,422.8,277.4,145.4,0.6253427066913148,5.682,2.774,2.908,316.8759116881876,0.49757016863627845,0.3457309637989866,0.1503649475955218,122793.7952217522,-1499.653880356178,121294.14134139591,1.0,0.0,0.3650935236932143,42.092,2.2,12.842,44.36550108955357,0.5338014699871854,52.21688223729647,991.1324710508143,23.703880140483278,0.75
3.0,4.0,4.0,18.778,16.63,20.072,0.5006223129472905,0.44094904765298765,0.5590509523470124,36.702,487.6,329.0,158.6,0.6442954296993002,6.462,3.29,3.172,333.9868868356743,0.4935790510549084,0.2500463231629248,0.16176344761094746,123675.97649951713,431.8530854648758,124107.8295849821,2.0,0.0,0.8052082231803853,36.462,0.24,15.006,43.02390211626785,0.5554728229052441,51.32851111131129,994.6859555547543,27.660460652910686,0.618
4.0,4.0,4.0,12.45,10.636,21.886,0.37265689509647404,0.3148829661461524,0.6851170338538477,32.522,570.6,386.0,184.6,0.6539340957116508,7.552,3.86,3.692,352.6432553207486,0.4900347901754321,0.1974062362784758,0.1727923327392439,124176.459519007,1680.5894526453317,125857.04897165234,3.0,0.0,1.3638368422308655,32.506,0.016,16.538,42.04038985068362,0.5693325094384443,50.82612898233281,996.6954840706686,31.052497266434386,0.64
5.0,4.0,4.0,8.244,6.648,23.482,0.26697771789441727,0.21189822345027728,0.788101776549723,30.13,642.3,435.8,206.5,0.6637078343546658,8.488,4.358,4.13,367.8332062027166,0.48715738738568504,0.16744038250479323,0.18173047257606273,124522.442099241,2489.873816865907,127012.31591610698,4.0,0.0,2.0117430838959383,30.106,0.024,17.824,41.302453803283974,0.5788016665908586,50.47938586037593,998.0824565584953,33.46404135197108,0.85
6.0,4.0,4.0,6.252,5.254,24.48,0.20461592153282934,0.1681972984266417,0.8318027015733587,29.734,684.8,459.8,225.0,0.6531649625101573,9.098,4.598,4.5,369.85884386549066,0.485144950536485,0.1588484459957655,0.1846788827631439,124970.97762712612,2609.7549696031174,127580.73259672924,5.0,0.008,2.6251423922867723,29.714,0.02,18.052,40.78655521265955,0.5845764112907295,50.030415496321645,999.8783380147129,33.9757368175116,0.958
7.0,4.0,4.0,4.794,3.98,25.294,0.15993318561637335,0.1301793879593164,0.869820612040684,29.274,734.6,494.6,240.0,0.6535817357806601,9.746,4.946,4.8,373.2205490392238,0.4833661762364091,0.15356708903076216,0.18784498068770292,125299.14141392638,2760.5649316601775,128059.70634558654,6.0,0.01,3.245542146819387,29.232,0.042,18.692,40.36234228986633,0.589126065659916,49.70251929908894,1001.1899228036439,34.512629678555136,0.808
8.0,4.0,4.0,3.86,3.332,25.822,0.12901999206425263,0.10927969238078891,0.8907203076192114,29.154,748.4,499.4,249.0,0.6478893907449788,9.974,4.994,4.98,374.78864803047276,0.4818708823606577,0.15345895882731003,0.19002855833910343,125597.81402511564,2832.964314928831,128430.77834004459,7.0,0.034,3.8760525556082204,29.098,0.056,18.834,40.013485506572074,0.5925420928203845,49.40434701012496,1002.3826119595,34.705250383625625,0.866
9.0,4.0,4.0,3.264,2.884,26.202,0.10909317345304864,0.09524109845676137,0.9047589015432387,29.086,792.2,536.4,255.8,0.6629939991959907,10.48,5.364,5.116,374.73543515506043,0.48055897067123193,0.15176349494990685,0.1913276769393134,125882.0754082369,2822.9497605409456,128705.0251687778,8.0,0.058,4.498594834600458,29.048,0.038,18.888,39.72066050480639,0.5956455078059808,49.12091904459345,1003.5163238216265,34.785918353600294,0.762
10.0,4.0,4.0,2.924,2.612,26.514,0.09741725355156239,0.0855718027844888,0.9144281972155112,29.126,801.8,533.4,268.4,0.652539948969104,10.702,5.334,5.368,374.4966816986938,0.4792409624380425,0.15236080425065143,0.19258250054523832,126176.5389473196,2821.4833608621498,128998.02230818185,9.0,0.082,5.0998800917416345,29.092,0.034,18.95,39.422305753646,0.598568232021626,48.82760474570483,1004.6895810171815,34.77715905003953,0.66
11.0,4.0,4.0,2.484,2.564,26.434,0.08287290390418836,0.08693558381340015,0.9130644161866001,28.998,823.9,557.4,266.5,0.6595301640598282,10.904,5.574,5.33,435.80079444775265,0.4795980392947242,0.28333157676332177,0.20386328298290166,122198.35165237213,4024.0184715863275,126222.3701239586,9.998,0.148,5.73457422189481,28.126,0.872,16.852,42.04940652855074,0.5570738148113423,52.81986320817207,988.7205471673108,35.339728509227285,23.524
12.0,4.0,4.0,8.286,6.696,28.024,0.23332303921423916,0.18727073614814344,0.8127292638518563,34.72,892.2,596.6,295.6,0.6558239097250476,11.878,5.966,5.912,367.42466410753883,0.48375664377155875,0.2858142419038844,0.18075092902470155,124327.36996505936,1298.6316765321342,125626.00164159149,10.998,0.004,5.245827868454957,33.164,1.556,15.864,41.51464790589037,0.5648268555786162,50.67479011214863,997.3008395514057,30.303299787361063,0.826
13.0,4.0,4.0,5.716,4.898,28.842,0.16523011763536985,0.14025207372296375,0.859747926277035,33.74,901.7,605.8,295.9,0.6561380488775036,11.976,6.058,5.918,367.8787038878522,0.48264514304171463,0.26519234518857887,0.183396880215656,124891.41060391157,1537.3425166833633,126428.75312059493,11.994,0.008,5.7770695525011275,32.372,1.368,16.892,40.91794798906924,0.5728036695495934,50.10990327130849,999.5603869147658,31.104494539841912,0.69
14.0,4.0,4.0,4.29,3.754,29.378,0.12669403616866856,0.10959490300644806,0.8904050969935512,33.132,923.4,625.4,298.0,0.6647767406424139,12.214,6.254,5.96,367.66128750299663,0.4815941669809864,0.25078059308252476,0.18530983786531965,125342.32895241419,1665.4594825060863,127007.78843492034,12.992,0.026,6.290397818830239,31.922,1.21,17.4,40.455725521471464,0.5787955108662488,49.65907074551026,1001.3637170179587,31.563133111124987,0.65
15.0,4.0,4.0,3.464,3.282,29.56,0.10323107066398411,0.0971343817901441,0.9028656182098558,32.842,933.8,639.6,294.2,0.6705404573534719,12.28,6.396,5.884,367.01894523225775,0.48062631888851437,0.24226888750213937,0.1867029294621435,125728.16984021626,1724.9206378619365,127453.09047807824,13.99,0.046,6.79987207368647,31.698,1.144,17.738,40.07299023620603,0.5834007816718572,49.274202434335244,1002.9031902626584,31.821164401784547,0.766
16.0,4.0,4.0,3.038,2.958,29.64,0.09110196102061496,0.08773634877603506,0.9122636512239644,32.598,946.1,642.8,303.3,0.6673806266783683,12.494,6.428,6.066,366.10805037047425,0.479446737972253,0.23398441746080972,0.18781080545703874,126073.14915929893,1763.9070201617067,127837.05617946092,14.99,0.06,7.291745548304745,31.51,1.088,17.816,39.73937382431912,0.5875835818782471,48.930401018687924,1004.2783959252469,32.05913492363567,0.706
17.0,4.0,4.0,2.484,2.494,29.63,0.07547022950771584,0.075278891549234,0.9247211084507658,32.124,933.4,628.2,305.2,0.6589517014756449,12.386,6.282,6.104,367.47926669168953,0.4784279282985222,0.22504806993281923,0.18964602548584777,126319.39685605887,1923.8366382000013,128243.23349425897,15.98,0.114,7.834668685322852,31.206,0.918,18.064,39.451277858642385,0.5913360782262587,48.685606898382716,1005.2575724064686,32.39904121172758,0.73
18.0,4.0,4.0,2.314,2.524,29.42,0.07052057030020202,0.07670025531054747,0.9232997446894531,31.944,935.4,632.0,303.4,0.6626321704411391,12.388,6.32,6.068,366.76034078699183,0.4774150753344956,0.2188103795016808,0.1905103461725749,126580.38831847152,1959.2399840449657,128539.62830251665,16.964,0.14,8.360376264628918,31.104,0.84,18.138,39.20007633424858,0.5945032199544263,48.42606761705391,1006.2957295317836,32.52322254534079,0.684
19.0,4.0,4.0,2.032,2.126,29.326,0.06289889926870426,0.06546865515711718,0.9345313448428825,31.452,940.0,634.0,306.0,0.663119950342089,12.46,6.34,6.12,369.0815948017386,0.47626036311061004,0.21116441513844655,0.19255649365798294,126757.27669842729,2124.993123943989,128882.26982237128,17.958,0.204,8.923773315558515,30.74,0.712,18.422,38.95937787407953,0.5976355725239518,48.25031834176787,1006.9987266329283,32.933880851048286,0.728
20.0,4.0,4.0,1.768,1.974,29.12,0.05502539851445104,0.06163914320388429,0.9383608567961146,31.094,929.9,630.0,299.9,0.6635154381489622,12.298,6.3,5.998,371.0008766820149,0.4752893262845375,0.2057434283971804,0.1943363173018066,126922.28952876122,2267.3432999249558,129189.63282868617,18.944,0.28,9.49915482440191,30.472,0.622,18.394,38.74148439948633,0.6003243375338816,48.08668966332452,1007.6532413467013,33.258741045286456,0.73
21.0,4.0,4.0,1.668,2.166,28.622,0.05263018096366577,0.06946650889648606,0.9305334911035127,30.788,939.9,631.0,308.9,0.6590405460798711,12.488,6.31,6.178,424.37539577148374,0.47551983477907533,0.3062324155246471,0.20054815144544033,122619.20208163858,3307.927681887387,125927.12976352603,19.936,0.278,10.058667314451034,29.5,1.288,16.41,41.88775165055127,0.5562651136382415,52.394564778215695,990.4217408871367,33.762546192433746,23.542
22.0,4.0,4.0,7.386,5.498,30.51,0.2007300536806704,0.14862268145036622,0.8513773185496337,36.008,968.4,650.8,317.6,0.6597449863452306,12.86,6.508,6.352,367.61622273116984,0.4803019039053214,0.31170413627702676,0.1817267083872924,124521.31328907827,984.5681826878953,125505.88147176617,20.926,0.0,9.019744312707243,33.79,2.218,15.798,41.30802042385853,0.5638744529487053,50.48044179180307,998.0782328327872,29.75204288038555,0.502
23.0,4.0,4.0,5.062,4.118,31.454,0.13906244391933362,0.11206781329078615,0.8879321867092136,35.572,969.0,653.8,315.2,0.664771821472614,12.842,6.538,6.304,365.5113498774413,0.47977619342207617,0.2990328560075916,0.18322837417560864,125107.96166728444,1061.4953422657245,126169.45700955014,21.926,0.018,9.47735405006068,33.348,2.224,16.684,40.75189939848696,0.5706673825389766,49.893196463922635,1000.427214144309,30.193433941700242,0.62
24.0,4.0,4.0,3.884,3.404,31.934,0.10729513566749942,0.09301163704184945,0.9069883629581503,35.338,996.6,679.0,317.6,0.6695281315234272,13.142,6.79,6.352,363.59106155561153,0.47906297240865614,0.29051594947791426,0.18427470153074338,125565.58020751669,1065.6285626840026,126631.20877020067,22.912,0.032,9.902336438884378,33.118,2.22,16.956,40.32659598659788,0.5757423513159705,49.4363299203855,1002.2546803184582,30.45422857431184,0.898
