period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
1.0,4.0,4.0,40.0,23.916,16.084,1.0,0.5978999999999999,0.4021000000000001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0713219287278,0.5000931356837605,0.4122572559867092,0.16912899204079118,119300.07711174303,1211.7753700282037,120511.8524817713,0.0,0.0,0.0,34.954,5.046,16.084,46.33867180250554,0.5000838541666671,55.76783045469769,976.9286781812087,28.02920433770956,0.856
2.0,4.0,4.0,27.528,25.638,17.974,0.6261764524194852,0.5825649253316213,0.41743507466837865,43.612,434.2,290.8,143.4,0.6431518865207732,5.776,2.908,2.868,318.56359086440176,0.4973496333201456,0.3387596343118506,0.15101749221355976,122749.0663165769,-1336.3585289227951,121412.70778765412,1.0,0.0,0.3738235475805147,41.798,1.814,12.944,44.370347217253695,0.5343804447036911,52.26215320149815,990.9513871940073,23.874799074008582,0.512
3.0,4.0,4.0,18.816,16.872,19.918,0.5006121826742583,0.4469621899143177,0.5530378100856824,36.79,475.2,317.4,157.8,0.6400030207666444,6.33,3.174,3.156,334.23325381938616,0.49364650688195566,0.2519389552963576,0.16174561605748897,123642.9018675106,430.2417748538935,124073.14364236462,2.0,0.0,0.8100668091009136,36.48,0.31,14.752,43.052459741072155,0.5549894331075864,51.3619294517484,994.5522821930066,27.64519417257936,0.792
4.0,4.0,4.0,12.606,10.71,21.814,0.377023764737922,0.31678099475777305,0.6832190052422265,32.524,555.8,371.4,184.4,0.6445823067025866,7.402,3.714,3.688,352.9525994837595,0.4900008353386693,0.19821552174815923,0.17284250218745928,124141.85588607517,1701.0793839809285,125842.93527005633,3.0,0.0,1.3637652128327076,32.468,0.056,16.502,42.06796920190949,0.5689908063809627,50.86062595758349,996.5574961696666,31.086439156059196,0.692
5.0,4.0,4.0,8.382,6.852,23.344,0.26955610991772966,0.21659819618536622,0.7834018038146342,30.196,639.2,423.2,216.0,0.6414733472706982,8.552,4.232,4.32,368.344365587657,0.48699783913321504,0.16986618371717938,0.18178086518974484,124484.66772166888,2489.082577172102,126973.75029884116,4.0,0.002,2.0067426408468867,30.174,0.022,17.734,41.32921380927191,0.5783751089695143,50.517186771814885,997.9312529127411,33.44710426685932,0.966
6.0,4.0,4.0,6.332,5.198,24.478,0.20808783012447382,0.16815456658505556,0.8318454334149445,29.676,691.4,462.4,229.0,0.6519385443550941,9.204,4.624,4.58,370.56950930230664,0.48488873303758506,0.16079535197825726,0.185132615910223,124989.03586628892,2634.264713160951,127623.30057944987,5.0,0.008,2.614767165900191,29.654,0.022,18.024,40.74969925188662,0.5848413598975967,50.01220352624957,999.9511858950019,34.01055457522901,0.812
7.0,4.0,4.0,4.772,4.09,25.16,0.1594714467512684,0.13385576263841706,0.8661442373615826,29.25,717.3,488.8,228.5,0.6660973181594741,9.458,4.888,4.57,373.250275347293,0.48304563510321485,0.15343202039682313,0.1880776241982956,125347.07447583243,2787.140380829351,128134.21485666194,5.998,0.014,3.238207235734268,29.228,0.022,18.592,40.31165655666937,0.5897151424866997,49.654448855707436,1001.3822045771706,34.528682856855426,0.678
8.0,4.0,4.0,3.768,3.25,25.678,0.12693039516712504,0.1072117306730079,0.8927882693269924,28.928,765.5,513.0,252.5,0.6556426212741205,10.18,5.13,5.05,376.5279044172663,0.48151810819959046,0.151112928257566,0.1910803896224475,125640.90771952762,2907.5783487537096,128548.48606828158,6.994,0.038,3.868237892426382,28.894,0.034,19.01,39.925395991612724,0.5936786940727246,49.36125511162877,1002.5549795534843,34.95511727186214,0.744
9.0,4.0,4.0,3.21,2.736,26.152,0.10835253497750329,0.09126766475768099,0.9087323352423186,28.888,789.9,525.0,264.9,0.6481774662753391,10.548,5.25,5.298,376.07990197596195,0.4800287375683128,0.15007422201185197,0.19236843432547396,125958.82971674869,2904.5558611744605,128863.38557792312,7.994,0.06,4.481578964147131,28.852,0.036,18.972,39.60730794389251,0.5969110049255433,49.04422306933313,1003.8231077226674,34.98577207997975,0.712
10.0,4.0,4.0,2.766,2.38,26.538,0.09334680594361652,0.07927541554486128,0.9207245844551378,28.918,822.0,554.4,267.6,0.655378723072992,10.896,5.544,5.352,376.00321683798114,0.4786992787545935,0.1508504992922355,0.19356706359311052,126225.73126825197,2884.2081406258008,129109.93940887788,8.992,0.094,5.0992826766706845,28.874,0.044,19.1,39.33390774172069,0.599563556490074,48.77869075644077,1004.885236974237,35.00097343725552,0.778
11.0,4.0,4.0,2.296,2.02,26.814,0.07715962218973309,0.06698734544355445,0.933012654556445,28.834,843.1,568.0,275.1,0.6586588771129458,11.182,5.68,5.502,377.6652508932235,0.47757930669768794,0.15217013330618814,0.19530917410203927,126409.44365470498,2935.902790936505,129345.34644564161,9.99,0.15,5.743693466639897,28.796,0.038,19.324,39.1024726955726,0.6017415385259345,48.595989561888466,1005.6160417524458,35.13247291599452,0.888
12.0,4.0,4.0,2.242,2.072,26.984,0.07478831145819095,0.06843718550261634,0.9315628144973833,29.056,857.7,577.8,279.9,0.660305099823903,11.376,5.778,5.598,375.15742325462645,0.47655871262628174,0.15388624803481243,0.19531249892375885,126678.82546490243,2833.9181443393427,129512.7436092418,10.986,0.15,6.338622381169562,29.018,0.038,19.132,38.887775515172315,0.6038047927760863,48.328387970051175,1006.6864481197954,34.88535265115374,0.77
13.0,4.0,4.0,2.048,1.968,27.064,0.0685018748760071,0.06560944224391459,0.9343905577560856,29.032,860.8,582.4,278.4,0.6627348002264214,11.392,5.824,5.568,375.43463908261145,0.4755100720692007,0.15400316107386394,0.19642752701304048,126878.37606294767,2857.781478457928,129736.15754140573,11.986,0.176,6.95142749706172,28.982,0.05,19.29,38.67514569689096,0.6059058687950157,48.130251317107906,1007.4789947315672,34.946338374809365,0.724
14.0,4.0,4.0,1.742,1.62,27.186,0.05873134851552212,0.05415520689915715,0.9458447931008427,28.806,876.5,592.6,283.9,0.6642552945477692,11.604,5.926,5.678,379.15558813507545,0.4743945915842828,0.15579521456066067,0.1986410534230949,126938.1962993184,2985.346992673014,129923.5432919915,12.986,0.27,7.60291219885433,28.752,0.054,19.522,38.520933464538345,0.607192297485828,48.071540940634286,1007.7138362374633,35.23204628423402,1.034
15.0,4.0,4.0,1.756,1.656,27.286,0.05836598205041585,0.05487500187490676,0.9451249981250931,28.942,865.2,578.6,286.6,0.6563521161628871,11.518,5.786,5.732,378.4532881912345,0.4734647582202361,0.15857542990310605,0.1990244960601294,127087.25168199354,2963.3071343083443,130050.5588163021,13.982,0.34,8.213007797452612,28.87,0.072,19.468,38.38488481375281,0.6083579674686367,47.923601694362716,1008.3055932225487,35.126530789614364,0.868
16.0,4.0,4.0,1.564,1.542,27.308,0.05221987627923829,0.05108239375349226,0.9489176062465076,28.85,868.3,583.0,285.3,0.6624405724910297,11.536,5.83,5.706,380.530605426846,0.47249504871013165,0.16122845010451595,0.20059219770033937,127178.51960057541,3038.850447396844,130217.3700479723,14.982,0.352,8.861889345547509,28.78,0.07,19.452,38.23814154868232,0.6095804391145806,47.832920960576274,1008.6683161576954,35.240428683879564,0.938
17.0,4.0,4.0,1.57,1.354,27.524,0.05237187685370221,0.04505173870575363,0.9549482612942459,28.878,870.6,584.0,286.6,0.6587054414803929,11.572,5.84,5.732,380.5770465589993,0.4717223472382233,0.16224592424841777,0.20138767457277257,127335.3435359915,3043.9777679950935,130379.32130398664,15.98,0.394,9.490583532111868,28.792,0.086,19.346,38.07564737198925,0.6110836230789917,47.67747002530516,1009.2901198987782,35.24350695314589,0.712
18.0,4.0,4.0,1.466,1.394,27.596,0.04854829422958862,0.04628130512884987,0.9537186948711489,28.99,884.6,600.0,284.6,0.6652168240189769,11.692,6.0,5.692,380.07775603857397,0.4709128933438911,0.16465340147147464,0.2018141548109512,127473.81451855511,3005.217603711925,130479.03212226706,16.98,0.406,10.118222064712233,28.906,0.084,19.458,37.94620415331404,0.6121952514877721,47.540548186179855,1009.8378072552813,35.14092102909339,0.794
19.0,4.0,4.0,1.306,1.294,27.608,0.04375050403379958,0.043129774428740685,0.9568702255712587,28.902,886.3,592.6,293.7,0.6525992092293166,11.8,5.926,5.874,381.10184609583047,0.4699727733638331,0.16478684234340818,0.20286908887326033,127570.44257988644,3054.9664311117167,130625.4090109984,17.978,0.472,10.74667584121377,28.822,0.08,19.47,37.8208820900376,0.6134318524239044,47.44491151163241,1010.2203539534706,35.25379096798901,0.808
20.0,4.0,4.0,1.27,1.146,27.732,0.0424094196675263,0.03829576759693676,0.9617042324030628,28.878,891.3,605.2,286.1,0.6647469304264446,11.774,6.052,5.722,382.4045021520102,0.4691264533300152,0.16733472060243115,0.20394400378049854,127644.87592640516,3093.794397948435,130738.67032435349,18.974,0.53,11.385474932251267,28.798,0.08,19.644,37.71140816212889,0.6142743689858496,47.37120509282817,1010.5151796286867,35.296918550694905,0.88
21.0,4.0,4.0,1.272,1.26,27.744,0.04247701148165771,0.04197601009163617,0.9580239899083627,29.004,902.7,609.2,293.5,0.6561892520578662,11.962,6.092,5.87,381.6071012392851,0.4684226263678367,0.16942299669307723,0.20424003044137984,127784.15882495418,3047.692609533819,130831.85143448788,19.972,0.556,11.985987186321037,28.9,0.104,19.31,37.588398573685126,0.6153164396097976,47.233419838674656,1011.066320645301,35.18903212297623,0.768
22.0,4.0,4.0,1.222,1.1,27.866,0.04077217587348996,0.03657216024555608,0.9634278397544436,28.966,911.8,628.4,283.4,0.6759784982616287,11.952,6.284,5.668,382.87521658687467,0.46760977183075275,0.1711553401649532,0.2052685775047075,127850.8543065838,3083.5532522438502,130934.40755882785,20.972,0.576,12.63253812710265,28.844,0.122,19.29,37.48835884667632,0.6161020224875281,47.167866946569504,1011.3285322137223,35.26690185580088,0.868
23.0,4.0,4.0,1.144,1.09,27.92,0.037915582597654394,0.03606189030342462,0.9639381096965752,29.01,897.1,602.2,294.9,0.6565733542497649,11.92,6.022,5.898,383.05718131560104,0.46688870983910524,0.17309660557397927,0.20580600420321724,127932.76214840575,3100.669330174923,131033.43147858091,21.97,0.626,13.24646970568711,28.856,0.154,19.296,37.39956604156196,0.616806834783977,47.08691878944484,1011.652324842221,35.264782395271695,0.908
24.0,4.0,4.0,1.14,1.142,27.918,0.03765650481353775,0.03769843712871311,0.962301562871287,29.06,915.7,628.0,287.7,0.6726585908450702,12.034,6.28,5.754,383.157519900372,0.466147039993725,0.17473792074207223,0.20644818738129952,128046.80215961106,3083.2487825756457,131130.05094218673,22.966,0.644,13.84766163513883,28.896,0.164,19.216,37.28026078070733,0.6178308404569353,46.97439906795716,1012.1024037281716,35.23646524802583,0.722
25.0,4.0,4.0,1.052,1.03,27.94,0.034846885850599106,0.03401592691904583,0.9659840730809539,28.97,891.6,604.6,287.0,0.6639514947863994,11.786,6.046,5.74,385.2387590185916,0.46546310926155465,0.1766778795631487,0.20782242538262968,128092.41778265247,3182.2421370507786,131274.6599197034,23.964,0.708,14.478505273657499,28.812,0.158,19.254,37.180968370026015,0.6185939008473568,46.92953475915544,1012.281860963378,35.353526611446625,0.888
